Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3,Ref for Attr4,Ref for Attr5
20,5,5,3,0.3304317575782627,1,1,0,1,0,3,2.0932347710973156,13,1215,1,P02,P04,P04,P02,P04,P02
21,5,5,3,0.5098838676608111,1,0,0,1,0,2,2.5918630477948907,11,1215,1,P04,P04,P04,P01,P04,P04
22,5,5,3,0.19995046791335144,1,1,1,1,0,4,1.8008940479466564,10,1215,0,P03,P03,P01,P01,P02,P02
23,5,5,3,0.5325366213419217,1,1,0,0,0,2,2.4650717746618156,17,1215,0,P02,P01,P02,P02,P01,P02
24,5,5,3,0.4880617227117576,1,0,0,1,0,2,2.6254725407699158,9,1215,1,P04,P04,P04,P01,P04,P04
25,5,5,3,0.29376234985957833,1,1,1,0,0,3,2.2102427058999345,8,1215,0,P03,P03,P03,P01,P02,P01
26,5,5,3,0.36008107174831605,1,1,0,1,0,3,3.0464226934304355,10,1215,1,P04,P04,P01,P04,P04,P01
27,5,5,3,0.0991510163522521,1,1,1,0,0,3,1.722677466529091,7,1215,0,P01,P01,P02,P01,P01,P01
28,5,5,3,0.1351461368383302,1,1,1,0,0,3,1.4165807559568275,7,1215,0,P03,P01,P01,P01,P01,P01
29,5,5,3,0.1566076542997863,1,1,1,0,0,3,2.2440526925996447,12,1215,0,P02,P01,P03,P01,P01,P01
30,5,5,3,0.19121385552702969,1,1,0,1,0,3,2.1786327781465484,8,1215,1,P04,P01,P01,P04,P04,P04
31,5,5,3,0.14913628114244493,1,1,1,0,0,3,1.5129029298611685,7,1215,0,P03,P01,P01,P03,P03,P02
32,5,5,3,0.5701935447635583,1,1,1,0,0,3,2.6706793231654355,14,1215,0,P03,P03,P02,P01,P02,P02
33,5,5,3,0.2998237176431295,1,1,0,1,0,3,3.5182252298507066,13,1215,1,P04,P04,P01,P04,P02,P04
34,5,5,3,0.6550490567044652,1,0,0,1,0,2,3.291864138890474,8,1215,1,P04,P04,P04,P04,P04,P04
35,5,5,3,0.25766915769174104,1,1,0,1,0,3,1.889996319101169,11,1215,1,P04,P04,P04,P01,P02,P04
36,5,5,3,0.16625093260039375,1,1,1,0,0,3,2.33156094620285,9,1215,0,P01,P01,P02,P01,P01,P01
37,5,5,3,0.41134382371815614,1,1,0,0,0,2,2.0002251259830848,11,1215,0,P01,P02,P01,P02,P01,P02
38,5,5,3,0.33476074814264295,1,1,0,1,0,3,2.155445789000688,8,1215,1,P04,P04,P04,P04,P02,P01
39,5,5,3,0.44091865041053013,1,1,0,1,0,3,3.216324445660549,10,1215,1,P04,P04,P04,P02,P04,P01
40,5,5,3,0.2741404189554775,1,1,0,1,0,3,1.7660335515135803,11,1215,1,P02,P04,P01,P02,P01,P02
41,5,5,3,0.29215217130416177,1,1,1,1,0,4,3.1835823458988854,17,1215,0,P04,P03,P03,P04,P02,P03
42,5,5,3,0.2237478823206161,1,1,0,1,0,3,3.2499466006385878,13,1215,1,P04,P01,P04,P04,P01,P02
43,5,5,3,0.3261087042285003,1,0,0,1,0,2,4.315278324563684,10,1215,1,P04,P04,P01,P01,P04,P04
44,5,5,3,0.17917995311936774,1,1,1,0,0,3,1.470982046231086,7,1215,0,P03,P02,P01,P01,P01,P03
45,5,5,3,0.19752702641109127,1,1,1,1,0,4,1.839119242426884,10,1215,0,P04,P03,P03,P01,P03,P04
46,5,5,3,0.34438141117456045,1,1,1,0,0,3,1.993929340158584,12,1215,0,P03,P02,P03,P03,P03,P02
47,5,5,3,0.1558066006887735,1,1,1,0,0,3,3.8562757127692113,8,1215,0,P03,P03,P03,P01,P03,P03
48,5,5,3,0.19971771034960456,1,1,1,0,0,3,1.3789466625588687,14,1215,0,P03,P02,P01,P01,P01,P01
49,5,5,3,0.15909623138847978,1,1,0,1,0,3,2.362054506121687,10,1215,1,P04,P04,P02,P04,P04,P04
50,5,5,3,0.3126014161602907,1,1,1,0,0,3,2.683680680491303,10,1215,0,P03,P02,P01,P03,P03,P03
51,5,5,3,0.4739698719663831,1,1,1,0,0,3,3.6003436782047595,13,1215,0,P03,P01,P01,P03,P01,P01
52,5,5,3,0.5628416676498511,1,0,1,0,0,2,3.3943744852909,7,1215,1,P03,P03,P03,P01,P03,P03
53,5,5,3,0.2192873935973868,1,1,0,1,0,3,3.5945217863451746,10,1215,1,P04,P04,P01,P04,P02,P04
54,5,5,3,0.30193694664658954,1,0,1,0,0,2,1.5943675300931122,9,1215,1,P03,P03,P03,P03,P03,P03
55,5,5,3,0.27054901367282774,1,1,1,0,0,3,2.4448031323660184,11,1215,0,P03,P02,P01,P03,P02,P03
56,5,5,3,0.2159883123773421,1,1,1,1,0,4,3.7988391033683864,13,1215,0,P04,P04,P04,P02,P03,P02
57,5,5,3,0.48811446946969,1,0,0,1,0,2,2.7501793166259687,9,1215,1,P04,P04,P04,P04,P04,P04
58,5,5,3,0.19502825792883777,1,1,0,0,0,2,1.089406727791428,9,1215,0,P02,P01,P02,P02,P01,P01
59,5,5,3,0.31399715032964376,1,0,1,1,0,3,3.2142674204860584,11,1215,2,P03,P01,P03,P03,P03,P04
60,5,5,3,0.38036468033050563,1,1,1,0,0,3,2.854643295960937,14,1215,0,P03,P01,P03,P03,P03,P01
61,5,5,3,0.26371211674494066,1,1,1,0,0,3,2.5576997325544344,12,1215,0,P03,P03,P03,P02,P01,P02
62,5,5,3,0.07949661006666284,1,1,1,0,0,3,2.2710973701403465,12,1215,0,P03,P02,P01,P01,P01,P02
63,5,5,3,0.2838663802447211,1,1,0,1,0,3,3.271995056658628,13,1215,1,P04,P02,P04,P04,P01,P04
64,5,5,3,0.24396152331186327,1,0,0,1,0,2,4.99389317462251,10,1215,1,P04,P04,P04,P04,P01,P04
65,5,5,3,0.25819716435536677,1,1,0,1,0,3,1.5428796506749207,12,1215,1,P04,P04,P04,P01,P01,P01
66,5,5,3,0.1700031813755708,1,1,1,0,0,3,1.91224149524896,14,1215,0,P02,P01,P01,P03,P02,P02
67,5,5,3,0.25932330326505126,1,1,1,0,0,3,2.5965629015211538,14,1215,0,P03,P01,P03,P02,P03,P01
68,5,5,3,0.3397431975470292,1,1,1,0,0,3,3.481242687623546,7,1215,0,P03,P02,P03,P02,P03,P03
69,5,5,3,0.43937615372259026,1,1,0,1,0,3,2.8567767844860548,9,1215,1,P04,P04,P01,P04,P04,P04
70,5,5,3,0.28584179096382567,1,1,1,1,0,4,2.1304644781594355,10,1215,0,P04,P04,P02,P01,P03,P03
71,5,5,3,0.4863627812204544,1,1,1,0,0,3,2.808132156984944,10,1215,0,P03,P03,P01,P03,P03,P01
72,5,5,3,0.35425157667319573,1,0,0,1,0,2,3.5761004049526925,7,1215,1,P04,P04,P04,P04,P04,P04
73,5,5,3,0.24916819289819564,1,1,1,0,0,3,1.6909755488968146,10,1215,0,P03,P01,P02,P02,P03,P01
74,5,5,3,0.5239262197563258,1,0,1,0,0,2,2.8434313668519615,10,1215,1,P03,P03,P03,P01,P03,P01
75,5,5,3,0.1333916003490357,1,1,0,1,0,3,1.9759947282812638,10,1215,1,P02,P02,P04,P04,P02,P01
76,5,5,3,0.27038512324377995,1,1,1,1,0,4,3.0760299389099703,11,1215,0,P04,P04,P02,P02,P04,P01
77,5,5,3,0.3778753502579234,1,1,1,0,0,3,2.3719667562203646,9,1215,0,P02,P03,P01,P02,P02,P02
78,5,5,3,0.20956424148585348,1,1,1,0,0,3,1.6706491072175558,9,1215,0,P01,P01,P03,P03,P01,P01
79,5,5,3,0.296733672533523,1,0,1,0,0,2,2.262906298314714,9,1215,1,P03,P03,P03,P01,P03,P01
80,5,5,3,0.41513182602727294,1,0,1,1,0,3,3.4933496567171836,9,1215,2,P03,P03,P04,P04,P03,P03
81,5,5,3,0.18403616944665563,1,1,1,1,0,4,2.011826201905525,15,1215,0,P03,P03,P01,P02,P04,P01
82,5,5,3,0.3134847570080784,1,1,1,0,0,3,1.988654695313142,12,1215,0,P03,P02,P01,P01,P02,P03
83,5,5,3,0.1303449652604045,1,1,1,1,0,4,2.393742719335627,8,1215,0,P04,P04,P01,P03,P04,P02
84,5,5,3,0.3557649389330872,1,1,0,1,0,3,2.021985428378244,9,1215,1,P04,P01,P04,P02,P04,P02
85,5,5,3,0.3446398259353142,1,1,1,0,0,3,2.2752256110013307,8,1215,0,P03,P03,P02,P01,P03,P01
86,5,5,3,0.15525516664322747,1,1,1,1,0,4,3.175891547594251,11,1215,0,P04,P04,P04,P03,P03,P04
87,5,5,3,0.39954769354576225,1,1,1,0,0,3,2.9117664958593736,10,1215,0,P03,P03,P01,P03,P03,P03
88,5,5,3,0.19229232244524985,1,1,1,1,0,4,1.9139268304093635,7,1215,0,P04,P01,P02,P01,P02,P04
89,5,5,3,0.2520048508783441,1,1,0,0,0,2,1.5316262225642396,9,1215,0,P01,P01,P01,P01,P02,P01
90,5,5,3,0.1651692151215721,1,0,1,0,0,2,2.1077376460819552,18,1215,1,P03,P03,P01,P01,P01,P03
91,5,5,3,0.23641455357066415,1,1,0,1,0,3,1.6376817027678046,9,1215,1,P04,P02,P01,P01,P04,P04
92,5,5,3,0.10368461483660923,1,1,1,1,0,4,2.416543814135993,9,1215,0,P04,P04,P02,P01,P02,P04
93,5,5,3,0.35988206919520926,1,0,1,0,0,2,3.057771256519584,10,1215,1,P03,P03,P01,P01,P03,P03
94,5,5,3,0.21076544763610952,1,1,1,1,0,4,2.2988994479970826,9,1215,0,P04,P04,P03,P04,P01,P04
95,5,5,3,0.3680626666345037,1,0,1,1,0,3,3.663715554957166,11,1215,2,P03,P03,P04,P01,P03,P03
96,5,5,3,0.08577676996277686,1,1,1,1,0,4,1.563804218406513,8,1215,0,P04,P01,P02,P01,P01,P04
97,5,5,3,0.27738142913974173,1,1,0,1,0,3,2.3883417438645096,15,1215,1,P04,P04,P01,P04,P01,P04
98,5,5,3,0.27870913588855384,1,1,1,1,0,4,2.2133319403031746,11,1215,0,P04,P02,P01,P02,P04,P04
99,5,5,3,0.4073378724255411,1,1,1,0,0,3,3.2287094088066426,12,1215,0,P03,P01,P03,P03,P01,P03
