Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3,Ref for Attr4,Ref for Attr5
56,20,5,3,0.439782896106463,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,3.39167353740125,153,4860,2,P18,P18,P04,P04,P06,P18
57,20,5,3,0.6093081148299199,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3.4184549110190976,182,4860,1,P08,P08,P08,P08,P01,P08
58,20,5,3,0.434024592849704,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,4.462220239414284,122,4860,2,P18,P14,P14,P18,P18,P18
59,20,5,3,0.416266122920811,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2.816345801735416,210,4860,1,P10,P10,P10,P02,P02,P01
60,20,5,3,0.6009268842646112,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3.1892584909259507,108,4860,2,P08,P08,P07,P08,P08,P08
61,20,5,3,0.41429874038145714,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4.129818224652727,113,4860,2,P19,P19,P06,P19,P06,P19
62,20,5,3,0.4416120352852662,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4.223939133703138,256,4860,1,P15,P15,P03,P15,P01,P03
63,20,5,3,0.44558178818164756,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3.312560932550012,152,4860,1,P09,P09,P01,P02,P01,P09
64,20,5,3,0.48972524221043945,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.612721412742283,157,4860,2,P04,P07,P01,P07,P04,P04
65,20,5,3,0.41550837814476294,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3.243447840651362,126,4860,1,P16,P16,P16,P02,P01,P16
66,20,5,3,0.45962455313460027,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,4.197715306585464,137,4860,2,P12,P12,P13,P01,P12,P03
67,20,5,3,0.40367206188943466,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3.1183680088010908,205,4860,1,P09,P02,P09,P03,P09,P09
68,20,5,3,0.46597391644358094,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4.666344231745544,138,4860,1,P10,P03,P01,P10,P10,P10
69,20,5,3,0.45400182018966057,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,3.784764270513881,122,4860,2,P10,P10,P12,P10,P12,P03
70,20,5,3,0.6108743707699189,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5.524719079135132,146,4860,2,P17,P17,P17,P04,P04,P04
71,20,5,3,0.41590303748171337,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2.752156636326445,184,4860,1,P03,P03,P02,P09,P09,P02
72,20,5,3,0.5750961007452865,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.4789669428893752,186,4860,1,P06,P01,P06,P06,P06,P02
73,20,5,3,0.5326669735966055,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4.98030439511362,118,4860,1,P19,P19,P19,P19,P19,P02
74,20,5,3,0.42439769650784204,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4.089186243401474,263,4860,1,P01,P08,P03,P01,P01,P01
75,20,5,3,0.42169556758377935,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.334117331282331,204,4860,0,P05,P04,P05,P03,P01,P03
76,20,5,3,0.5353943999885759,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.643864894520612,217,4860,1,P07,P07,P02,P07,P02,P07
77,20,5,3,0.5914338501978876,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3.9457101733386333,105,4860,1,P14,P14,P14,P14,P01,P14
78,20,5,3,0.6013196182057967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3.2497965968632303,181,4860,2,P19,P19,P18,P18,P19,P19
79,20,5,3,0.5113886342272915,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3.3789742213800706,167,4860,1,P09,P01,P09,P09,P01,P01
80,20,5,3,0.2836949244727614,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2.385065140165949,96,4860,1,P12,P04,P05,P02,P12,P03
81,20,5,3,0.659571719261689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6.51176886216491,133,4860,1,P19,P19,P19,P19,P19,P19
82,20,5,3,0.483627359597392,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3.693875313115622,148,4860,1,P13,P13,P13,P05,P03,P03
83,20,5,3,0.3983136946289293,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.0006941367381015,181,4860,1,P05,P02,P02,P01,P01,P05
84,20,5,3,0.4461545109160733,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,5.290239755635406,96,4860,2,P17,P17,P12,P12,P17,P17
85,20,5,3,0.3828490200503015,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4.560288147651565,184,4860,1,P10,P10,P10,P10,P10,P01
86,20,5,3,0.47256115730864456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3.0748252331167567,97,4860,1,P17,P01,P17,P17,P17,P17
87,20,5,3,0.4949599213488781,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.754875237691328,183,4860,2,P02,P11,P04,P02,P11,P01
88,20,5,3,0.37137743688029,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4.27315815107502,163,4860,1,P17,P17,P17,P17,P17,P02
89,20,5,3,0.49677041609501904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2.605150969884899,142,4860,1,P18,P18,P18,P01,P18,P01
90,20,5,3,0.5655289628750015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4.36061902621144,174,4860,1,P18,P18,P18,P02,P18,P18
91,20,5,3,0.5502965364413039,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3.6306616988601386,173,4860,1,P17,P17,P17,P01,P17,P17
92,20,5,3,0.545183121650024,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.181101020772208,232,4860,2,P05,P01,P05,P04,P04,P05
93,20,5,3,0.41801482857087446,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,5.274902082343288,140,4860,2,P12,P12,P12,P05,P01,P12
94,20,5,3,0.43034480255091545,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2.4396992406363913,163,4860,1,P11,P01,P11,P02,P01,P11
95,20,5,3,0.5825816720529535,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4.719636109518361,152,4860,2,P05,P05,P05,P01,P05,P16
96,20,5,3,0.4954697839073586,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2.9725789516112573,118,4860,1,P13,P03,P13,P03,P13,P02
97,20,5,3,0.33369159422255246,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,3.144448053896809,117,4860,1,P18,P18,P18,P18,P01,P03
98,20,5,3,0.5380395339111848,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3.177016656675974,162,4860,2,P10,P04,P04,P10,P01,P04
99,20,5,3,0.4713516878661954,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3.4629247279493307,262,4860,1,P03,P02,P12,P12,P12,P03
