Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1
16,10,1,3,0.16405930164911042,1,1,1,1,1,1,0,0,0,0,6,1.7700069439698263,12,30,0,P05,P05
17,10,1,3,0.28011198273846405,1,1,1,1,1,0,0,1,0,0,6,1.581583459245575,11,30,1,P08,P08
18,10,1,3,0.1295856775593425,1,1,1,1,1,1,1,0,0,0,7,1.5004893326846618,12,30,0,P06,P05
19,10,1,3,0.14592381857416253,1,1,1,1,1,1,1,0,0,0,7,1.202879115061455,11,30,0,P06,P01
20,10,1,3,0.23629128442347602,1,1,1,1,1,1,0,0,0,0,6,1.8892761841499306,11,30,0,P05,P05
21,10,1,3,0.20846262101589125,1,1,1,1,1,1,0,0,0,0,6,1.729723397014928,19,30,0,P06,P05
22,10,1,3,0.18640648928494094,1,1,1,1,0,0,0,0,0,0,4,1.343975287968579,12,30,0,P03,P02
23,10,1,3,0.1640952984119976,1,1,1,1,1,1,0,0,0,0,6,1.7682201576105498,17,30,0,P05,P06
24,10,1,3,0.1927813473702084,1,1,1,1,1,1,0,0,0,0,6,1.3907584950129694,10,30,0,P04,P03
25,10,1,3,0.13888625729711612,1,1,1,1,0,0,0,0,0,0,4,1.010749029655464,12,30,0,P04,P02
26,10,1,3,0.16938125591663794,1,1,1,1,1,0,0,0,0,0,5,1.2059586496996153,13,30,0,P05,P05
27,10,1,3,0.1861374898445245,1,1,1,1,1,0,0,0,0,0,5,1.3880048796489752,14,30,0,P03,P03
28,10,1,3,0.1525682921619545,1,1,1,1,1,1,1,0,0,0,7,1.79978562970556,14,30,0,P05,P01
29,10,1,3,0.24159298308453808,1,1,1,1,1,1,0,0,1,0,7,2.2068461967032804,13,30,1,P09,P09
30,10,1,3,0.26440504184627134,1,1,1,1,1,0,1,0,0,0,6,1.9875383321436306,18,30,1,P07,P07
31,10,1,3,0.15537329280111448,1,1,1,1,1,1,1,0,0,0,7,1.564524035666842,17,30,0,P07,P04
32,10,1,3,0.2337239576127531,1,1,1,1,1,0,0,0,0,0,5,1.5117489275342,15,30,0,P05,P05
33,10,1,3,0.23746772297800703,1,1,1,1,1,0,1,0,0,0,6,1.964812746186884,16,30,1,P07,P07
34,10,1,3,0.2545643497738,1,1,1,1,1,1,0,0,0,0,6,2.301925365947258,11,30,0,P06,P06
35,10,1,3,0.1588519418462739,1,1,1,1,1,1,1,0,0,0,7,1.616989233911914,14,30,0,P07,P04
36,10,1,3,0.16987637171834016,1,1,1,1,1,1,0,0,0,0,6,1.3426577879240504,10,30,0,P04,P01
37,10,1,3,0.22437809542997944,1,1,1,1,1,0,1,0,0,0,6,1.6752374695807695,12,30,1,P07,P07
38,10,1,3,0.2071475025688148,1,1,1,0,1,0,0,0,0,0,4,1.3080297707396102,16,30,1,P03,P05
39,10,1,3,0.2245505005330881,1,1,1,1,1,0,0,0,0,0,5,1.7175000467331838,14,30,0,P04,P04
40,10,1,3,0.2154218747645558,1,1,1,1,1,0,0,0,0,0,5,1.643637647814845,18,30,0,P05,P04
41,10,1,3,0.197265337050682,1,1,1,1,0,0,0,0,0,0,4,1.207158981981639,15,30,0,P04,P04
42,10,1,3,0.17940543770451722,1,1,1,1,1,0,0,0,1,0,6,1.3607009431981822,10,30,1,P09,P09
43,10,1,3,0.19780453977035634,1,1,1,1,1,1,0,0,0,0,6,1.488594500497952,16,30,0,P06,P06
44,10,1,3,0.20894600215893866,1,1,1,1,1,1,0,0,1,0,7,2.0177941564878106,12,30,1,P09,P09
45,10,1,3,0.18370330508888708,1,1,1,1,1,1,1,0,0,0,7,1.811604016184527,15,30,0,P07,P04
46,10,1,3,0.2227766568474293,1,1,1,1,1,0,0,0,0,0,5,1.1802992012999252,17,30,0,P05,P05
47,10,1,3,0.113222772337619,1,1,1,1,1,0,0,0,0,0,5,0.9381226169718313,15,30,0,P05,P02
48,10,1,3,0.2587167469886602,1,1,1,1,0,0,0,0,0,0,4,1.2945076467212044,16,30,0,P04,P02
49,10,1,3,0.1802155054643379,1,1,1,1,1,1,0,0,0,0,6,1.7325952116374777,15,30,0,P06,P06
50,10,1,3,0.18313154105242457,1,1,1,1,1,1,0,0,1,0,7,2.2210230628018897,12,30,1,P09,P09
51,10,1,3,0.19151647451052006,1,1,1,0,1,0,0,0,0,0,4,1.331797679383695,17,30,1,P01,P05
52,10,1,3,0.295462693751195,1,1,1,1,0,0,0,0,0,0,4,1.4879695374408846,14,30,0,P04,P04
53,10,1,3,0.14262857074640964,1,1,1,1,1,0,0,0,0,0,5,1.174263539535617,14,30,0,P05,P03
54,10,1,3,0.1428940951303353,1,1,1,1,1,0,0,0,0,0,5,1.3366413293977129,13,30,0,P04,P04
55,10,1,3,0.12908593635098717,1,1,1,1,1,1,1,0,1,0,8,2.1117562491609205,13,30,1,P09,P09
56,10,1,3,0.20092060660047795,1,1,1,1,1,0,1,0,0,0,6,1.5725263460678165,16,30,1,P04,P07
57,10,1,3,0.12808649548012746,1,1,1,1,1,1,0,0,0,0,6,1.426788623787385,14,30,0,P06,P02
58,10,1,3,0.15159573204856824,1,1,1,1,1,1,0,0,1,0,7,1.7987032329156016,13,30,1,P04,P09
59,10,1,3,0.16702983406853777,1,1,1,1,1,0,0,0,0,0,5,1.6343936877566874,16,30,0,P05,P03
60,10,1,3,0.17834069070997094,1,1,1,1,0,0,0,0,0,0,4,1.4504843409183996,12,30,0,P04,P04
61,10,1,3,0.16964235208945955,1,1,1,1,1,0,0,0,0,0,5,1.1371845708566632,16,30,0,P04,P01
62,10,1,3,0.28986583611216166,1,1,1,1,0,1,0,0,0,0,5,1.5974882220953917,16,30,1,P06,P06
63,10,1,3,0.204136314592823,1,1,1,1,1,0,0,0,1,0,6,1.8750313993747083,13,30,1,P09,P09
64,10,1,3,0.23366295888190852,1,1,1,0,0,1,0,0,0,0,4,1.433368759808538,13,30,1,P06,P06
65,10,1,3,0.21313811561965984,1,1,1,1,1,0,1,0,0,0,6,1.8463469442407061,13,30,1,P07,P07
66,10,1,3,0.21934936280955,1,0,0,0,0,0,0,1,0,0,2,1.0742066517615505,17,30,1,P08,P08
67,10,1,3,0.3126757750464966,1,1,1,0,1,0,0,0,0,0,4,1.8711250025552375,19,30,1,P05,P05
68,10,1,3,0.20431928804670796,1,1,1,1,1,0,0,0,0,0,5,1.6157904607918487,14,30,0,P05,P05
69,10,1,3,0.2647398369563131,1,1,1,1,1,0,1,0,0,0,6,2.1917336490187775,15,30,1,P07,P07
70,10,1,3,0.18592645105459632,1,1,1,1,0,0,0,1,0,0,5,1.9204915996272507,11,30,1,P08,P08
71,10,1,3,0.16997389294884196,1,1,1,1,1,0,0,0,0,0,5,1.0623361325148641,13,30,0,P04,P02
72,10,1,3,0.17390585216018906,1,1,1,1,1,1,1,0,0,0,7,1.7768173178084181,13,30,0,P06,P01
73,10,1,3,0.1699689600397487,1,1,1,1,1,1,1,0,0,0,7,1.4326053854253362,14,30,0,P06,P02
74,10,1,3,0.18089829028753945,1,1,1,1,1,1,1,0,0,0,7,1.7260544927449555,13,30,0,P07,P07
75,10,1,3,0.16288921820207852,1,1,1,1,1,0,0,0,0,0,5,1.2184439739458042,16,30,0,P04,P03
76,10,1,3,0.23219850071849327,1,1,1,0,0,0,0,0,0,0,3,1.3409370175917459,12,30,0,P02,P02
77,10,1,3,0.29148453376215344,1,1,1,1,0,0,0,0,0,0,4,1.7186235367778013,14,30,0,P04,P04
78,10,1,3,0.1647111142352713,1,1,1,1,1,1,1,0,0,0,7,1.6033307876541385,12,30,0,P07,P01
79,10,1,3,0.2387016060348675,1,1,1,1,0,0,0,0,1,0,5,1.7475561104747714,15,30,1,P09,P09
80,10,1,3,0.18871129630048245,1,1,1,1,1,0,1,0,0,0,6,1.9796928121497066,12,30,1,P07,P07
81,10,1,3,0.21961382080542063,1,1,1,1,1,0,0,0,0,0,5,1.5431949173994566,16,30,0,P05,P03
82,10,1,3,0.2355615690133985,1,1,1,1,0,0,0,0,0,0,4,1.660897956565956,16,30,0,P04,P04
83,10,1,3,0.16151096996189895,1,1,1,1,1,0,0,1,0,0,6,1.7547218640769926,13,30,1,P08,P08
84,10,1,3,0.2191870200034765,1,1,1,1,1,0,1,0,0,0,6,1.4764624393772592,14,30,1,P07,P07
85,10,1,3,0.2498285200157318,1,1,1,1,0,0,0,0,0,0,4,1.3104973179870774,16,30,0,P04,P03
86,10,1,3,0.2644654096704982,1,1,1,1,1,0,0,0,0,0,5,1.7455800041463196,16,30,0,P02,P03
87,10,1,3,0.13289190891702907,1,1,1,1,1,1,0,0,0,0,6,1.644603321848089,16,30,0,P06,P01
88,10,1,3,0.13005743152528107,1,1,1,1,1,1,1,0,0,0,7,1.5474253769975248,14,30,0,P05,P01
89,10,1,3,0.1152377604893664,1,1,1,1,1,1,0,0,0,0,6,1.3909634030641105,11,30,0,P05,P02
90,10,1,3,0.15683655014301762,1,1,1,1,1,1,0,0,0,0,6,1.3071853935171798,11,30,0,P03,P01
91,10,1,3,0.20814427228912896,1,1,1,1,1,1,0,0,0,0,6,1.461982462292603,18,30,0,P06,P04
92,10,1,3,0.2517742064208971,1,1,0,0,0,0,0,0,0,0,2,1.1497903287943414,15,30,0,P02,P02
93,10,1,3,0.1935709746341452,1,1,1,1,1,1,0,0,0,0,6,1.2421382366505231,13,30,0,P06,P02
94,10,1,3,0.09176642438244746,1,1,1,1,1,0,0,1,0,0,6,1.5209643859081363,12,30,1,P08,P08
95,10,1,3,0.2963905315134769,1,1,1,1,1,1,0,0,0,0,6,2.014271790964203,17,30,0,P05,P06
96,10,1,3,0.1511190795356937,1,1,1,1,0,0,0,1,0,0,5,1.4386614817732915,15,30,1,P08,P08
97,10,1,3,0.25537697363949985,1,1,1,1,1,0,0,0,0,0,5,1.5371222958141515,15,30,0,P03,P02
98,10,1,3,0.3100508198704749,1,1,0,1,0,0,0,0,0,0,3,1.6548562647865017,17,30,1,P04,P04
99,10,1,3,0.14041740597850297,1,1,1,1,1,0,0,1,0,0,6,1.9634162140585465,12,30,1,P08,P08
