Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3
23,5,3,3,0.16924193922188868,1,1,1,0,0,3,1.417051580503701,13,135,0,P03,P01,P03,P01
24,5,3,3,0.20687934962605936,1,1,1,1,0,4,2.077000463793228,11,135,0,P04,P04,P02,P03
25,5,3,3,0.21198307085613244,1,1,1,0,0,3,2.809253719701727,10,135,0,P03,P02,P02,P02
26,5,3,3,0.1443864644681508,1,1,1,1,0,4,1.3038014745541906,11,135,0,P03,P01,P02,P01
27,5,3,3,0.1403207517583073,1,1,1,1,0,4,1.6010049840151495,5,135,0,P04,P04,P01,P04
28,5,3,3,0.2901532145640294,1,1,1,0,0,3,2.6236872505566264,11,135,0,P03,P03,P01,P03
29,5,3,3,0.14845465005597616,1,1,1,0,0,3,1.6825531732444494,7,135,0,P03,P01,P01,P01
30,5,3,3,0.3599555971652325,1,1,1,0,0,3,2.953580915795549,9,135,0,P03,P03,P03,P02
31,5,3,3,0.12174854968890436,1,1,1,0,0,3,1.3718790365448492,9,135,0,P01,P01,P03,P01
32,5,3,3,0.3407013008229354,1,0,1,0,0,2,1.231769590632054,6,135,1,P03,P03,P03,P03
33,5,3,3,0.35653272559435406,1,0,0,1,0,2,2.494268134172754,7,135,1,P04,P01,P04,P04
34,5,3,3,0.16624197929347875,1,1,0,1,0,3,1.4577406731860076,6,135,1,P04,P04,P01,P04
35,5,3,3,0.2629725659535602,1,1,1,0,0,3,1.4184820402592857,12,135,0,P03,P03,P02,P01
36,5,3,3,0.10857766195037102,1,1,1,0,0,3,1.8846607463263707,13,135,0,P01,P01,P03,P01
37,5,3,3,0.33505100889989964,1,1,0,1,0,3,2.355591839224792,8,135,1,P04,P04,P01,P04
38,5,3,3,0.29849022979351925,1,1,0,0,0,2,1.5225990668270732,9,135,0,P02,P02,P01,P02
39,5,3,3,0.2848180174753938,1,1,1,0,0,3,1.7701850855452617,9,135,0,P02,P03,P03,P02
40,5,3,3,0.40655937852361185,1,0,0,1,0,2,2.2292041785698893,5,135,1,P04,P04,P04,P04
41,5,3,3,0.17760070617424348,1,1,1,1,0,4,1.5342605134682197,12,135,0,P04,P01,P04,P01
42,5,3,3,0.16850343351999028,1,1,0,1,0,3,1.6288740210558403,13,135,1,P02,P01,P04,P02
43,5,3,3,0.06580380216834146,1,1,1,1,0,4,1.178403463310668,5,135,0,P04,P01,P02,P01
44,5,3,3,0.2627215043191343,1,1,1,0,0,3,1.3445281527445183,7,135,0,P02,P02,P02,P02
45,5,3,3,0.252669030282045,1,1,0,0,0,2,1.3474041502536496,7,135,0,P02,P02,P02,P02
46,5,3,3,0.15963060597759327,1,1,1,1,0,4,1.5545123611142762,7,135,0,P04,P04,P02,P03
47,5,3,3,0.1528168779274465,1,1,0,1,0,3,1.7063555973043378,6,135,1,P04,P01,P02,P04
48,5,3,3,0.16102702014342127,1,1,1,0,0,3,1.7326084805570456,9,135,0,P03,P01,P03,P02
49,5,3,3,0.2786909385626949,1,1,0,0,0,2,2.7579156836187053,10,135,0,P02,P02,P02,P02
50,5,3,3,0.0760344057946023,1,1,1,1,0,4,1.7917803434961561,7,135,0,P04,P03,P04,P03
51,5,3,3,0.15330918567328666,1,1,1,1,0,4,2.2604633745374483,10,135,0,P03,P01,P04,P03
52,5,3,3,0.25971487902523505,1,1,1,0,0,3,1.8989848279327335,8,135,0,P03,P01,P03,P03
53,5,3,3,0.21478947810492244,1,1,1,1,0,4,2.074216768778183,8,135,0,P04,P01,P01,P04
54,5,3,3,0.10349287708647793,1,1,1,0,0,3,1.2694202019771494,9,135,0,P03,P01,P03,P02
55,5,3,3,0.20740198847072666,1,1,1,0,0,3,1.4231108637892094,9,135,0,P03,P03,P01,P01
56,5,3,3,0.10562301208311528,1,1,1,1,0,4,1.4388016177644334,8,135,0,P03,P01,P04,P01
57,5,3,3,0.21071105260458628,1,1,1,1,0,4,1.6897095053523743,9,135,0,P04,P04,P04,P03
58,5,3,3,0.1786551198071396,1,1,1,1,0,4,1.8638645018224818,13,135,0,P03,P01,P01,P04
59,5,3,3,0.335036278321225,1,1,1,1,0,4,2.4787978770592947,9,135,0,P04,P02,P04,P03
60,5,3,3,0.1313745200719252,1,1,1,0,0,3,1.235797662994174,5,135,0,P03,P01,P03,P02
61,5,3,3,0.13479574345137105,1,1,1,1,0,4,1.8029244215384725,6,135,0,P03,P01,P01,P04
62,5,3,3,0.17185884691522754,1,1,0,0,0,2,1.1680546197644843,7,135,0,P02,P01,P01,P02
63,5,3,3,0.22239561151518095,1,1,1,1,0,4,2.4758956114252713,10,135,0,P04,P02,P04,P01
64,5,3,3,0.2186282309381248,1,1,0,0,0,2,1.2014285420390904,8,135,0,P01,P02,P01,P02
65,5,3,3,0.13522192655674334,1,1,1,1,0,4,1.6482557893732657,8,135,0,P03,P04,P03,P01
66,5,3,3,0.12949798111303254,1,1,1,1,0,4,1.842842566852502,6,135,0,P04,P01,P04,P04
67,5,3,3,0.16522382370648744,1,1,1,1,0,4,1.8187670052922216,9,135,0,P03,P01,P04,P01
68,5,3,3,0.12292110770265655,1,1,1,0,0,3,1.547296089713122,9,135,0,P02,P02,P01,P02
69,5,3,3,0.15824039636482043,1,1,1,1,0,4,1.791182337190734,9,135,0,P02,P04,P02,P02
70,5,3,3,0.10480573963824207,1,1,1,1,0,4,2.157404382685136,11,135,0,P03,P01,P04,P01
71,5,3,3,0.2537016333812615,1,1,0,0,0,2,1.5135999148511277,10,135,0,P02,P02,P01,P02
72,5,3,3,0.1049201334559105,1,1,1,0,0,3,0.9744937420564077,8,135,0,P03,P01,P03,P03
73,5,3,3,0.11372217045020873,1,1,1,0,0,3,1.1395094792907927,10,135,0,P03,P01,P03,P02
74,5,3,3,0.07692584384530185,1,1,1,0,0,3,1.4582903942894019,8,135,0,P03,P03,P01,P01
75,5,3,3,0.20766089885924086,1,1,0,1,0,3,3.0967179517370598,10,135,1,P01,P01,P04,P02
76,5,3,3,0.17366130829601759,1,1,1,1,0,4,2.4756801289614034,9,135,0,P02,P04,P01,P01
77,5,3,3,0.09721516463232263,1,1,1,0,0,3,1.9143708575128882,6,135,0,P03,P02,P03,P03
78,5,3,3,0.29843454935195557,1,1,1,0,0,3,2.343120885707089,10,135,0,P03,P03,P03,P01
79,5,3,3,0.17842328444618805,1,1,1,1,0,4,1.3629252093084014,6,135,0,P04,P04,P04,P01
80,5,3,3,0.10468000241084136,1,1,1,1,0,4,1.26305706789117,7,135,0,P03,P01,P02,P01
81,5,3,3,0.35666681086393603,1,1,0,1,0,3,1.7446281779690125,8,135,1,P04,P02,P01,P04
82,5,3,3,0.24133773764622318,1,1,1,1,0,4,2.276140429540305,7,135,0,P04,P04,P03,P01
83,5,3,3,0.20646150529085674,1,1,0,1,0,3,2.067082221957316,6,135,1,P04,P02,P04,P04
84,5,3,3,0.12712924411272475,1,1,0,0,0,2,1.5044330574745586,8,135,0,P01,P02,P01,P01
85,5,3,3,0.36309251766367656,1,1,1,0,0,3,2.6333032851345797,9,135,0,P03,P03,P01,P03
86,5,3,3,0.296464924997386,1,1,1,1,0,4,2.7109120785373135,7,135,0,P04,P02,P04,P04
87,5,3,3,0.20735113745119244,1,1,1,0,0,3,1.8530574248825822,6,135,0,P03,P03,P01,P03
88,5,3,3,0.12276821520475292,1,1,1,0,0,3,1.006019448838372,9,135,0,P02,P01,P01,P02
89,5,3,3,0.20940507429356903,1,1,1,1,0,4,2.170416202352894,13,135,0,P03,P02,P03,P04
90,5,3,3,0.20204634204678606,1,1,1,1,0,4,1.8541291992383773,10,135,0,P04,P04,P01,P01
91,5,3,3,0.3096759617006799,1,1,0,0,0,2,2.2881135661987226,11,135,0,P02,P02,P02,P02
92,5,3,3,0.08197339719290056,1,1,1,1,0,4,1.193585641671957,6,135,0,P03,P01,P03,P01
93,5,3,3,0.358281732043401,1,1,0,0,0,2,1.9149766888815614,6,135,0,P02,P02,P02,P02
94,5,3,3,0.24282130278097486,1,1,1,1,0,4,1.9963007708146732,7,135,0,P04,P03,P04,P01
95,5,3,3,0.15765412773571963,1,1,1,1,0,4,2.710152464614171,6,135,0,P04,P01,P04,P01
96,5,3,3,0.08507364034588477,1,1,1,0,0,3,1.0863419129162672,6,135,0,P03,P02,P03,P02
97,5,3,3,0.07660903671024671,1,1,1,1,0,4,1.5631645436776846,8,135,0,P03,P01,P04,P01
98,5,3,3,0.31084475656689353,1,0,0,1,0,2,2.4300439344611853,7,135,1,P04,P04,P04,P04
99,5,3,3,0.23749515935641563,1,1,1,1,0,4,2.36103584685878,8,135,0,P03,P03,P01,P04
