Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,a.P1,a.P2,a.P3,a.P4,a.P5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1,gamma2,gamma3,eta0,eta1,eta2,eta3
19,5,3,3,0.42385348262555533,0.47717616146697295,0.3056076866522975,0.14224470046869206,0.05186834716694545,1.0,0.775,0.55,0.325,0.1,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.305511252102068,0.24120736132763776,0.39820845978704855,0.46927267709259235,0.35592286427699416,2.6723556266365804,3.990214958796483,3.291642189061484,4.41202254443937,4.539733273868746,1.622873852074577,1.622873852074577,1.622873852074577,1.622873852074577,1,1,1,1
20,5,3,3,0.35827255821388215,0.24794794003440412,0.14589067127833544,0.19913810955931355,0.07444302556475811,1.0,0.775,0.55,0.325,0.1,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.48835159270860357,0.2019124978136048,0.36662528343371936,0.4507523759512098,0.3862969942764233,4.887642843700082,2.5397028123579273,2.6426654737715305,2.258184391651934,3.7327103642103285,1.1555773318346776,1.1555773318346776,1.1555773318346776,1.1555773318346776,1,1,1,1
21,5,3,3,0.5381307669586923,0.09771316658553081,0.8383929434532733,0.4499669890605791,0.0435044138142502,0.775,0.325,1.0,0.55,0.1,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.29382673569784923,0.4405561216015941,0.41540520366525957,0.2488921266739661,0.41266000815419734,3.5442481247858653,4.4121296990622545,3.7781811235956075,2.541088083293486,2.6839787198463854,1.974599004661991,1.974599004661991,1.974599004661991,1.974599004661991,1,1,1,1
22,5,3,3,0.6286968864603142,0.40435743850861733,0.21041257528253055,0.14894686579883265,0.04207544450973261,1.0,0.775,0.55,0.325,0.1,1.0,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.35789341139505415,0.39167304441481143,0.3976114742573302,0.30668296387453803,0.29948529823368136,3.567223458631675,3.9058848256796748,3.5772563044520522,3.636517848677759,2.509352696986449,1.48758164590938,1.48758164590938,1.48758164590938,1.48758164590938,1,1,1,1
23,5,3,3,0.42798810661791475,0.18501361040509456,0.6278798896677134,0.21726795491359888,0.07858495525463782,1.0,0.55,0.775,0.325,0.1,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.5,0.35852159360619934,0.38796175820725376,0.3716480669951383,0.482398169331608,0.2563643868826438,2.028244563756101,4.833303568904675,3.0943820292281066,3.865385698457382,2.8861867578775833,1.27943915629766,1.27943915629766,1.27943915629766,1.27943915629766,1,1,1,1
24,5,3,3,0.3767099140742727,0.5185111870842904,0.18036598393747386,0.4585199764951722,0.0760726641630624,1.0,0.775,0.325,0.55,0.1,1.0,1.0,0.0,0.5,0.5,1.0,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.3620244278249374,0.39998139911042,0.34506067089173764,0.3488026740824347,0.23804739444971124,2.8125739439415427,3.118387018178213,3.886888869808363,3.1243410559168248,3.9451291722386523,1.5942113941435079,1.5942113941435079,1.5942113941435079,1.5942113941435079,1,1,1,1
25,5,3,3,0.34913757695038694,0.22392298616223305,0.6870290592947497,0.2320779515556396,0.07578953164010144,0.775,0.55,1.0,0.325,0.1,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.36265502579224185,0.4346791376588323,0.24620070366464747,0.21208174375249872,0.4034009758054983,2.863338092823102,3.50457098581471,2.6908194851878293,2.101673497786489,3.143549497023053,1.899620704599271,1.899620704599271,1.899620704599271,1.899620704599271,1,1,1,1
26,5,3,3,0.4387453459178675,0.2937361956574004,0.10583429800352157,0.3529061758380424,0.03903616724845972,1.0,0.775,0.325,0.55,0.1,0.5,0.5,0.5,0.0,0.0,1.0,0.5,1.0,0.5,0.0,1.0,1.0,0.5,0.0,0.0,0.3047987323918682,0.3797692620695611,0.4461410902196678,0.25605920366781393,0.3070904851515679,4.817716103290313,3.9537501728678475,3.6941630948736592,4.7567996981862795,2.71788491945017,1.6315410274107238,1.6315410274107238,1.6315410274107238,1.6315410274107238,1,1,1,1
27,5,3,3,0.411612536266669,0.7584626140404077,0.3107801690607107,0.2555923046368157,0.07021258002205902,0.775,1.0,0.55,0.325,0.1,1.0,0.5,1.0,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.20945638540328831,0.27149363632700946,0.28857307415154815,0.24168848033232168,0.21185766871238493,3.96870344111538,4.744536914653766,4.475611503979969,3.510682074303464,2.469715370454642,1.6886386528764832,1.6886386528764832,1.6886386528764832,1.6886386528764832,1,1,1,1
28,5,3,3,0.2614647120421363,0.45357345077529976,0.35688961393246865,0.21178283759731453,0.04446957476905344,1.0,0.775,0.55,0.325,0.1,1.0,1.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.2705445237134418,0.4018960888560683,0.3996774081822201,0.34143775407585775,0.4124173956683136,2.1903916183601875,4.145482759683983,3.660315668671139,2.381872854157182,2.5600910160494776,1.1768233602504885,1.1768233602504885,1.1768233602504885,1.1768233602504885,1,1,1,1
29,5,3,3,0.3332077925907142,0.2514670711484116,0.2131686281050732,0.1374989755535231,0.0752493684227149,1.0,0.775,0.55,0.325,0.1,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.34380217990005557,0.4592049594203663,0.3705239267333833,0.20709712337818448,0.20784147159881616,3.490617129187545,4.2479103427139675,4.162273636340846,2.887996461424692,4.948937255050417,1.0524894248892878,1.0524894248892878,1.0524894248892878,1.0524894248892878,1,1,1,1
30,5,3,3,0.18886120425430747,0.6720536785114385,0.6769140055261403,0.02978471534982924,0.2632532139071616,0.55,1.0,0.775,0.1,0.325,0.5,0.5,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.45304506625387875,0.31669479227561464,0.4558564667207552,0.21675002632293883,0.432521291026495,2.263810514686663,2.8875372911430515,4.711604660043778,4.533930042555269,4.015847911667803,1.4415694483138428,1.4415694483138428,1.4415694483138428,1.4415694483138428,1,1,1,1
31,5,3,3,0.3810413944368362,0.12348327532445469,0.369908819873324,0.8872200929284257,0.06242869915971425,0.775,0.325,0.55,1.0,0.1,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.4838669663403429,0.4138385036786576,0.4334386946515458,0.4107456963804319,0.4504754977511757,4.998542152979746,3.45682841723296,2.3275569128652673,3.203362673447362,4.240414837801685,1.3604667652408184,1.3604667652408184,1.3604667652408184,1.3604667652408184,1,1,1,1
32,5,3,3,0.3604760479543314,0.1963245495082881,0.6239186367976552,0.22713183222614694,0.08791831136386231,1.0,0.55,0.775,0.325,0.1,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.34887203227881924,0.40226075244368054,0.40380087731313763,0.3160409530269115,0.31850564817353805,3.459181253563674,3.14176035727738,4.144952641624458,3.6091510193494485,4.285304108348239,1.7164860567985203,1.7164860567985203,1.7164860567985203,1.7164860567985203,1,1,1,1
33,5,3,3,0.5099139877097093,0.6212978628338978,0.41434145597043853,0.04691220097812213,0.278677045628774,1.0,0.775,0.55,0.1,0.325,0.5,1.0,0.5,0.5,0.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.5,0.5,0.42420156129908937,0.3135671177631737,0.39155007822314003,0.2168348555400722,0.29782950031855365,4.801651923023836,4.692881294653045,2.9734707185565705,3.478333648001542,4.372896950220429,1.8301364061134762,1.8301364061134762,1.8301364061134762,1.8301364061134762,1,1,1,1
34,5,3,3,0.4089270885134326,0.6341739157456092,0.1481940496064314,0.4035431906658391,0.03638362811861465,0.775,1.0,0.325,0.55,0.1,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.38265022064667353,0.24767490325473349,0.4738960383048783,0.41185727111082465,0.4236850226279023,2.172902158790275,4.869025321773478,3.1191878718036072,4.636863375724933,4.354715705132726,1.970543837239416,1.970543837239416,1.970543837239416,1.970543837239416,1,1,1,1
35,5,3,3,0.4791884535903842,0.8032688507793858,0.39681159153728585,0.2886466879186408,0.08310631634507924,0.775,1.0,0.55,0.325,0.1,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.4108098535182979,0.2393330316796079,0.27806177822583883,0.46554304976949185,0.43924486479832187,3.066942906982633,2.7952075545217827,4.190411253838181,4.903847275095869,3.4803908251045583,1.2119587261935956,1.2119587261935956,1.2119587261935956,1.2119587261935956,1,1,1,1
36,5,3,3,0.26893773362643225,0.3029168020777685,0.8549306751463093,0.056521649139036484,0.2848184252228142,0.775,0.55,1.0,0.1,0.325,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.24855159454430936,0.25327451352096086,0.48206255529369474,0.23640449408314293,0.4858605718061377,3.530489376934288,4.646282792892974,4.282991700402689,2.6201161232719343,3.2982413343762045,1.3588748872039202,1.3588748872039202,1.3588748872039202,1.3588748872039202,1,1,1,1
37,5,3,3,0.37575507846158274,0.26207446314188454,0.5274440810697683,0.1336257982447288,0.07445452260776568,1.0,0.55,0.775,0.325,0.1,1.0,0.0,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.2413855540157263,0.23877037518713318,0.34114363844412804,0.37211628540741204,0.3503276074820003,3.9685841841536242,2.273687665270057,3.047138651705137,4.445261999721478,2.7646637194447434,1.1648074540037416,1.1648074540037416,1.1648074540037416,1.1648074540037416,1,1,1,1
38,5,3,3,0.5828486300579838,0.5947657749952429,0.4933032189030173,0.27996353522791506,0.08243069625781801,1.0,0.775,0.55,0.325,0.1,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.30199097816551473,0.2508997315875063,0.2894296265761203,0.4508668197282177,0.3595178033481262,4.253958728404749,3.5863739800139944,2.0952389723678952,4.440224454111725,2.7680930621734614,1.204714648501697,1.204714648501697,1.204714648501697,1.204714648501697,1,1,1,1
39,5,3,3,0.6372877399161694,0.12170976088187019,0.5822010176637925,0.40239153041369524,0.048856249720193465,1.0,0.325,0.775,0.55,0.1,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.42115643711556044,0.4581428691584223,0.20675773471425032,0.31161631981164234,0.2992299841510258,2.8314124687525166,3.506799871460339,2.466891609818004,3.391475130196001,2.4812901743127096,1.5200436771278416,1.5200436771278416,1.5200436771278416,1.5200436771278416,1,1,1,1
40,5,3,3,0.5993807759168283,0.21097861057991057,0.5544933367872414,0.2571499596464717,0.05410769280308961,1.0,0.55,0.775,0.325,0.1,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.26082054848080155,0.47108379711579473,0.40918763940854597,0.3431819284838158,0.22070863040539637,4.224054645911264,4.241600406101101,4.916959891210643,3.0053040599032697,2.9748193674029855,1.6949850002850941,1.6949850002850941,1.6949850002850941,1.6949850002850941,1,1,1,1
41,5,3,3,0.2576424022669063,0.7328390773409863,0.5593835626803956,0.04941251758738685,0.2762061388013942,0.55,1.0,0.775,0.1,0.325,0.5,1.0,1.0,0.0,0.5,1.0,0.5,1.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.33080742095502863,0.4073908175730798,0.40984061036694,0.25201173906626156,0.39940378598650217,3.844613804191588,4.222982124340765,2.3722764302777453,3.0258432489133873,4.528598687310325,1.1832512390837593,1.1832512390837593,1.1832512390837593,1.1832512390837593,1,1,1,1
42,5,3,3,0.47949351943780627,0.46299935877099085,0.6937872439967339,0.2546446775059091,0.05779042169869102,1.0,0.55,0.775,0.325,0.1,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.33614017861014156,0.20161596043616403,0.37166317758307005,0.3415187470552844,0.2852913022993464,3.5162726859151046,4.597395732972535,3.9485555023614753,4.210394211346124,4.122183867616775,1.947935923671106,1.947935923671106,1.947935923671106,1.947935923671106,1,1,1,1
43,5,3,3,0.25256006268788456,0.17478764684898362,0.16037463669293042,0.6201502276053776,0.08343259715899687,1.0,0.55,0.325,0.775,0.1,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.40481927520885697,0.48778073947283423,0.42243522727358374,0.2617160604669315,0.37512506654527183,4.910571597636253,4.261772938402123,4.025247936679319,3.839197095786118,4.27389288586866,1.7475078987010775,1.7475078987010775,1.7475078987010775,1.7475078987010775,1,1,1,1
44,5,3,3,0.40751491361633485,0.20728022820932068,0.4832075624513781,0.257728754448666,0.07147131403876124,1.0,0.55,0.775,0.325,0.1,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.415691363556264,0.3225665592404315,0.3037156271419428,0.4058966703824925,0.20105100613280086,2.0869406538367397,3.4807698388354185,4.163718327784646,2.843800715476175,4.330323767478042,1.3109615133911658,1.3109615133911658,1.3109615133911658,1.3109615133911658,1,1,1,1
45,5,3,3,0.2746726571557202,0.7913672936642431,0.364772910108678,0.24741747124203656,0.07737325081107026,0.775,1.0,0.55,0.325,0.1,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.0,0.0,0.3989330591339295,0.22275684966362203,0.27304649836149175,0.22313819252423964,0.34064029109494454,3.0794601582545145,3.134344951429618,4.190010390261444,3.060914198267398,4.913952961617422,1.209242057521918,1.209242057521918,1.209242057521918,1.209242057521918,1,1,1,1
46,5,3,3,0.6832450109653914,0.32959766490219494,0.15599383619336019,0.6869684218344844,0.08916603007239046,1.0,0.55,0.325,0.775,0.1,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.4127993968159006,0.4691685201872391,0.42406003229447253,0.3391090970018425,0.4205889274214305,2.946552640375775,4.541683120046585,3.891495085382611,4.87050088826158,2.549014784015616,1.0835684756331845,1.0835684756331845,1.0835684756331845,1.0835684756331845,1,1,1,1
47,5,3,3,0.19991788427442125,0.42833856976309315,0.3425907049194572,0.24381393232891135,0.026202846695676074,0.775,1.0,0.55,0.325,0.1,1.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.24844006416018574,0.4441993093186857,0.49720252567990597,0.2363341026683895,0.4012415095783197,3.7669875283334022,2.836110972071378,3.5010163703970134,4.969587019451843,4.497782106260305,1.2410000682013518,1.2410000682013518,1.2410000682013518,1.2410000682013518,1,1,1,1
48,5,3,3,0.36682820812083644,0.7778745265726831,0.1431911245943276,0.48080537692717307,0.031252691576504496,0.775,1.0,0.325,0.55,0.1,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.2627032040102172,0.20571829384608203,0.47323756126357847,0.4586693773186841,0.38655696348245766,4.09416353389918,2.9019849013251866,4.00261054134271,2.365937357502074,2.4555851499530728,1.7750858458445768,1.7750858458445768,1.7750858458445768,1.7750858458445768,1,1,1,1
49,5,3,3,0.5513206394361484,0.7965135000561018,0.21611675261023716,0.46560937713956074,0.069317532857139,0.775,1.0,0.325,0.55,0.1,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.2759203178913302,0.45352467096243054,0.370017478056546,0.20427081111383147,0.3988189158926132,2.5300611727190816,2.738608957031971,2.3153828738061897,4.982099828778951,4.8672724199552135,1.6460670769294683,1.6460670769294683,1.6460670769294683,1.6460670769294683,1,1,1,1
50,5,3,3,0.5730527172801129,0.5682127321794352,0.13752952886660835,0.3739576175841533,0.06530271697036856,1.0,0.775,0.325,0.55,0.1,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.20292636507926504,0.43794950643419694,0.33377938836647436,0.45799748352984243,0.49881803256725427,3.9155337514331205,2.9687970373193733,4.520496826547577,4.736018664847238,4.15912076622141,1.4072297685431576,1.4072297685431576,1.4072297685431576,1.4072297685431576,1,1,1,1
