Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3
10,10,3,3,0.3919377469563139,0.3439877963413053,0.44644472671487995,0.18948332120222783,0.30418747426149056,0.48744668557237997,0.053929537679220596,0.3404158747149807,0.2648313733100788,0.07988115712843848,1.0,0.8,0.9,0.5,0.6,0.7000000000000001,0.2,0.4,0.30000000000000004,0.1,0.5,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.5,0.0,0.5848052569659111,-4.720499051607047,1.8726171070342528,1.7546742343603907,1.7257469214790369
11,10,3,3,0.1462352057416222,0.6946588465097474,0.6211513128476746,0.0898926718296057,0.5944388214505383,0.5433334614365755,0.4585265216890881,0.30444784086567533,0.03743335222962246,0.17215670861827836,0.5,1.0,0.9,0.30000000000000004,0.8,0.7000000000000001,0.6,0.4,0.1,0.2,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.26106798117543595,-4.870357728994245,1.5409673838881435,1.618343656985262,1.8048362715345663
12,10,3,3,0.427986582836945,0.23614040491725052,0.4160180100735148,0.2290522920639379,0.41597738632813136,0.25518633264055685,0.40212215702861387,0.03392212977764933,0.2634193904599865,0.17382022295577798,1.0,0.8,0.9,0.7000000000000001,0.6,0.4,0.5,0.1,0.30000000000000004,0.2,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.37538995693786203,-4.370209163380266,1.2273937612750876,1.3738431828162883,1.4710977038862614
13,10,3,3,0.43713953108759596,0.2856601373827592,0.4458144943255695,0.38192470732824096,0.10363547269099749,0.2478803907573096,0.3750620819244317,0.5891629342690857,0.1194319078170611,0.07024255538053178,1.0,0.8,0.9,0.6,0.30000000000000004,0.4,0.5,0.7000000000000001,0.2,0.1,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,1.0,0.44439641985747524,-4.07458176714632,1.2950870534009926,1.1103151339839001,1.3511615941483075
14,10,3,3,0.3011065686633524,0.16905584939145657,0.6506022995693324,0.38083825612729194,0.5229671461779501,0.24580403259018554,0.06090094821575717,0.2082591029283043,0.44087710731254853,0.06319475192897002,0.9,0.6,1.0,0.7000000000000001,0.8,0.4,0.2,0.30000000000000004,0.5,0.1,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5305217486373602,-5.2556691765265535,1.8465128561705004,1.767094374951759,1.6535542300230621
15,10,3,3,0.40532855175838634,0.4315672649684695,0.36025726534823077,0.7391743446841862,0.47202994924714314,0.2861408288557669,0.3968210205702958,0.2264985164225981,0.03427065782026159,0.14431536503905332,1.0,0.8,0.7000000000000001,0.9,0.6,0.4,0.5,0.30000000000000004,0.1,0.2,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.3913572011971891,-4.6174492560545355,1.7011367748923314,1.6684083690617817,1.4944735209770679
16,10,3,3,0.4886146659995225,0.25627366843404686,0.5086402675189503,0.8275405519035787,0.19299011610168668,0.11359946128502184,0.3289653255681469,0.6291710378102938,0.4330139768035588,0.049777612921497225,0.9,0.6,0.8,1.0,0.30000000000000004,0.2,0.4,0.7000000000000001,0.5,0.1,0.5,0.5,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.27881503457823636,-4.6990491843467606,1.5354935267555598,1.7303437732291618,1.8498894317115555
17,10,3,3,0.20298318763834722,0.6118105259353223,0.37888005525697926,0.6344072766900973,0.16488205984425922,0.28487318447193816,0.42162904964135206,0.15168515343968964,0.049672035013507865,0.15412578069370353,0.8,1.0,0.7000000000000001,0.9,0.4,0.5,0.6,0.30000000000000004,0.1,0.2,0.5,0.5,0.5,0.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5921983990406635,-4.687668301910947,1.8594511971762682,1.7278876359453677,1.7694192441079921
18,10,3,3,0.3864983226037233,0.3134707121641027,0.4984306295114073,0.3613479195748221,0.14488100422135972,0.5631408057669549,0.09924374693270316,0.40137461480958203,0.31172685935604433,0.03219188479054469,1.0,0.8,0.9,0.6,0.30000000000000004,0.7000000000000001,0.2,0.5,0.4,0.1,0.5,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.5,0.5,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.3078303752960155,-5.122501212475467,1.7869633633034405,1.6886671643818223,1.775924265011344
19,10,3,3,0.5666292055517881,0.47735932957032523,0.1541116002587779,0.5711263094550892,0.4786178757365238,0.17864095904528932,0.3973435970682391,0.18121531797635212,0.04934135000647118,0.16078453956262362,1.0,0.9,0.5,0.8,0.7000000000000001,0.4,0.6,0.30000000000000004,0.1,0.2,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.5,0.2901531247841171,-4.341365337479453,1.1042503699646788,1.342644277544801,1.2155593403767901
20,10,3,3,0.29408094759368586,0.42471828334162115,0.16209328909852005,0.43620439599774635,0.7871047061133375,0.30265068582624943,0.18033836313815788,0.11988869833771641,0.3339290420672982,0.047510486500707064,0.8,0.9,0.6,0.7000000000000001,1.0,0.5,0.30000000000000004,0.2,0.4,0.1,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.5,0.34045951460789275,-4.493151037164327,1.2229055260584247,1.3284646281774242,1.2107289691786867
21,10,3,3,0.19024624323800354,0.5005049165966929,0.11392381313750033,0.09027722288224355,0.8194709426395147,0.5538291786392265,0.8080514917740937,0.03312008072716033,0.4362767651894471,0.17525879118717747,0.6,0.8,0.4,0.30000000000000004,1.0,0.7000000000000001,0.9,0.1,0.5,0.2,1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.6423877040866579,-4.468231484971504,1.719291129343806,1.7095807579704199,1.635880562311946
22,10,3,3,0.3206717022068835,0.26774128898299304,0.6359565523679077,0.3817549210733769,0.22532311392213475,0.8534546380511944,0.17666634458688277,0.026212497954477026,0.1290111460483419,0.43865506975911966,0.8,0.7000000000000001,0.9,0.6,0.4,1.0,0.30000000000000004,0.1,0.2,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3131623432602278,-3.590251331944488,1.1834276806385116,1.1870847318520799,0.9953807956092342
23,10,3,3,0.4045249646350376,0.35987496441747685,0.5719569028456967,0.18109815468315166,0.19093794047910095,0.3939566907581765,0.8914963457871702,0.11903835478329064,0.23488656246702497,0.04279471251569708,0.8,0.7000000000000001,0.9,0.5,0.4,0.6,1.0,0.2,0.30000000000000004,0.1,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5637527839677969,-4.537105688463217,1.8382396381688937,1.8729602986407896,1.8905191832495858
24,10,3,3,0.28269832150050855,0.5233000712621666,0.25186543645910536,0.15986368924960864,0.5859300987056387,0.13304516630575558,0.5429505087505024,0.28078680902263553,0.1291105992974289,0.06809761313635394,0.8,1.0,0.6,0.5,0.9,0.30000000000000004,0.7000000000000001,0.4,0.2,0.1,0.5,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.47077950044001704,-5.160513464423692,1.7411831697475126,1.8308176457157008,2.040992255471742
25,10,3,3,0.19548625993433144,0.40361143626438006,0.4188814575179839,0.6919678505419434,0.13763967557972256,0.35334183169772476,0.3863045805553799,0.10759828448706035,0.2533553786749676,0.08324371643171304,0.7000000000000001,0.9,0.8,1.0,0.4,0.6,0.5,0.2,0.30000000000000004,0.1,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.1560240519227361,-4.466492070785297,1.9170575742990639,1.5235187818359988,1.6027603934691916
26,10,3,3,0.5847162569899883,0.6080516766259635,0.5991550168927692,0.2995516352417507,0.23750913912769428,0.5430891665281321,0.059367194270644824,0.5160350538403559,0.2345414402641291,0.034844841514340086,1.0,0.9,0.8,0.5,0.4,0.7000000000000001,0.2,0.6,0.30000000000000004,0.1,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,1.0,1.0,0.5,0.0,1.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.5365268692972637,-5.255469982558978,2.0278116447281933,1.8790307761677252,1.634610582520624
27,10,3,3,0.4370583138322679,0.34864783917101627,0.12382771318513536,0.6821436242433603,0.6464665062958381,0.34946737484683515,0.05584422791112753,0.46219449134820884,0.17790040032578647,0.051811552295577046,1.0,0.7000000000000001,0.4,0.9,0.8,0.5,0.2,0.6,0.30000000000000004,0.1,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.25755227584422236,-4.661138789519279,1.6309089708739801,1.6380302754183897,1.616646030445983
28,10,3,3,0.5833556153341952,0.28814876712743615,0.2181851383532884,0.48396511505453593,0.18910739716305974,0.7333991228197655,0.19187295302633686,0.31801453574859934,0.040436725518769534,0.14318987815985573,1.0,0.7000000000000001,0.6,0.8,0.5,0.9,0.30000000000000004,0.4,0.1,0.2,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.0,-0.16028237922842792,-4.901830745238507,1.961292840082061,2.052797998160153,1.9663357223081201
29,10,3,3,0.32987855570563096,0.2994640931625171,0.27807295767707274,0.40906103363759727,0.14865248711817597,0.08442667328963456,0.5127726031612426,0.4245908826062745,0.3397979538355993,0.044709981416204504,1.0,0.9,0.7000000000000001,0.8,0.30000000000000004,0.2,0.6,0.5,0.4,0.1,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.11145830131233939,-4.303551476078066,1.1381321974806133,1.2452851818808506,1.302879551130058
30,10,3,3,0.3312565675091509,0.4305606511088333,0.27519469887858905,0.8064349858574674,0.2328910229525695,0.535882024790694,0.4825436928754764,0.20004498559874223,0.11920391855481867,0.07487737176061036,0.9,0.8,0.5,1.0,0.4,0.7000000000000001,0.6,0.30000000000000004,0.2,0.1,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.4807587499606995,-4.747544668862272,1.3824179298908224,1.1607589144123978,1.4292976129609538
31,10,3,3,0.28263799905199094,0.36391011750979196,0.1570142429042512,0.4106809864507948,0.11915604203724423,0.5290088863286189,0.05578176064184856,0.6995651575502269,0.4195263847811933,0.08257945439148735,1.0,0.9,0.4,0.6,0.30000000000000004,0.7000000000000001,0.2,0.8,0.5,0.1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.19016070978787364,-4.553399600899964,1.66373014008129,1.4716514424109588,1.4528107710623643
32,10,3,3,0.2824023054852647,0.10295617093104054,0.4151454246508587,0.3107658569655868,0.6170087268622038,0.8797768623741469,0.8004568040657895,0.23555490727240866,0.13579965331058585,0.08120507656862058,0.6,0.4,0.7000000000000001,0.5,0.8,1.0,0.9,0.30000000000000004,0.2,0.1,1.0,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,1.0,0.5,0.0,0.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.1551221001278754,-4.250922421155362,1.4647257932582245,1.224934853821787,1.3576716475640813
33,10,3,3,0.2320633170698705,0.6924278240760924,0.5054008389441841,0.4166135979365555,0.22938812948597873,0.8587350705250215,0.4195714425111386,0.24098889406556062,0.17133975330699483,0.07383676093421544,0.8,0.9,0.7000000000000001,0.6,0.4,1.0,0.5,0.30000000000000004,0.2,0.1,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.5,0.5,0.3467621810690819,-5.040182741244049,1.8451520213684336,1.8907631205328308,1.6733953219664823
34,10,3,3,0.36457689204440946,0.30751229003979197,0.3040589342248473,0.1404862426122182,0.6804270919777587,0.40665774599315013,0.08136084643592828,0.21645658610587853,0.3203213908888453,0.039374416422462324,0.9,0.8,0.7000000000000001,0.5,1.0,0.6,0.2,0.30000000000000004,0.4,0.1,1.0,0.0,0.5,1.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.0,-0.00871627156726451,-4.61351370841501,1.2142031825048487,1.3338621870771588,1.3452209610001948
35,10,3,3,0.3489266112838306,0.7386021497841813,0.5839376360693249,0.23957597367246894,0.05798495298043252,0.5789272580182772,0.4900803626684166,0.23044746278529282,0.44210720775938905,0.06545063542433986,0.9,1.0,0.8,0.4,0.2,0.7000000000000001,0.6,0.30000000000000004,0.5,0.1,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.16079564402766214,-4.171332994681648,0.9067232857696733,1.0903067086251368,1.0659997484384143
36,10,3,3,0.4437023037693242,0.35669185679187376,0.293107329245165,0.20309217733789525,0.3310225791404189,0.1817726031816474,0.3936293151666532,0.19685588453449174,0.11528903960265154,0.08197585374403514,1.0,0.9,0.8,0.6,0.7000000000000001,0.4,0.5,0.30000000000000004,0.2,0.1,1.0,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.49714139362310755,-4.762127457289561,1.7011015886660839,1.572922066500884,1.4531877612169968
37,10,3,3,0.35248474465841817,0.2565311961176371,0.24187149648435802,0.15361315271619247,0.612349008618243,0.23230874487584163,0.13399590280592574,0.5285723914783111,0.07046332987507568,0.1751414985520203,1.0,0.9,0.7000000000000001,0.5,0.8,0.4,0.30000000000000004,0.6,0.1,0.2,0.5,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.6491621799720931,-5.563395312061931,1.547462142837691,1.9101565267223788,1.6429178896726186
38,10,3,3,0.4086623583578206,0.37090435994849136,0.6126326309793867,0.22039522034723513,0.1454265494524825,0.6132356442487681,0.1799752636771376,0.10412055331064636,0.5078175520745637,0.026256496641194546,1.0,0.7000000000000001,0.9,0.5,0.4,0.8,0.30000000000000004,0.2,0.6,0.1,0.5,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.1658606377804599,-4.515051526814056,1.702688456045703,1.7049808887565996,1.7311747126593457
39,10,3,3,0.4332192344458958,0.2762777391335114,0.7920040515688923,0.7919246205267759,0.11452071402438345,0.22493741922087077,0.628571357820526,0.038776103445321834,0.4402384874411158,0.34166430240264634,0.8,0.6,1.0,0.9,0.2,0.30000000000000004,0.7000000000000001,0.1,0.5,0.4,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,1.0,1.0,0.0,0.5,1.0,0.4622664106327331,-4.31356781975056,1.3923998259986767,1.427578835162092,1.4875269007203953
40,10,3,3,0.29326458650564347,0.29343062013203425,0.4960553917589602,0.1687055465753315,0.3376218354445899,0.8506452933689018,0.058614138540613425,0.20699712272652776,0.5123902936879401,0.02598683664132223,0.9,0.7000000000000001,0.8,0.4,0.5,1.0,0.2,0.30000000000000004,0.6,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.1893422225546049,-4.549931461439203,1.2296486631495471,1.1316195540937581,1.3405105535641886
41,10,3,3,0.4014978734427153,0.20917814368740723,0.4066032683193976,0.727660560120488,0.8404746568603888,0.0774371757984194,0.24035152065086804,0.3414679915767982,0.4430775918851862,0.07979278187211264,0.8,0.6,0.7000000000000001,0.9,1.0,0.2,0.30000000000000004,0.4,0.5,0.1,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.4173726850165228,-4.196054707819017,1.2407846880209776,1.2426291198635302,1.1353947741893093
