Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,a.P1,a.P2,a.P3,a.P4,a.P5,a.P6,a.P7,a.P8,a.P9,a.P10,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,gamma0,gamma1,gamma2,gamma3,eta0,eta1,eta2,eta3
10,10,3,3,0.18686378132370085,0.6199926124113335,0.46847918482890105,0.2045192874840916,0.4999235431413011,0.8055952671256449,0.24377910016277593,0.34588950902942317,0.05218506927479444,0.17653790813129344,0.7000000000000001,1.0,0.8,0.5,0.6,0.9,0.30000000000000004,0.4,0.1,0.2,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.5,1.0,1.0,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.2953448183812406,0.315005050914819,0.2505350184591726,0.2159925884189623,0.25626817005845404,0.2298395787439273,0.42543321395527706,0.2237870233533344,0.2201082403541998,0.42922741145421167,4.236771741250368,4.955433135158416,4.948505642180164,2.529864709145334,4.054445141083306,4.666425992769437,2.121320698081888,3.4695317134137262,2.4281907036659467,4.3314975653434855,0.3748815032739642,1.7031775083787655,1.7031775083787655,1.7031775083787655,1,1,1,1
11,10,3,3,0.4359422305822992,0.2217594104338022,0.23812029468501955,0.17063116726772437,0.11577177568930125,0.6880525894430374,0.08940693415415496,0.07784532476576489,0.6841218534661896,0.08478807862444523,1.0,0.7000000000000001,0.6,0.5,0.4,0.9,0.30000000000000004,0.2,0.8,0.1,1.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.20013199698333836,0.4525471536816312,0.3780473561371543,0.26178340725625343,0.2919047550016753,0.3460286550452676,0.28350208973278207,0.3090863567149907,0.36118540648186226,0.3343046302568357,3.9916228119848887,3.9629077004529094,4.1741588915811665,2.4783951047361903,2.1771767873527192,4.042320929532778,3.269015398629114,2.0233957736000137,3.852754766941648,3.3092989386065907,0.4053639103183533,1.9330163994332683,1.9330163994332683,1.9330163994332683,1,1,1,1
12,10,3,3,0.5031063516705901,0.20386466310381168,0.5111691586078128,0.2433789377854314,0.4801886506658841,0.1451517784201578,0.33260533979204465,0.16128424416701634,0.08510911618711657,0.08247780187647842,1.0,0.7000000000000001,0.9,0.6,0.8,0.4,0.5,0.30000000000000004,0.2,0.1,0.5,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.4848186143631001,0.4222268310666542,0.2975372195209623,0.2502588999260839,0.3145242136827123,0.41765677710290855,0.3365568586556063,0.3075409008364191,0.3186948635864941,0.33023273113495755,3.111172468146973,3.750726267751161,2.775232182544362,4.042807220426356,2.7096167544739433,4.814525263095147,3.5409570025525747,4.003955952786731,3.422746749480686,4.756468132454998,0.7820610565570818,1.0994663662984898,1.0994663662984898,1.0994663662984898,1,1,1,1
13,10,3,3,0.22192280440103324,0.5262112415258965,0.4394864546065386,0.15087336562687814,0.6849962382521213,0.20067437064728708,0.5343955158497679,0.05950589512482671,0.2136998743723976,0.07372313201830412,0.6,0.9,0.8,0.5,1.0,0.4,0.7000000000000001,0.2,0.30000000000000004,0.1,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0.38017522913709645,0.4711035733394977,0.38893460269941,0.23635695830045103,0.35567189177494096,0.2767712246821633,0.41523461409541285,0.3275248637462871,0.47201672303031855,0.29939666162284145,4.872182083736301,2.8956142546762997,3.6649031836095842,3.633433180985919,4.791439512339877,4.898729620348261,2.106463381634808,2.6682254850095504,2.0752297357388643,4.312338704719845,0.30300403438263224,1.1859965381016682,1.1859965381016682,1.1859965381016682,1,1,1,1
14,10,3,3,0.3306170557757864,0.2653301629445183,0.2616947325759966,0.23985482600048402,0.4306993215406328,0.18806143097321712,0.4243220638406892,0.3436990534397619,0.047360646935893216,0.1645425205470038,1.0,0.9,0.8,0.7000000000000001,0.6,0.30000000000000004,0.5,0.4,0.1,0.2,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.48347996762534073,0.4478096870682743,0.2395892598014373,0.40691320307753304,0.49295362365479983,0.3185270751389386,0.4137856672321233,0.36899329248934437,0.4727049237981954,0.252622525243291,2.766978085192401,3.2134711073890623,4.750863838227126,2.3577005053997904,4.10570118019913,4.416499252866268,2.327844946658772,4.216893079668941,3.7241060269604325,4.1849533471044005,0.27892790416957686,1.054029537600067,1.054029537600067,1.054029537600067,1,1,1,1
15,10,3,3,0.32515242315377346,0.4989460401285579,0.6816270850796645,0.4884900977609849,0.11172259957103725,0.44172779687267055,0.07418081232045126,0.38943382954365946,0.3591112792016377,0.08814330731635273,1.0,0.8,0.9,0.7000000000000001,0.30000000000000004,0.6,0.2,0.5,0.4,0.1,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.44487493214983276,0.4711376935490863,0.3810804447047679,0.4564025983396698,0.4769205834828338,0.3166711570130664,0.4927634931670942,0.4338752543144655,0.3703041120629399,0.20760608980569673,4.9129177809743485,3.733783709555237,3.2522925588058524,2.5866621260700824,4.2376552394488805,4.389098374673144,2.4018957900286244,2.0058247532938553,3.358948385698276,4.7676849676281225,0.8180422152322939,1.7572317882479849,1.7572317882479849,1.7572317882479849,1,1,1,1
16,10,3,3,0.38447908855992224,0.6980336429014373,0.32985534762536545,0.6558835187030949,0.5823481959641634,0.3454158739169232,0.17632062106817983,0.08905708417681348,0.2968871869706696,0.05753606888281018,0.7000000000000001,1.0,0.6,0.9,0.8,0.5,0.30000000000000004,0.2,0.4,0.1,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.4916872529656375,0.45454848795259545,0.2090529936696956,0.45224565244613285,0.2868180208942328,0.4216510037457978,0.2976033587355743,0.2636410151273537,0.2952769222869385,0.34863147208552503,4.329307985414944,3.9105491218821467,4.604582144304037,4.3405337190168645,3.3383925048600944,4.366087380243001,2.269071994615812,4.285601277292846,3.535458014560439,2.5771170516489397,0.3323346064966439,1.8648248078160652,1.8648248078160652,1.8648248078160652,1,1,1,1
17,10,3,3,0.26111598517104806,0.3155728203789182,0.1815248059402621,0.39712789648802954,0.1479113298127872,0.593420533768476,0.22388769577610962,0.5295339884537061,0.14522836636561243,0.08858253738315781,1.0,0.9,0.5,0.7000000000000001,0.4,0.8,0.30000000000000004,0.6,0.2,0.1,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.4446925335160875,0.22594862196839577,0.33687866077754414,0.3814186175005914,0.23626052615674306,0.2929920807650934,0.4064166817225727,0.4865435023384454,0.4030430299056279,0.2730730876463615,4.8136920398212775,2.987632053718306,2.934067017679245,3.0370527052626377,3.2622447052398207,2.29245619982697,2.348765405034205,2.939474920831211,3.427831915091292,3.741306269416426,0.11604309888115136,1.7254406127176023,1.7254406127176023,1.7254406127176023,1,1,1,1
18,10,3,3,0.4157398780185778,0.6683485365660011,0.5169179037952767,0.43200165186478773,0.13757461863902865,0.08590743114244015,0.29450934583327143,0.4695410181056385,0.09955160773173893,0.05688046384640012,0.9,1.0,0.8,0.7000000000000001,0.4,0.30000000000000004,0.5,0.6,0.2,0.1,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.4972874840414722,0.20971328799725017,0.293160434101601,0.39375376198856393,0.24443467473168873,0.21247070649322608,0.26362693897907585,0.23537381383291459,0.49641394300852026,0.2606045146632167,2.113157046775916,2.2704927502450203,3.261770765926462,4.5073763888418785,2.6359145165245677,3.2198907049601924,3.2983150303028035,2.4936958096431905,2.041281245421458,3.464053161871461,0.5632964788161908,1.6768689276216375,1.6768689276216375,1.6768689276216375,1,1,1,1
19,10,3,3,0.20691026917790933,0.40350366076876903,0.3291619088686304,0.2830808781960504,0.39135374451580596,0.11420093741365006,0.86399674230482,0.026436909323228147,0.3462564766565097,0.15850829803810249,0.8,0.9,0.7000000000000001,0.5,0.6,0.30000000000000004,1.0,0.1,0.4,0.2,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,0.5,1.0,0.3190945063360792,0.4111455977372378,0.4096512702404266,0.40243746804276637,0.2363404475598277,0.4832730510920353,0.47797171135102684,0.2531069706246833,0.3568839270861619,0.4367930013125637,2.6165062972987063,2.3263702580013286,2.0519792200694456,4.278413139920989,3.0591592483788665,4.37480217343069,2.0356264707422507,4.968431637251723,4.923866621761944,3.878554887983006,0.6410755272676072,1.1581506267238346,1.1581506267238346,1.1581506267238346,1,1,1,1
20,10,3,3,0.2634831220602032,0.3983757122767104,0.2894645048442384,0.1311003729393726,0.5916841617680022,0.2214294123386445,0.13768184571188793,0.4750390755885726,0.13379556456589686,0.07640333154790183,0.9,1.0,0.7000000000000001,0.5,0.8,0.4,0.30000000000000004,0.6,0.2,0.1,1.0,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.27418707799881653,0.34038480979959396,0.24242476423830253,0.290523418913025,0.3452582538607407,0.28980709683653666,0.4827857737635297,0.4995162850590704,0.2428849136887145,0.21795948379250737,3.5062550824127134,3.9367172959356775,3.719082448374461,4.771248842078237,3.312732169674986,4.980658703085922,4.291615751995095,4.052834136596272,3.3448136879361146,4.441908893187033,0.9068605646304282,1.822167766716648,1.822167766716648,1.822167766716648,1,1,1,1
21,10,3,3,0.42941882792930797,0.3887906503833772,0.7364435129293367,0.4204799357440561,0.7497951875341577,0.1512075359946579,0.280082502443969,0.4246936631452784,0.13288716309576243,0.0878838452923695,0.8,0.7000000000000001,1.0,0.6,0.9,0.30000000000000004,0.4,0.5,0.2,0.1,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.2353266369196107,0.39562069740688877,0.2540784543174232,0.4456534466461016,0.48804585101633446,0.21496502725811723,0.4038210108836625,0.41509041996040164,0.4798740823990793,0.2715446341248537,3.5043170771448553,3.140651757797986,4.013767132674639,4.245856791517573,3.0336450398153665,2.6260341415305377,4.471110985907481,3.3971070404977493,3.035032732042231,3.9227859720072082,0.33038248591149355,1.072554112475275,1.072554112475275,1.072554112475275,1,1,1,1
22,10,3,3,0.23983356261830002,0.6177126480417037,0.1475361806000822,0.5678193104561403,0.07283843887072572,0.38753743994191814,0.7929339393566804,0.5144924582494778,0.33402511986364325,0.043950970703837744,0.8,1.0,0.30000000000000004,0.7000000000000001,0.2,0.5,0.9,0.6,0.4,0.1,0.5,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.21232233764708758,0.3181529767365101,0.2661477637355704,0.40287255045704917,0.4648852544195691,0.3174791599618161,0.2658276354959816,0.30609767042980063,0.2923460031585699,0.283935497472255,3.776027891834028,2.4667306392484187,4.740068238943155,2.230174772706909,4.549755288682207,2.7060970003185343,3.009075917580618,2.2436149568822334,3.7138837043577864,3.6106685171619475,0.5653815517467042,1.8279365474779197,1.8279365474779197,1.8279365474779197,1,1,1,1
23,10,3,3,0.27793790065814217,0.2168315361098868,0.6708392585585343,0.5245625422550523,0.4804563637318768,0.31951747516509355,0.1802925276925634,0.09683271551436418,0.05364973094285106,0.35596753576257956,0.9,0.6,1.0,0.8,0.7000000000000001,0.5,0.30000000000000004,0.2,0.1,0.4,0.0,1.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.3843280065796034,0.2882392680156182,0.3298498180185039,0.2255025906480901,0.4341500772477323,0.30804632735364645,0.26300296924568856,0.2505986797899807,0.4062454212624912,0.301137020932541,2.418897166422318,2.0330134196694076,4.7017564781217,3.245269964558312,3.0276291040236445,3.818317341168469,2.87206392629206,2.71693725414819,3.5262914040151174,2.707790628801912,0.37721437213085784,1.7689200784346353,1.7689200784346353,1.7689200784346353,1,1,1,1
24,10,3,3,0.16307146554116214,0.5993715617150359,0.4029789874483304,0.050996198639297746,0.3647465587942903,0.5667646934663039,0.7732084513273783,0.30859917876420995,0.21444287942761295,0.07325334132131094,0.6,1.0,0.8,0.2,0.5,0.7000000000000001,0.9,0.4,0.30000000000000004,0.1,0.5,1.0,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.25943843697968233,0.27201315261771847,0.29051797031726856,0.477098966427048,0.28696174100769933,0.2048856612965287,0.4717387941299906,0.25124711431543717,0.33748162367269485,0.31593448878736646,2.6163460025708245,4.487343449955941,3.6051834846876165,2.4188297843490587,2.1319933183588846,3.061197969785999,3.8336747688198516,4.315120043698958,4.298833409719814,3.415097890041074,0.5079179038198528,1.9500716715730904,1.9500716715730904,1.9500716715730904,1,1,1,1
25,10,3,3,0.2764259877360892,0.4067290127215922,0.3509818990895837,0.2570967989367108,0.7791854034346976,0.1734960730862025,0.2800655561959801,0.09389600429423756,0.498273226164007,0.038056939004182805,0.8,0.9,0.7000000000000001,0.5,1.0,0.30000000000000004,0.4,0.2,0.6,0.1,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.44456857210704714,0.3789459468548438,0.204267021948368,0.46630798983209026,0.3370471533991827,0.22289750135316827,0.4017534364553741,0.46199443730142586,0.26177591593136296,0.4043830598320598,4.049018081171576,2.9271342949806214,2.8255240369843033,3.5276813191407803,4.540951739484334,4.803727907202294,2.7972974562540083,2.2840616834066516,2.629625757434765,4.594302040832284,0.2992321961368406,1.7493521112200443,1.7493521112200443,1.7493521112200443,1,1,1,1
26,10,3,3,0.22383070555711043,0.3329479502913512,0.5451638021975685,0.18513655381388172,0.14000279277778815,0.47791368068310375,0.8867019032610141,0.1297284352530375,0.23465131943294318,0.07694449959947466,0.7000000000000001,0.8,0.9,0.5,0.4,0.6,1.0,0.2,0.30000000000000004,0.1,0.5,1.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.20991147510518918,0.40949468100838193,0.28155530217544444,0.446715700497498,0.22921832552439148,0.36612215358065264,0.24595451436119642,0.32007688540259605,0.4590655637628797,0.4072568823018454,4.623654148053905,2.9634598130786847,3.7406952497769534,3.645766780308749,3.76650347839753,4.093411647712913,4.520812074830449,2.777654808755203,4.0992889315396335,4.568873713031991,0.2764361767674758,1.0456359682688738,1.0456359682688738,1.0456359682688738,1,1,1,1
