Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3
17,5,3,3,0.09835058588482799,1,1,1,1,0,4,1.0978443676893295,8,135,0,P03,P03,P02,P01
18,5,3,3,0.08234677086675848,1,1,1,1,0,4,1.2404565000479115,8,135,0,P03,P01,P02,P03
19,5,3,3,0.05668753590231975,1,1,1,1,0,4,1.5248713504751457,9,135,0,P04,P02,P04,P02
20,5,3,3,0.07530969090703225,1,1,1,1,0,4,1.3237260587949116,8,135,0,P04,P04,P04,P04
21,5,3,3,0.16767713668901346,1,1,0,0,0,2,1.0270867968491062,10,135,0,P02,P02,P02,P01
22,5,3,3,0.07841360285154476,1,1,1,1,0,4,1.0468518339049835,11,135,0,P02,P03,P04,P01
23,5,3,3,0.10405161422403321,1,1,1,1,0,4,1.209799153005132,8,135,0,P04,P04,P04,P03
24,5,3,3,0.12519347383705587,1,1,1,1,0,4,1.1719428505299485,9,135,0,P04,P04,P04,P03
25,5,3,3,0.09963083157625108,1,1,1,1,0,4,1.172874568600103,11,135,0,P03,P02,P02,P03
26,5,3,3,0.09510803774301005,1,1,1,1,0,4,1.2739213970218906,7,135,0,P04,P04,P04,P04
27,5,3,3,0.11970162742763446,1,1,1,1,0,4,1.2823299767743181,5,135,0,P04,P02,P04,P04
28,5,3,3,0.12387578713897898,1,1,1,0,0,3,1.2761096591734153,10,135,0,P03,P01,P02,P03
29,5,3,3,0.15114233642376176,1,1,1,0,0,3,1.5286560258915087,11,135,0,P03,P03,P01,P03
30,5,3,3,0.10658409780774686,1,1,1,1,0,4,1.2991812698420206,7,135,0,P04,P01,P01,P04
31,5,3,3,0.08926706355990321,1,1,1,0,0,3,1.06802312051886,7,135,0,P03,P01,P03,P02
32,5,3,3,0.13723455408686935,1,1,1,0,0,3,1.3152875106942825,9,135,0,P03,P02,P01,P03
33,5,3,3,0.11861458478992234,1,1,1,0,0,3,0.9853282560211224,10,135,0,P02,P01,P02,P01
34,5,3,3,0.17349227329200576,1,1,0,0,0,2,1.0281668608031054,7,135,0,P01,P01,P01,P01
35,5,3,3,0.06973850195464833,1,1,1,0,0,3,0.9697859940317595,10,135,0,P03,P02,P02,P01
36,5,3,3,0.21275223161812,1,1,1,1,0,4,1.5986846599740945,11,135,0,P03,P02,P03,P03
37,5,3,3,0.09099600360246705,1,1,1,0,0,3,0.8628417675921698,7,135,0,P01,P01,P01,P03
38,5,3,3,0.11246353584997451,1,1,1,1,0,4,1.4252778010477978,7,135,0,P03,P01,P01,P01
39,5,3,3,0.2170379785603026,1,1,1,0,0,3,1.430649222914136,9,135,0,P03,P02,P01,P01
40,5,3,3,0.11307861701045796,1,1,1,1,0,4,1.2519018300763016,9,135,0,P04,P02,P01,P04
41,5,3,3,0.10968498210629792,1,1,1,1,0,4,1.1846909948189532,7,135,0,P03,P01,P02,P03
42,5,3,3,0.08875986782159725,1,1,1,1,0,4,1.0997560301784797,9,135,0,P04,P02,P04,P02
43,5,3,3,0.14339283341699893,1,1,1,1,0,4,1.6097651820986938,11,135,0,P02,P02,P01,P02
44,5,3,3,0.05836232792647106,1,1,1,1,0,4,1.2586799645825892,8,135,0,P04,P01,P03,P03
45,5,3,3,0.1264239644847899,1,1,1,0,0,3,1.0068522548523453,8,135,0,P02,P01,P02,P03
46,5,3,3,0.08238050706091055,1,1,1,0,0,3,0.8609184732275514,8,135,0,P03,P03,P03,P01
47,5,3,3,0.1806478731311011,1,1,1,0,0,3,1.1839441093129988,7,135,0,P02,P02,P03,P03
48,5,3,3,0.09655926800793155,1,1,1,0,0,3,1.078312624418842,8,135,0,P03,P02,P02,P02
49,5,3,3,0.10269942211697154,1,1,1,1,0,4,1.1706154321360025,8,135,0,P01,P01,P02,P01
50,5,3,3,0.18030812962881593,1,1,1,1,0,4,1.4700818025940001,9,135,0,P03,P01,P03,P04
51,5,3,3,0.14514199521712692,1,1,1,1,0,4,1.4865822249663996,11,135,0,P04,P01,P04,P01
52,5,3,3,0.05317586844922271,1,1,1,1,1,5,2.160222339838955,7,135,0,P04,P04,P02,P02
53,5,3,3,0.15290820682076114,1,1,1,0,0,3,1.1146215140186277,9,135,0,P02,P02,P03,P01
54,5,3,3,0.0928431465495543,1,1,1,1,0,4,1.2972564558099724,7,135,0,P03,P01,P01,P03
55,5,3,3,0.06855051856672925,1,1,1,1,0,4,1.1246188833804678,6,135,0,P04,P03,P01,P01
56,5,3,3,0.12899435304821105,1,1,1,0,0,3,1.0813769181322237,8,135,0,P02,P01,P02,P01
57,5,3,3,0.12872096098703883,1,1,1,1,0,4,1.4668332654159613,10,135,0,P03,P04,P02,P04
58,5,3,3,0.04860536887135926,1,1,1,1,0,4,1.1379839674741454,7,135,0,P03,P03,P04,P02
59,5,3,3,0.117657677901972,1,1,1,0,0,3,1.2033984845586116,6,135,0,P03,P01,P02,P02
60,5,3,3,0.0648203846024652,1,1,1,1,1,5,4.685041291964798,11,135,0,P05,P01,P01,P03
61,5,3,3,0.06650080672964494,1,1,1,1,1,5,5.5201280461456745,12,135,0,P05,P03,P02,P01
62,5,3,3,0.09790260594030963,1,1,1,0,0,3,0.8354007502366579,8,135,0,P03,P02,P02,P03
63,5,3,3,0.14267057583739726,1,1,1,1,0,4,1.3446883912506848,10,135,0,P04,P01,P01,P02
64,5,3,3,0.07793701283568973,1,1,0,0,0,2,0.7342587313559069,5,135,0,P01,P01,P01,P01
65,5,3,3,0.11326998362861068,1,1,1,1,0,4,1.365408560400898,7,135,0,P02,P02,P01,P02
66,5,3,3,0.1135724664860344,1,1,1,1,0,4,1.440260759033255,13,135,0,P03,P02,P01,P01
67,5,3,3,0.1617835301408504,1,1,0,0,0,2,1.0137224080049705,7,135,0,P02,P02,P02,P01
68,5,3,3,0.0639686598681621,1,1,1,1,1,5,4.994841422025318,9,135,0,P05,P01,P01,P01
69,5,3,3,0.08609557265112122,1,1,1,1,0,4,1.2614043865652964,10,135,0,P01,P02,P01,P02
70,5,3,3,0.12172366636832074,1,1,1,0,0,3,0.988874812569253,11,135,0,P03,P02,P02,P03
71,5,3,3,0.1398398703434979,1,1,1,1,0,4,1.4642235752699189,8,135,0,P04,P02,P04,P02
72,5,3,3,0.06769726614672592,1,1,1,0,0,3,1.3741839986012223,9,135,0,P02,P01,P01,P01
73,5,3,3,0.10387029552137236,1,1,1,1,0,4,1.0701987135376152,8,135,0,P04,P04,P01,P04
74,5,3,3,0.06682717503061357,1,1,1,1,0,4,1.2557528525754338,12,135,0,P04,P01,P03,P04
75,5,3,3,0.07688719349944499,1,1,1,1,0,4,1.073623397069485,10,135,0,P04,P01,P04,P01
76,5,3,3,0.14955719369337675,1,1,1,0,0,3,1.1264176807283195,13,135,0,P02,P01,P01,P03
77,5,3,3,0.07276324937397999,1,1,1,1,0,4,1.0827581933919972,8,135,0,P04,P04,P02,P02
78,5,3,3,0.1394686049648315,1,1,1,1,0,4,1.5243324762278556,12,135,0,P03,P02,P01,P03
79,5,3,3,0.08654196111867853,1,1,1,0,0,3,0.9125720495600143,11,135,0,P02,P01,P01,P03
80,5,3,3,0.12109732954483349,1,1,1,1,0,4,1.1456315248175999,9,135,0,P04,P03,P04,P03
81,5,3,3,0.11491933348812479,1,1,1,1,0,4,1.312460718594966,10,135,0,P03,P02,P01,P03
82,5,3,3,0.12140558968747417,1,1,1,0,0,3,1.33665003005208,9,135,0,P02,P01,P02,P02
83,5,3,3,0.0715270999819503,1,1,0,0,0,2,0.7412781856576256,10,135,0,P01,P01,P02,P01
84,5,3,3,0.16304202725659467,1,1,1,1,0,4,1.5735361060025066,8,135,0,P04,P04,P02,P04
85,5,3,3,0.12633080097961252,1,1,0,0,0,2,0.8787202178389188,8,135,0,P01,P01,P02,P02
86,5,3,3,0.1361618738608508,1,1,1,0,0,3,1.4295616648204037,7,135,0,P03,P01,P01,P01
87,5,3,3,0.18128775229418853,1,1,1,0,0,3,1.0438304238697673,8,135,0,P03,P01,P03,P01
88,5,3,3,0.14152008740346622,1,1,1,1,0,4,1.2571269525529432,8,135,0,P04,P02,P03,P04
89,5,3,3,0.13937596026118132,1,1,1,1,0,4,1.271474560071365,7,135,0,P04,P03,P01,P03
90,5,3,3,0.11101091316430745,1,1,1,1,0,4,1.2942259457729677,10,135,0,P04,P02,P01,P04
91,5,3,3,0.15579668127689988,1,1,1,1,0,4,1.3503337852064206,9,135,0,P04,P01,P03,P01
92,5,3,3,0.10368225937371497,1,1,1,1,0,4,1.3610651167106766,14,135,0,P04,P01,P04,P01
93,5,3,3,0.07774692930080492,1,1,1,1,0,4,1.2824285732785685,9,135,0,P03,P03,P03,P04
94,5,3,3,0.06625675014198215,1,1,1,1,0,4,1.2284338071369323,9,135,0,P04,P04,P02,P01
95,5,3,3,0.08050073342847133,1,1,1,1,0,4,1.2195705672313095,6,135,0,P04,P03,P04,P01
96,5,3,3,0.09413829604258407,1,1,1,1,0,4,1.2731373949988087,6,135,0,P03,P01,P01,P03
97,5,3,3,0.07163809879205468,1,1,0,0,0,2,0.7937978986843072,11,135,0,P02,P01,P01,P02
98,5,3,3,0.13515075060794998,1,1,1,1,0,4,1.3110769893703513,9,135,0,P03,P03,P02,P03
99,5,3,3,0.0715266870104762,1,1,1,0,0,3,1.0903699669870028,8,135,0,P03,P03,P03,P01
