Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1
42,10,1,3,0.09387529902527303,1,1,1,1,1,1,1,0,0,0,7,1.099484209020922,11,30,0,P07,P07
43,10,1,3,0.14188320416233463,1,1,1,1,1,0,0,0,0,0,5,1.3533009122164632,16,30,0,P03,P05
44,10,1,3,0.10874222171717997,1,1,1,1,1,1,1,0,0,0,7,1.423599764227848,17,30,0,P06,P01
45,10,1,3,0.14512700191377045,1,1,1,1,1,1,1,0,0,0,7,1.4957283709606157,16,30,0,P07,P04
46,10,1,3,0.17013888988032322,1,1,1,1,1,0,1,0,0,0,6,1.4227933141877909,13,30,1,P07,P07
47,10,1,3,0.14901344887084664,1,1,1,0,0,1,0,0,0,0,4,0.958782247222683,13,30,1,P03,P02
48,10,1,3,0.13233692263221963,1,1,1,1,1,1,1,0,0,0,7,1.1624459868709935,13,30,0,P05,P05
49,10,1,3,0.12661967763937393,1,1,1,1,0,1,0,0,0,0,5,1.1363454662176644,16,30,1,P06,P06
50,10,1,3,0.19885545276584657,1,1,1,1,1,1,0,0,0,0,6,1.4787604072010543,12,30,0,P06,P06
51,10,1,3,0.11784025985949492,1,1,1,1,1,1,1,1,0,0,8,1.7199656961082024,15,30,0,P07,P03
52,10,1,3,0.112668832174577,1,1,1,1,0,0,0,0,0,0,4,0.8570957525490803,13,30,0,P04,P04
53,10,1,3,0.154328673262637,1,1,1,1,1,0,0,0,0,0,5,1.0800856700156956,16,30,0,P03,P01
54,10,1,3,0.13626504958847957,1,1,1,1,1,1,1,0,0,0,7,1.539712975800383,18,30,0,P04,P03
55,10,1,3,0.12301548954903688,1,1,1,1,1,1,1,0,0,0,7,1.2162411818684649,15,30,0,P07,P07
56,10,1,3,0.10825823284151621,1,1,1,1,1,1,1,0,0,0,7,1.7827365859615814,14,30,0,P06,P06
57,10,1,3,0.09511306373477219,1,1,1,1,1,1,1,0,0,0,7,1.163871055560453,10,30,0,P03,P02
58,10,1,3,0.1038372427778646,1,1,1,1,1,1,1,0,1,0,8,1.3999120752581278,11,30,1,P07,P07
59,10,1,3,0.16369543266877554,1,1,1,1,1,1,0,0,0,0,6,1.5948810293099567,14,30,0,P05,P06
60,10,1,3,0.10078076560604791,1,1,1,1,1,1,1,0,0,0,7,1.1438164150333776,12,30,0,P06,P06
61,10,1,3,0.11935160257196556,1,1,1,1,1,1,0,0,0,0,6,1.1990597738229822,13,30,0,P05,P04
62,10,1,3,0.13564795281107336,1,1,1,1,1,1,0,0,0,0,6,1.2515652944012987,13,30,0,P06,P04
63,10,1,3,0.1695394682759258,1,1,1,1,1,1,0,0,0,0,6,1.3657819403817224,17,30,0,P05,P04
64,10,1,3,0.23828767336382278,1,1,1,1,0,0,1,0,0,0,5,1.4879159172196816,16,30,1,P03,P07
65,10,1,3,0.16556894708426634,1,1,1,1,0,0,0,0,0,0,4,0.9829680390597552,13,30,0,P04,P01
66,10,1,3,0.11605024886957165,1,1,1,1,0,0,0,0,0,0,4,1.0989762519412962,18,30,0,P04,P04
67,10,1,3,0.187323288772491,1,1,1,1,1,0,0,0,0,0,5,1.1628964468499905,12,30,0,P04,P04
68,10,1,3,0.12078084087868865,1,1,1,1,1,1,1,1,0,0,8,1.3687506038721402,11,30,0,P06,P06
69,10,1,3,0.13280287602397453,1,1,1,1,1,1,0,0,0,0,6,1.0735304859893786,15,30,0,P04,P01
70,10,1,3,0.16320667569847852,1,1,1,1,1,1,0,0,0,0,6,1.3298001489167182,12,30,0,P05,P03
71,10,1,3,0.1497072505039164,1,1,1,1,1,1,0,0,0,0,6,1.5849425633092635,18,30,0,P05,P06
72,10,1,3,0.11507509245118383,1,1,1,1,1,1,1,1,0,0,8,1.7374766538739057,16,30,0,P07,P01
73,10,1,3,0.12515282252971488,1,1,1,1,1,1,1,0,0,0,7,1.2827896687161173,14,30,0,P05,P04
74,10,1,3,0.18217666736818128,1,1,1,0,0,0,0,0,0,0,3,0.9775635316711012,16,30,0,P03,P03
75,10,1,3,0.11701730583990717,1,1,1,1,1,1,1,0,0,0,7,1.242262271057611,14,30,0,P07,P07
76,10,1,3,0.16135150824723968,1,1,1,1,1,0,0,0,0,0,5,1.1292828209899208,14,30,0,P04,P02
77,10,1,3,0.14711948834949098,1,1,1,1,1,1,1,0,0,0,7,1.71909365128896,14,30,0,P07,P05
78,10,1,3,0.16969953503536783,1,1,1,1,1,1,0,0,0,0,6,1.2909147380398602,18,30,0,P05,P04
79,10,1,3,0.18922632216469884,1,1,1,1,1,1,0,0,0,0,6,1.3058922387398841,14,30,0,P05,P03
80,10,1,3,0.1746377517267392,1,1,1,1,1,1,0,0,0,0,6,1.2124880741796065,15,30,0,P06,P05
81,10,1,3,0.1402833681901928,1,1,1,1,0,0,0,0,0,0,4,0.8967529315602603,16,30,0,P02,P03
82,10,1,3,0.1183133481877331,1,1,1,1,1,1,0,0,0,0,6,0.9430945819936734,12,30,0,P05,P02
83,10,1,3,0.1717113294052857,1,1,1,1,1,1,0,1,0,0,7,1.4264708058788793,16,30,1,P06,P01
84,10,1,3,0.21181016574224867,1,1,1,1,1,0,0,0,0,0,5,1.5566953990937518,13,30,0,P05,P03
85,10,1,3,0.2484998785750664,1,1,1,1,1,1,0,0,0,0,6,1.5453394035111478,18,30,0,P06,P01
86,10,1,3,0.10409781956897449,1,1,1,1,1,1,1,1,0,0,8,1.6701503245911646,15,30,0,P05,P02
87,10,1,3,0.0890821440326818,1,1,1,1,1,1,0,0,0,0,6,1.1353896065903446,14,30,0,P04,P01
88,10,1,3,0.14082708090999385,1,1,1,1,1,1,0,0,0,0,6,1.412056604492535,14,30,0,P03,P06
89,10,1,3,0.11454185708212775,1,1,1,1,1,1,1,0,0,0,7,1.4900430111917826,13,30,0,P05,P05
90,10,1,3,0.09867125810072996,1,1,1,1,1,1,1,0,0,0,7,1.12958304068899,11,30,0,P05,P02
91,10,1,3,0.17875442172631498,1,1,1,0,1,0,1,0,0,0,5,1.4492129890781986,14,30,2,P03,P02
92,10,1,3,0.15645201372427253,1,1,1,1,1,0,0,0,0,0,5,1.1035928061739817,13,30,0,P04,P04
93,10,1,3,0.15182101395163056,1,1,1,1,1,1,0,0,0,0,6,1.370128952906199,14,30,0,P04,P05
94,10,1,3,0.09909528864991912,1,1,1,1,1,1,1,0,0,0,7,1.1214964630141426,16,30,0,P03,P01
95,10,1,3,0.1522358781254757,1,1,1,1,1,0,1,0,0,0,6,1.3827427352250496,11,30,1,P07,P07
96,10,1,3,0.1253280215462755,1,1,1,1,0,0,1,0,0,0,5,1.1322715970222363,15,30,1,P07,P07
97,10,1,3,0.12438306996415077,1,1,1,1,1,0,0,0,0,0,5,0.9750817783351233,15,30,0,P03,P02
98,10,1,3,0.1773518957635027,1,1,1,1,1,0,0,0,0,0,5,1.3727722853731348,14,30,0,P04,P04
99,10,1,3,0.13991911417323905,1,1,1,1,1,0,1,0,0,0,6,1.054193109901714,13,30,1,P04,P02
