Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3
38,20,3,3,0.28821253807613945,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1.4896418328087768,51,540,1,P09,P02,P01,P09
39,20,3,3,0.18764240062101933,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,11,2.135206037211963,109,540,1,P08,P16,P07,P02
40,20,3,3,0.23639015287472,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.4715570923602816,72,540,0,P07,P05,P07,P06
41,20,3,3,0.25304083353426304,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,10,1.9310117678556673,62,540,1,P08,P08,P12,P07
42,20,3,3,0.32492580725643927,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.4551989187865457,54,540,0,P07,P07,P05,P03
43,20,3,3,0.19277559855984008,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.3893417314327938,69,540,0,P05,P02,P06,P05
44,20,3,3,0.31722336598517126,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1.3810346119657442,63,540,1,P09,P09,P03,P02
45,20,3,3,0.3642466407628462,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,2.4886315400932384,86,540,1,P09,P09,P09,P03
46,20,3,3,0.26659068131818786,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1.5941431269376665,59,540,1,P09,P09,P09,P09
47,20,3,3,0.2628967994814972,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,10,2.248342636770034,83,540,3,P06,P03,P18,P18
48,20,3,3,0.19359850891652014,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.7460413289434409,97,540,0,P06,P04,P01,P01
49,20,3,3,0.21512337427470735,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,2.1338851614771923,73,540,0,P05,P02,P02,P09
50,20,3,3,0.21928566093623691,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,11,1.8553994933055757,85,540,2,P09,P16,P12,P03
51,20,3,3,0.2721461445580151,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.8422778341822434,112,540,0,P07,P02,P02,P07
52,20,3,3,0.26566469152717886,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.6304247662275495,99,540,0,P05,P06,P03,P05
53,20,3,3,0.15621980961175855,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,9,1.6227794597930867,84,540,3,P03,P02,P01,P16
54,20,3,3,0.2602150152373782,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.8532088915334404,77,540,0,P07,P05,P03,P05
55,20,3,3,0.22661985364999324,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.65167799085767,125,540,0,P04,P05,P04,P01
56,20,3,3,0.21869754201465225,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,12,1.9943023792717853,60,540,1,P02,P06,P18,P01
57,20,3,3,0.2447541131992701,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,2.0627240557518807,100,540,0,P04,P05,P06,P03
58,20,3,3,0.24358160839677975,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1.5007070473487798,84,540,3,P06,P06,P09,P09
59,20,3,3,0.16533204433010562,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.2544647964750308,80,540,0,P07,P01,P06,P04
60,20,3,3,0.24636672945349836,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.756795445989912,60,540,0,P06,P01,P03,P06
61,20,3,3,0.27968000577665725,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2.2979509132663862,77,540,0,P07,P07,P08,P04
62,20,3,3,0.19833072806042448,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.6232506847433088,79,540,0,P08,P08,P04,P10
63,20,3,3,0.23928127033740254,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9,1.8427586517505037,60,540,1,P06,P01,P05,P06
64,20,3,3,0.33319406986482325,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2.6423794063230104,97,540,1,P09,P09,P01,P09
65,20,3,3,0.1789125091727225,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,9,1.400285007461871,56,540,2,P05,P01,P03,P02
66,20,3,3,0.21803288481995964,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.913733041185027,61,540,0,P08,P06,P08,P09
67,20,3,3,0.1598879337657761,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.8619556086925853,109,540,0,P10,P06,P07,P02
68,20,3,3,0.2656651580966797,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.7167908561139686,62,540,0,P02,P03,P03,P03
69,20,3,3,0.289402400481704,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.7024284541803758,52,540,0,P08,P07,P01,P01
70,20,3,3,0.2220713409507969,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.6060414311145248,59,540,0,P07,P07,P07,P07
71,20,3,3,0.26477620890027476,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1.9695810844418995,97,540,1,P07,P05,P10,P02
72,20,3,3,0.340826653413165,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9,2.1673667208012977,67,540,1,P10,P10,P10,P04
73,20,3,3,0.2076856560038215,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.4035844078241526,83,540,0,P07,P08,P03,P03
74,20,3,3,0.22084783294461496,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.2723939403154925,79,540,0,P03,P07,P01,P01
75,20,3,3,0.3416582397505408,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.6949739900400935,76,540,0,P05,P01,P06,P05
76,20,3,3,0.15716843663409846,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.9417631552405408,65,540,0,P07,P05,P07,P09
77,20,3,3,0.2732591654303646,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.9860783893333354,51,540,1,P07,P07,P07,P02
78,20,3,3,0.3112997420484699,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,2.054842801143642,57,540,0,P10,P09,P10,P05
79,20,3,3,0.3812071883538486,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.8975163615696031,74,540,2,P07,P07,P13,P07
80,20,3,3,0.3722523117366978,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2.19091443950621,107,540,4,P06,P06,P12,P06
81,20,3,3,0.25806906273747027,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9,1.8993358712732502,103,540,1,P08,P08,P04,P11
82,20,3,3,0.17911073605537534,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9,1.8320829140553339,57,540,1,P08,P11,P08,P05
83,20,3,3,0.2881167921328486,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1.5878648714840486,81,540,1,P05,P05,P09,P04
84,20,3,3,0.2506639405516619,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.7437443261195957,107,540,0,P06,P03,P06,P05
85,20,3,3,0.18201024329860876,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.7784902225653685,54,540,0,P08,P03,P03,P03
86,20,3,3,0.23861890916277007,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,11,1.8454651238105506,59,540,1,P06,P08,P16,P06
87,20,3,3,0.19210463845511722,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,12,1.8945718884192129,99,540,1,P11,P08,P14,P05
88,20,3,3,0.20902904213497947,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,12,2.055662927436873,69,540,1,P06,P03,P13,P01
89,20,3,3,0.24190152502260914,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.6467224444493995,74,540,0,P10,P07,P10,P08
90,20,3,3,0.23777878398018626,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,12,2.239766288226499,86,540,1,P10,P07,P09,P16
91,20,3,3,0.20338370992994617,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,9,1.5135716723265693,73,540,3,P05,P12,P01,P02
92,20,3,3,0.15258029058594877,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,1.3624419659738645,63,540,3,P03,P04,P03,P04
93,20,3,3,0.2200484232499526,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.6334486727817712,60,540,0,P10,P02,P10,P05
94,20,3,3,0.21578750175384767,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.8518658485044233,89,540,0,P07,P02,P04,P03
95,20,3,3,0.17998622290309768,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.319876376025419,91,540,0,P07,P03,P07,P05
96,20,3,3,0.20463150709328554,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,1.7347162844768378,100,540,2,P06,P03,P03,P18
97,20,3,3,0.18892227596110572,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.88074282877137,74,540,0,P09,P09,P04,P04
98,20,3,3,0.19422504768151083,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,1.7070034573727533,85,540,2,P06,P06,P02,P06
99,20,3,3,0.26457045519930855,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2.010117292286164,68,540,1,P06,P08,P01,P08
