Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3
29,10,3,3,0.23356698035322893,1,1,1,0,0,0,0,0,0,0,3,1.3476615124951685,24,270,0,P01,P03,P01,P01
30,10,3,3,0.10821084282363179,1,1,1,1,1,1,0,0,0,0,6,1.1319801521977588,17,270,0,P06,P01,P01,P01
31,10,3,3,0.11856617253323859,1,1,1,1,0,0,0,0,0,0,4,1.1953412608447822,23,270,0,P04,P04,P01,P01
32,10,3,3,0.10332210057468172,1,1,1,1,1,1,0,0,0,0,6,1.2241387875671395,24,270,0,P05,P03,P01,P01
33,10,3,3,0.21754557868636146,1,1,1,1,1,0,0,0,0,0,5,1.388161768206512,17,270,0,P05,P02,P02,P05
34,10,3,3,0.22815201184708137,1,1,1,1,1,1,0,0,0,0,6,1.798751540376513,20,270,0,P06,P02,P02,P01
35,10,3,3,0.11709073891574953,1,1,1,1,1,1,1,0,0,0,7,1.5465864879649396,26,270,0,P07,P04,P01,P07
36,10,3,3,0.22675386601108535,1,1,1,1,1,0,0,0,0,0,5,1.4492273656865446,25,270,0,P05,P05,P05,P03
37,10,3,3,0.19845137763148052,1,1,1,1,1,1,1,0,0,0,7,1.5321012283392887,22,270,0,P06,P06,P02,P02
38,10,3,3,0.23787763649976165,1,1,1,1,1,1,0,0,0,0,6,1.4799673116732346,22,270,0,P05,P02,P04,P05
39,10,3,3,0.09295468471423696,1,1,1,1,1,1,0,1,0,0,7,1.4162571286170218,29,270,1,P05,P08,P05,P02
40,10,3,3,0.12133072897911445,1,1,1,1,1,1,0,0,0,0,6,1.6636246066085425,31,270,0,P06,P04,P05,P03
41,10,3,3,0.17542659606082306,1,1,1,1,1,1,0,0,0,0,6,1.4855708579971107,18,270,0,P06,P06,P03,P01
42,10,3,3,0.18426910631319954,1,1,1,1,1,1,0,0,0,0,6,1.4718068772305195,22,270,0,P05,P03,P03,P06
43,10,3,3,0.13571414622429556,1,1,1,1,1,0,1,0,0,0,6,1.5387898931185284,27,270,1,P05,P02,P04,P04
44,10,3,3,0.22214215652707678,1,1,1,1,1,0,0,0,0,0,5,1.430648777599806,18,270,0,P04,P04,P04,P01
45,10,3,3,0.16866463130368442,1,1,1,1,1,0,0,0,0,0,5,1.2774053859051393,45,270,0,P05,P03,P04,P05
46,10,3,3,0.2753293534331141,1,1,1,1,1,0,0,0,0,0,5,1.5669936156361057,29,270,0,P04,P05,P04,P04
47,10,3,3,0.195270225596527,1,1,1,1,1,0,0,0,0,0,5,1.333558545915115,34,270,0,P04,P01,P05,P04
48,10,3,3,0.18943921141198325,1,1,1,1,1,1,1,0,0,0,7,1.5800023610387224,27,270,0,P07,P04,P07,P01
49,10,3,3,0.1961130380167572,1,1,1,1,0,0,0,0,0,0,4,1.1076077984948944,18,270,0,P02,P03,P01,P03
50,10,3,3,0.10814838369720156,1,1,1,1,1,1,1,0,0,0,7,1.5490520640449157,22,270,0,P07,P03,P05,P01
51,10,3,3,0.15615838496037526,1,1,1,1,1,1,1,0,0,0,7,1.545718339726856,21,270,0,P07,P01,P07,P01
52,10,3,3,0.15986895510498605,1,1,1,1,1,0,0,1,0,0,6,1.5158434495476638,24,270,1,P08,P01,P01,P08
53,10,3,3,0.14215803475949707,1,1,1,1,1,1,0,0,0,0,6,1.123178650655202,23,270,0,P02,P02,P01,P02
54,10,3,3,0.2329872977637058,1,1,1,1,0,0,1,0,0,0,5,1.453575832853028,22,270,1,P07,P07,P01,P07
55,10,3,3,0.11573477374884217,1,1,1,1,1,1,0,1,0,0,7,1.923213192552578,23,270,1,P06,P01,P08,P05
56,10,3,3,0.1271741212884142,1,1,1,1,1,1,0,0,1,0,7,1.6994537207630396,23,270,1,P05,P09,P05,P05
57,10,3,3,0.11992314162528639,1,1,1,1,1,1,1,1,0,0,8,1.9760309077470386,32,270,0,P07,P03,P08,P04
58,10,3,3,0.1156803523846062,1,1,1,1,1,1,1,1,0,0,8,1.4344794838104349,16,270,0,P07,P07,P07,P01
59,10,3,3,0.27524497685372507,1,1,1,1,1,0,0,1,0,0,6,2.0521098003976244,18,270,1,P08,P08,P05,P08
60,10,3,3,0.18555849666341845,1,1,1,1,1,0,0,0,0,0,5,1.3764204643656337,25,270,0,P05,P05,P02,P02
61,10,3,3,0.1213702749941452,1,1,1,1,1,1,0,0,0,0,6,1.1695931017019752,22,270,0,P01,P01,P01,P01
62,10,3,3,0.15872802726282884,1,1,1,1,1,1,0,0,0,0,6,1.3488460501430721,42,270,0,P03,P06,P03,P02
63,10,3,3,0.12079120354060721,1,1,1,1,1,0,0,0,0,0,5,1.1631791675235919,26,270,0,P05,P01,P05,P03
64,10,3,3,0.13648229748529697,1,1,1,1,0,0,0,1,0,0,5,1.6875912358072345,31,270,1,P08,P08,P01,P08
65,10,3,3,0.16951822584013843,1,1,1,1,1,1,1,1,0,0,8,2.060213689835307,16,270,0,P08,P01,P08,P02
66,10,3,3,0.15379464432164267,1,1,1,1,0,0,0,0,0,0,4,1.1924895759791287,23,270,0,P04,P03,P04,P03
67,10,3,3,0.18121711005937186,1,1,1,1,1,1,1,0,0,0,7,1.5721649173661878,41,270,0,P07,P04,P06,P07
68,10,3,3,0.17351932560424305,1,1,1,1,0,1,0,0,0,0,5,1.644359810172876,23,270,1,P06,P06,P01,P06
69,10,3,3,0.31853802911415247,1,1,0,1,0,0,0,1,0,0,4,1.8390869553666414,24,270,2,P04,P08,P04,P04
70,10,3,3,0.18259960946931958,1,1,1,1,0,0,0,0,0,0,4,1.75313280665989,20,270,0,P04,P04,P03,P02
71,10,3,3,0.19342856120357216,1,1,1,1,0,0,0,0,0,0,4,1.4690570496060706,20,270,0,P02,P02,P02,P02
72,10,3,3,0.1326061186875757,1,1,1,1,1,0,0,1,0,0,6,1.2784944147215676,28,270,1,P08,P08,P01,P02
73,10,3,3,0.1803859081792512,1,1,1,1,1,1,0,1,0,0,7,1.7353220957999422,36,270,1,P05,P01,P04,P08
74,10,3,3,0.09948614240774434,1,1,1,1,1,0,1,0,0,0,6,1.067435547312181,24,270,1,P03,P02,P07,P01
75,10,3,3,0.26862571508444394,1,1,1,1,0,0,0,0,0,0,4,2.192473232972764,27,270,0,P03,P01,P02,P02
76,10,3,3,0.30002788020913657,1,1,1,1,1,1,0,0,0,0,6,2.0574981972778046,27,270,0,P06,P06,P06,P03
77,10,3,3,0.09428554339016812,1,1,1,1,1,1,0,0,1,0,7,1.6751657974110006,26,270,1,P09,P03,P09,P09
78,10,3,3,0.2568348538473066,1,1,1,0,1,0,0,0,0,0,4,1.2266882541563837,34,270,1,P03,P03,P02,P03
79,10,3,3,0.19029247721932002,1,1,1,1,1,1,0,0,0,0,6,1.983291171403426,26,270,0,P06,P06,P05,P03
80,10,3,3,0.16302613912724548,1,1,1,1,1,1,0,0,0,0,6,1.2607203066654784,23,270,0,P05,P01,P01,P04
81,10,3,3,0.152841691130531,1,1,1,1,1,1,1,0,0,0,7,1.713578433439479,17,270,0,P04,P03,P01,P01
82,10,3,3,0.12566353163115407,1,1,1,1,1,1,0,0,0,0,6,1.3368599927441605,27,270,0,P03,P02,P03,P03
83,10,3,3,0.20477286557256325,1,1,1,1,0,0,1,0,0,0,5,1.8297898487798063,34,270,1,P03,P01,P03,P07
84,10,3,3,0.29354895403948267,1,1,1,1,0,0,0,0,0,0,4,1.4823851654109075,22,270,0,P03,P04,P03,P03
85,10,3,3,0.1790061470901262,1,1,1,1,1,1,0,0,0,0,6,1.4716166167277587,24,270,0,P04,P02,P01,P06
86,10,3,3,0.15046229275847545,1,1,1,1,1,1,1,0,0,0,7,1.43593410086209,30,270,0,P07,P06,P07,P05
87,10,3,3,0.2829871870131417,1,1,1,1,1,1,1,0,0,0,7,1.711734160405364,25,270,0,P06,P06,P06,P07
88,10,3,3,0.21332412627967867,1,1,1,1,1,1,0,0,0,0,6,1.5984689447207692,21,270,0,P06,P03,P06,P04
89,10,3,3,0.10203688153350972,1,1,1,1,1,1,1,1,0,0,8,1.4899517079326978,21,270,0,P08,P07,P08,P01
90,10,3,3,0.20310164922666135,1,1,1,1,1,1,0,0,0,0,6,1.6589611297829836,25,270,0,P05,P05,P04,P05
91,10,3,3,0.200070448180937,1,1,1,0,0,0,1,0,0,0,4,1.3745030600499062,25,270,1,P07,P07,P07,P01
92,10,3,3,0.22837284505123262,1,1,1,1,1,1,1,0,0,0,7,1.919892140239126,32,270,0,P06,P03,P07,P01
93,10,3,3,0.16243532138827355,1,1,1,1,1,1,1,0,0,0,7,1.4635167055432388,21,270,0,P05,P05,P03,P03
94,10,3,3,0.21444840502624923,1,1,1,1,0,0,0,1,0,0,5,1.4692086031224316,24,270,1,P04,P02,P03,P08
95,10,3,3,0.15873893744558515,1,1,1,1,1,0,0,0,0,0,5,1.958043226687158,30,270,0,P05,P01,P01,P04
96,10,3,3,0.1952043966152817,1,1,0,1,0,0,0,0,0,0,3,1.0192872434107316,19,270,1,P01,P01,P01,P04
97,10,3,3,0.1369885021709012,1,1,1,1,1,1,1,0,0,0,7,1.6611665454473532,30,270,0,P05,P05,P07,P05
98,10,3,3,0.1461069832985804,1,1,1,0,0,0,0,0,0,0,3,1.1554730476372628,29,270,0,P03,P02,P03,P01
99,10,3,3,0.15344053392011764,1,1,1,1,0,1,0,0,0,0,5,1.0384901747493216,35,270,1,P04,P02,P06,P03
