Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3,Ref for Attr4,Ref for Attr5
49,10,5,3,0.19840304457889904,1,1,1,1,1,1,0,0,0,0,6,1.6009519245167856,53,2430,0,P04,P01,P01,P02,P06,P06
50,10,5,3,0.2140216706231461,1,1,1,1,1,1,1,0,0,0,7,1.9438402619673747,46,2430,0,P07,P03,P04,P03,P07,P07
51,10,5,3,0.20105821585385134,1,1,1,1,1,1,0,0,0,0,6,1.2718934879469246,59,2430,0,P06,P02,P02,P04,P04,P04
52,10,5,3,0.1679593497180889,1,1,1,1,1,1,1,1,0,0,8,1.9329862676470682,32,2430,0,P06,P08,P03,P03,P04,P08
53,10,5,3,0.18250496909876757,1,1,1,1,1,0,1,0,0,0,6,1.4745872508111317,91,2430,1,P05,P03,P07,P03,P02,P01
54,10,5,3,0.2119144455777489,1,1,1,1,1,1,0,1,0,0,7,2.128407194668803,29,2430,1,P08,P08,P05,P02,P01,P08
55,10,5,3,0.1790579488158764,1,1,1,1,0,0,1,0,0,0,5,2.4818637315785326,36,2430,1,P03,P03,P07,P03,P02,P07
56,10,5,3,0.3272685641464818,1,1,1,0,0,1,0,0,0,0,4,2.391919958848807,44,2430,1,P06,P01,P03,P02,P06,P02
57,10,5,3,0.2054015415917976,1,1,1,1,1,1,0,0,0,0,6,1.5705556018800628,38,2430,0,P04,P04,P05,P02,P03,P05
58,10,5,3,0.15257625926440602,1,1,1,1,1,1,1,0,0,0,7,1.5584641745347922,40,2430,0,P06,P03,P03,P04,P04,P03
59,10,5,3,0.19462745344520144,1,1,1,1,1,0,0,0,0,0,5,1.533844675768886,24,2430,0,P04,P04,P04,P04,P01,P02
60,10,5,3,0.3334088508168784,1,1,1,1,1,0,1,0,0,0,6,2.5786856502899576,26,2430,1,P07,P03,P07,P07,P01,P05
61,10,5,3,0.14575948991819354,1,1,1,1,1,0,1,0,0,0,6,1.4630991967293232,37,2430,1,P03,P07,P03,P02,P02,P03
62,10,5,3,0.2978197442117154,1,1,0,1,1,0,0,0,0,0,4,2.062080675351331,31,2430,2,P05,P04,P05,P05,P04,P05
63,10,5,3,0.19666907440930864,1,1,1,1,0,1,0,0,0,0,5,2.66555259915601,68,2430,1,P02,P06,P03,P03,P06,P04
64,10,5,3,0.21475291948066205,1,1,1,1,0,0,1,0,0,0,5,1.8963931098784101,50,2430,1,P04,P04,P07,P04,P01,P04
65,10,5,3,0.17752154197079606,1,1,1,1,0,0,0,0,0,0,4,1.235882926417204,57,2430,0,P02,P02,P01,P03,P03,P02
66,10,5,3,0.28112031889641875,1,1,1,1,0,0,0,0,0,0,4,1.5978404173469976,54,2430,0,P03,P03,P03,P03,P02,P03
67,10,5,3,0.2635143470229007,1,1,1,1,1,0,0,0,0,0,5,1.771346004684705,42,2430,0,P04,P04,P02,P05,P04,P04
68,10,5,3,0.21365514929709,1,1,1,1,0,0,0,0,0,0,4,1.158573636539223,27,2430,0,P03,P02,P04,P03,P03,P01
69,10,5,3,0.16018304241725365,1,1,1,1,1,0,0,0,0,0,5,1.1844187506207833,34,2430,0,P02,P05,P01,P04,P01,P01
70,10,5,3,0.11290820633086175,1,1,1,1,1,1,0,0,0,0,6,1.8518133958303116,44,2430,0,P05,P01,P04,P05,P05,P03
71,10,5,3,0.23095077050392387,1,1,1,1,0,0,0,0,0,0,4,1.6421236523005938,61,2430,0,P04,P02,P03,P01,P03,P01
72,10,5,3,0.15842333686727292,1,1,1,1,1,0,0,0,0,0,5,1.1762064920538768,67,2430,0,P04,P01,P05,P03,P04,P01
73,10,5,3,0.23255138916266377,1,1,1,1,0,0,0,0,0,0,4,1.8227144042901564,36,2430,0,P03,P01,P01,P01,P03,P03
74,10,5,3,0.20362449771604457,1,1,1,1,0,0,0,0,0,0,4,1.0507877964121393,32,2430,0,P04,P01,P01,P03,P01,P01
75,10,5,3,0.21273900719028815,1,1,1,1,1,0,1,0,0,0,6,1.9663401373324731,30,2430,1,P07,P01,P02,P02,P07,P07
76,10,5,3,0.18010947295658458,1,1,1,1,1,0,1,0,0,0,6,2.1409553008645434,47,2430,1,P07,P07,P01,P07,P05,P05
77,10,5,3,0.22565913718161368,1,1,1,1,1,0,0,0,0,0,5,2.2305433543264015,48,2430,0,P05,P04,P01,P04,P05,P03
78,10,5,3,0.16161694189755454,1,1,1,1,1,1,1,0,0,0,7,1.7847233447966326,31,2430,0,P07,P07,P07,P04,P04,P04
79,10,5,3,0.134050305135368,1,1,1,1,1,0,0,0,0,0,5,1.1020338860059422,29,2430,0,P04,P05,P04,P02,P05,P03
80,10,5,3,0.2641598407398501,1,1,0,0,1,0,0,0,0,0,3,1.731017399382429,55,2430,1,P05,P05,P05,P05,P05,P01
81,10,5,3,0.3193989240354914,1,1,1,0,1,0,0,0,0,0,4,1.9928957394935294,32,2430,1,P05,P03,P05,P01,P05,P03
82,10,5,3,0.16751783024865108,1,1,1,1,1,1,1,0,0,0,7,1.7583965115516587,32,2430,0,P06,P04,P04,P05,P02,P06
83,10,5,3,0.27198509907123625,1,1,1,1,1,0,0,0,0,0,5,2.5231950690768974,33,2430,0,P05,P02,P05,P01,P05,P02
84,10,5,3,0.2453772927919019,1,1,1,1,1,0,0,1,0,0,6,2.732605915068152,47,2430,1,P05,P08,P05,P08,P03,P03
85,10,5,3,0.21722599529494768,1,1,1,1,0,0,0,0,1,0,5,1.8351813372349817,27,2430,1,P09,P01,P09,P09,P01,P01
86,10,5,3,0.25542020557155687,1,1,1,1,0,0,0,0,0,0,4,1.8566519080174362,35,2430,0,P03,P01,P03,P03,P04,P01
87,10,5,3,0.2320442783600664,1,1,1,1,0,0,0,1,0,0,5,2.201069416364598,35,2430,1,P08,P08,P02,P02,P01,P02
88,10,5,3,0.12378674713093964,1,1,1,1,1,1,0,1,0,0,7,1.5542790540436586,59,2430,1,P06,P01,P03,P08,P04,P06
89,10,5,3,0.2661977691399985,1,1,1,1,1,1,1,0,0,0,7,1.8239335283715556,33,2430,0,P06,P01,P06,P06,P01,P06
90,10,5,3,0.1209598904859689,1,1,1,1,1,1,1,0,0,0,7,1.1550483050795175,37,2430,0,P05,P04,P04,P01,P03,P01
91,10,5,3,0.2454327460048062,1,1,1,1,1,1,1,0,0,0,7,1.685993513481303,47,2430,0,P05,P05,P03,P01,P07,P04
92,10,5,3,0.18787712839319065,1,1,1,1,1,0,1,0,0,0,6,1.4517760175254155,38,2430,1,P07,P03,P03,P03,P07,P07
93,10,5,3,0.1473463049768168,1,1,1,1,1,1,0,0,0,0,6,1.3763156550354498,38,2430,0,P06,P03,P01,P05,P03,P06
94,10,5,3,0.20547501341650204,1,1,1,1,1,1,0,0,0,0,6,1.3199514693640533,42,2430,0,P05,P01,P05,P04,P02,P04
95,10,5,3,0.2749031547750574,1,1,1,1,0,0,0,1,0,0,5,2.024331421691619,44,2430,1,P03,P08,P04,P08,P03,P03
96,10,5,3,0.2949004815385846,1,1,1,1,1,0,0,1,0,0,6,2.1270729506273596,22,2430,1,P08,P01,P01,P08,P08,P02
97,10,5,3,0.1738465058997021,1,1,1,1,1,0,1,0,0,0,6,1.4226737808252081,43,2430,1,P02,P03,P07,P05,P01,P07
98,10,5,3,0.14779201929875938,1,1,1,1,1,1,1,0,0,0,7,1.8927706685718526,44,2430,0,P07,P04,P06,P07,P01,P01
99,10,5,3,0.21714609710962873,1,1,1,1,0,1,0,0,1,0,6,1.8704930792235084,32,2430,2,P06,P04,P06,P06,P06,P09
