Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3,Ref for Attr4,Ref for Attr5
22,5,5,3,0.14198700058275346,1,1,1,1,0,4,1.7829429413243614,12,1215,0,P03,P03,P02,P04,P04,P01
23,5,5,3,0.06915819565847209,1,1,1,1,0,4,1.4663719596055982,9,1215,0,P04,P01,P04,P04,P04,P02
24,5,5,3,0.12187450450496275,1,1,1,1,0,4,1.449257208931542,9,1215,0,P04,P04,P01,P01,P01,P01
25,5,5,3,0.13632494460361183,1,1,1,1,0,4,1.3787806359432848,10,1215,0,P04,P02,P04,P01,P01,P01
26,5,5,3,0.06642595282682617,1,1,1,1,0,4,1.2005385749293311,9,1215,0,P04,P02,P01,P01,P03,P02
27,5,5,3,0.2717967705133741,1,1,1,1,0,4,2.142065522514403,10,1215,0,P04,P04,P03,P03,P04,P03
28,5,5,3,0.13153447170607432,1,1,1,1,0,4,1.9086634183793016,11,1215,0,P03,P03,P02,P02,P02,P03
29,5,5,3,0.07521039023469664,1,1,1,0,0,3,0.8375146405520049,10,1215,0,P02,P03,P02,P02,P01,P02
30,5,5,3,0.1804952737924032,1,1,1,1,0,4,1.685736553457545,11,1215,0,P04,P01,P04,P04,P04,P01
31,5,5,3,0.1445578179578838,1,1,1,0,0,3,1.3123292987403374,9,1215,0,P03,P03,P02,P03,P03,P02
32,5,5,3,0.0710369864520843,1,1,1,1,0,4,1.3896262716678116,11,1215,0,P04,P04,P01,P01,P01,P02
33,5,5,3,0.07460431271032243,1,1,1,1,0,4,1.1400460276262898,7,1215,0,P03,P03,P03,P03,P03,P03
34,5,5,3,0.2699103803958479,1,1,1,0,0,3,1.5546080560086204,9,1215,0,P03,P03,P02,P03,P02,P03
35,5,5,3,0.08511092129599815,1,1,1,0,0,3,1.5351252667197413,8,1215,0,P02,P02,P02,P02,P02,P02
36,5,5,3,0.133773299117623,1,1,1,0,0,3,1.0548623883250208,9,1215,0,P03,P03,P03,P02,P01,P02
37,5,5,3,0.1596543706798981,1,1,1,0,0,3,1.590080447509378,19,1215,0,P03,P01,P03,P01,P02,P01
38,5,5,3,0.180419727524715,1,1,1,0,0,3,1.1270757120752113,12,1215,0,P03,P01,P03,P03,P01,P03
39,5,5,3,0.17518978559427476,1,1,1,1,0,4,2.062259067458066,11,1215,0,P04,P04,P04,P04,P02,P01
40,5,5,3,0.19448780894546225,1,1,1,0,0,3,1.362757474699678,13,1215,0,P03,P03,P02,P01,P01,P03
41,5,5,3,0.2071964816010547,1,1,1,0,0,3,1.2760384793653974,12,1215,0,P03,P01,P01,P02,P01,P02
42,5,5,3,0.09688592777043468,1,1,1,0,0,3,0.8874048622582189,8,1215,0,P03,P03,P03,P02,P01,P02
43,5,5,3,0.11384619477794869,1,1,1,1,0,4,1.1324830248004816,14,1215,0,P04,P02,P01,P01,P04,P04
44,5,5,3,0.10252596055722721,1,1,1,1,0,4,1.3936296782765,9,1215,0,P03,P02,P01,P02,P01,P02
45,5,5,3,0.10352510653215521,1,1,1,0,0,3,0.8667283877473877,11,1215,0,P02,P02,P03,P01,P02,P01
46,5,5,3,0.08818108221955888,1,1,1,0,0,3,0.8543598856233701,6,1215,0,P02,P02,P01,P02,P02,P02
47,5,5,3,0.10235203204775886,1,1,1,0,0,3,0.9724379443055344,13,1215,0,P02,P02,P01,P01,P02,P01
48,5,5,3,0.11117123412766214,1,1,0,1,0,3,1.0713794482021366,14,1215,1,P04,P02,P04,P02,P02,P04
49,5,5,3,0.1189107529204096,1,1,1,1,0,4,1.130114091891656,9,1215,0,P02,P02,P02,P02,P02,P02
50,5,5,3,0.12000899528008975,1,1,1,1,0,4,1.0825724240383807,8,1215,0,P03,P01,P03,P01,P03,P03
51,5,5,3,0.10665332836779051,1,1,1,1,0,4,1.6304808736690797,8,1215,0,P03,P02,P02,P02,P01,P03
52,5,5,3,0.1951484388259609,1,1,1,1,0,4,1.9144565790691717,7,1215,0,P04,P01,P04,P04,P01,P04
53,5,5,3,0.1432719151615512,1,1,1,1,0,4,1.2181823030295404,14,1215,0,P04,P01,P01,P04,P01,P03
54,5,5,3,0.09589660469285499,1,1,1,0,0,3,1.418838739514411,8,1215,0,P02,P02,P01,P01,P01,P01
55,5,5,3,0.1156914611825123,1,1,1,1,0,4,2.0666805112654063,11,1215,0,P01,P01,P02,P02,P01,P02
56,5,5,3,0.1405950925026133,1,1,1,1,0,4,1.3379430867435576,7,1215,0,P04,P02,P01,P04,P02,P02
57,5,5,3,0.12768818428028805,1,1,1,1,0,4,1.740855734238545,11,1215,0,P04,P04,P03,P01,P01,P01
58,5,5,3,0.07248172165287281,1,1,1,0,0,3,0.8589667965188048,7,1215,0,P03,P03,P01,P03,P01,P01
59,5,5,3,0.16533132895153999,1,1,1,1,0,4,1.6282470604224115,11,1215,0,P04,P04,P04,P01,P03,P01
60,5,5,3,0.24755753338926728,1,1,1,0,0,3,1.8302847593154103,9,1215,0,P02,P02,P03,P02,P02,P02
61,5,5,3,0.14953270051153342,1,1,1,1,0,4,1.452068706542671,10,1215,0,P04,P04,P02,P04,P03,P01
62,5,5,3,0.08609798361216917,1,1,1,0,0,3,0.8851504345904395,17,1215,0,P02,P01,P01,P01,P01,P01
63,5,5,3,0.06454326622786238,1,1,1,0,0,3,1.0246678388708954,10,1215,0,P02,P01,P01,P01,P02,P02
64,5,5,3,0.2191719119233853,1,1,1,0,0,3,2.167864447708555,10,1215,0,P03,P03,P03,P01,P03,P02
65,5,5,3,0.1323820912807842,1,1,1,0,0,3,0.9819886574395211,13,1215,0,P03,P02,P01,P02,P03,P01
66,5,5,3,0.10370809629191335,1,1,1,0,0,3,0.9778697897129479,8,1215,0,P01,P01,P01,P02,P01,P01
67,5,5,3,0.10492419335309716,1,1,1,0,0,3,1.1371398984473946,8,1215,0,P03,P03,P02,P01,P03,P03
68,5,5,3,0.20360740097629382,1,1,1,0,0,3,1.9456591864089408,17,1215,0,P03,P03,P01,P02,P03,P03
69,5,5,3,0.11435203699272686,1,1,1,1,0,4,1.7179618974238502,10,1215,0,P04,P01,P02,P04,P03,P04
70,5,5,3,0.21620560770426284,1,1,1,0,0,3,1.1313817022085582,11,1215,0,P03,P02,P01,P03,P03,P01
71,5,5,3,0.088431153113462,1,1,1,0,0,3,0.986744209322775,8,1215,0,P03,P03,P01,P02,P02,P03
72,5,5,3,0.13873412747805267,1,1,1,0,0,3,1.2113389660949956,7,1215,0,P03,P03,P02,P01,P03,P02
73,5,5,3,0.11520922534563922,1,1,1,1,0,4,1.8182694487514612,12,1215,0,P04,P03,P04,P02,P03,P02
74,5,5,3,0.10313279489665265,1,1,1,1,0,4,1.0593152768544354,11,1215,0,P04,P03,P04,P04,P01,P01
75,5,5,3,0.14510354874635034,1,1,1,0,0,3,1.5839302898639689,15,1215,0,P02,P01,P01,P02,P03,P01
76,5,5,3,0.06485909895690593,1,1,1,1,0,4,1.4794272047910244,10,1215,0,P04,P03,P01,P04,P01,P03
77,5,5,3,0.07929070098140552,1,1,1,0,0,3,0.8120721158096184,11,1215,0,P02,P02,P01,P03,P02,P01
78,5,5,3,0.1367890226990962,1,1,1,1,0,4,1.27757130126833,8,1215,0,P03,P02,P01,P01,P02,P03
79,5,5,3,0.21809875460315414,1,1,1,1,0,4,1.5604528606708579,7,1215,0,P04,P04,P01,P04,P04,P04
80,5,5,3,0.15245986300711023,1,1,1,1,0,4,1.523672641538038,13,1215,0,P04,P02,P04,P03,P04,P03
81,5,5,3,0.13860763203369536,1,1,1,0,0,3,0.965589508063852,12,1215,0,P02,P01,P02,P02,P01,P01
82,5,5,3,0.08848351008790709,1,1,1,1,0,4,1.2858041392951471,8,1215,0,P02,P02,P04,P01,P02,P02
83,5,5,3,0.11976291973608433,1,1,1,0,0,3,1.6242926806385243,10,1215,0,P03,P03,P03,P01,P01,P03
84,5,5,3,0.11536619869798162,1,1,1,1,0,4,1.6239799951779181,13,1215,0,P04,P04,P01,P02,P02,P02
85,5,5,3,0.1316083039240903,1,1,1,0,0,3,1.1606129545627193,9,1215,0,P01,P01,P01,P03,P01,P01
86,5,5,3,0.10145563069530442,1,1,1,0,0,3,1.0570947807223938,10,1215,0,P02,P02,P01,P02,P01,P01
87,5,5,3,0.12898424364171643,1,1,1,1,0,4,1.6247083856544178,9,1215,0,P04,P04,P02,P01,P04,P04
88,5,5,3,0.23472579372377728,1,1,1,0,0,3,1.369615367004886,13,1215,0,P03,P02,P01,P02,P03,P03
89,5,5,3,0.10498899409578351,1,1,0,0,0,2,0.9324246720289587,8,1215,0,P02,P02,P02,P02,P02,P01
90,5,5,3,0.13065970615618513,1,1,1,0,0,3,1.288080081348046,8,1215,0,P03,P01,P01,P03,P03,P01
91,5,5,3,0.05109320618933783,1,1,1,1,0,4,1.2069360919277496,10,1215,0,P03,P01,P01,P03,P03,P03
92,5,5,3,0.13847974665159407,1,1,1,1,0,4,1.4992933500047583,10,1215,0,P03,P02,P01,P01,P01,P03
93,5,5,3,0.06582824802945204,1,1,1,1,0,4,1.4100221710713732,9,1215,0,P04,P04,P02,P02,P02,P04
94,5,5,3,0.1831654017056466,1,1,1,0,0,3,1.0967936406053265,10,1215,0,P02,P03,P03,P01,P02,P02
95,5,5,3,0.19713143365938876,1,1,1,1,0,4,2.597590723690461,17,1215,0,P03,P01,P01,P02,P02,P01
96,5,5,3,0.3252208314893692,1,1,1,0,0,3,1.4487920484246661,12,1215,0,P03,P03,P02,P03,P02,P02
97,5,5,3,0.10634920121983119,1,1,1,0,0,3,1.3512760795151708,7,1215,0,P02,P02,P02,P02,P02,P01
98,5,5,3,0.042000599007229064,1,1,1,1,0,4,1.6200063489993828,17,1215,0,P04,P02,P01,P04,P03,P01
99,5,5,3,0.18800302066970323,1,1,0,0,0,2,1.1037528360324282,11,1215,0,P02,P02,P01,P02,P01,P02
