Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3,Ref for Attr4,Ref for Attr5
40,5,5,3,0.2915397404307423,1,1,0,0,0,2,1.3118103597880353,12,1215,0,P02,P02,P01,P01,P02,P02
41,5,5,3,0.2680574110643156,1,1,0,1,0,3,1.6927409995189762,7,1215,1,P04,P02,P04,P04,P02,P04
42,5,5,3,0.2621901749475186,1,1,0,0,0,2,1.2413836480911629,11,1215,0,P02,P01,P01,P02,P02,P02
43,5,5,3,0.23588273552566616,1,1,1,1,0,4,3.671638431845731,8,1215,0,P04,P04,P01,P04,P03,P03
44,5,5,3,0.1475949110618001,1,1,1,0,0,3,1.0509382017519782,9,1215,0,P03,P03,P01,P01,P01,P01
45,5,5,3,0.10936719097327581,1,1,1,1,0,4,1.7053485472254324,10,1215,0,P03,P03,P04,P03,P03,P01
46,5,5,3,0.46491946413978263,1,1,0,0,0,2,2.310104659181439,11,1215,0,P02,P01,P02,P02,P02,P01
47,5,5,3,0.2473568842409935,1,1,1,1,0,4,2.0132651253968334,7,1215,0,P04,P04,P01,P02,P01,P02
48,5,5,3,0.2322666604354312,1,1,1,0,0,3,1.8686340645667645,13,1215,0,P02,P02,P02,P02,P03,P01
49,5,5,3,0.33775388386080774,1,1,0,1,0,3,2.466164742262174,13,1215,1,P04,P04,P02,P04,P04,P02
50,5,5,3,0.35130816291346534,1,1,1,1,0,4,2.4168596049822164,11,1215,0,P04,P03,P02,P02,P04,P04
51,5,5,3,0.33945917073551135,1,1,0,0,0,2,2.074523794153452,10,1215,0,P02,P02,P02,P02,P01,P02
52,5,5,3,0.24489258480253126,1,1,1,0,0,3,1.4253566845191101,13,1215,0,P03,P01,P01,P01,P02,P03
53,5,5,3,0.0997934080953083,1,1,1,1,0,4,1.904936996246494,9,1215,0,P04,P04,P02,P01,P01,P02
54,5,5,3,0.5502036414495888,1,0,1,0,0,2,2.8109161869626216,16,1215,1,P03,P03,P03,P03,P03,P03
55,5,5,3,0.2939467308793529,1,1,0,1,0,3,2.1658793796605216,14,1215,1,P04,P04,P04,P01,P02,P04
56,5,5,3,0.2615668196615741,1,1,1,0,0,3,2.2173787976943338,12,1215,0,P03,P01,P02,P01,P01,P03
57,5,5,3,0.46673052343243654,1,0,1,1,0,3,3.1782036873033754,12,1215,2,P04,P03,P04,P04,P03,P04
58,5,5,3,0.17500587287321304,1,1,1,0,0,3,2.7596106433724508,13,1215,0,P03,P01,P01,P01,P02,P01
59,5,5,3,0.2793100128440921,1,1,0,1,0,3,3.362076698343949,11,1215,1,P04,P04,P04,P04,P04,P02
60,5,5,3,0.2946094955156474,1,1,0,1,0,3,3.9329817399137057,14,1215,1,P04,P04,P02,P01,P02,P04
61,5,5,3,0.44771856469506505,1,0,0,1,0,2,3.5732747314499123,8,1215,1,P04,P04,P04,P04,P04,P04
62,5,5,3,0.6611176661309953,1,0,0,1,0,2,3.8124987908084718,10,1215,1,P04,P04,P04,P04,P04,P04
63,5,5,3,0.3006726063945407,1,1,1,1,0,4,2.698735305932874,14,1215,0,P04,P02,P01,P04,P01,P04
64,5,5,3,0.18939364609481185,1,1,1,1,0,4,1.702901164163705,7,1215,0,P04,P04,P04,P03,P01,P01
65,5,5,3,0.25405893359239146,1,1,1,1,0,4,2.250420259648679,14,1215,0,P04,P01,P01,P03,P04,P04
66,5,5,3,0.20747886070345248,1,1,1,1,0,4,1.797344734491332,11,1215,0,P04,P01,P01,P04,P01,P01
67,5,5,3,0.1567944876674735,1,1,1,0,0,3,1.9714814350242724,30,1215,0,P02,P03,P01,P02,P01,P01
68,5,5,3,0.17301960081555126,1,1,1,1,0,4,2.941493200927638,12,1215,0,P04,P01,P04,P01,P02,P04
69,5,5,3,0.3182954776605238,1,1,0,0,0,2,1.5367416824235107,9,1215,0,P02,P02,P01,P01,P02,P02
70,5,5,3,0.4020782343060107,1,1,0,1,0,3,2.9472323045463837,8,1215,1,P02,P04,P02,P02,P02,P02
71,5,5,3,0.13567824549863972,1,1,1,1,0,4,2.676516820247031,12,1215,0,P02,P01,P04,P03,P02,P02
72,5,5,3,0.06317237963930616,1,1,1,1,0,4,2.0062460501293287,19,1215,0,P04,P03,P03,P04,P03,P02
73,5,5,3,0.1335594794549777,1,1,1,1,0,4,2.981467409624675,11,1215,0,P02,P01,P02,P01,P01,P02
74,5,5,3,0.255497712466095,1,1,0,1,0,3,2.280736158916397,8,1215,1,P04,P04,P04,P04,P02,P01
75,5,5,3,0.3241564327353442,1,1,1,0,0,3,3.010924887917409,13,1215,0,P03,P03,P02,P02,P02,P03
76,5,5,3,0.2849063544555737,1,1,1,0,0,3,1.715499984881463,12,1215,0,P02,P02,P01,P02,P02,P03
77,5,5,3,0.3239752342010227,1,1,1,0,0,3,2.0824288024966395,14,1215,0,P02,P02,P02,P03,P02,P03
78,5,5,3,0.17660524116230727,1,1,0,1,0,3,1.7261286709017223,9,1215,1,P04,P04,P04,P01,P01,P04
79,5,5,3,0.20513327365654807,1,1,1,0,0,3,1.2438672265363553,9,1215,0,P03,P01,P02,P03,P01,P03
80,5,5,3,0.2404404762847514,1,1,1,0,0,3,2.182587952298673,9,1215,0,P03,P01,P01,P03,P01,P03
81,5,5,3,0.28342203452833914,1,1,0,1,0,3,2.0604818647168996,10,1215,1,P04,P01,P04,P04,P02,P02
82,5,5,3,0.2364458851717278,1,1,0,1,0,3,3.047176425199933,9,1215,1,P04,P01,P04,P01,P01,P04
83,5,5,3,0.31504706082812933,1,1,0,1,0,3,2.2380604221603715,9,1215,1,P04,P04,P01,P01,P02,P04
84,5,5,3,0.20459652227149194,1,1,1,0,0,3,1.3589655243503316,9,1215,0,P01,P01,P01,P03,P03,P01
85,5,5,3,0.3547740528815367,1,1,1,0,0,3,1.8047668803744359,9,1215,0,P03,P02,P01,P03,P01,P02
86,5,5,3,0.3805488789768633,1,1,0,1,0,3,3.218873692129931,8,1215,1,P04,P04,P04,P04,P04,P02
87,5,5,3,0.29129281770138993,1,1,1,0,0,3,1.776365718688068,12,1215,0,P02,P01,P02,P01,P03,P01
88,5,5,3,0.13170310371511718,1,1,1,0,0,3,1.4780825625420406,9,1215,0,P03,P02,P02,P01,P03,P02
89,5,5,3,0.18223233799464672,1,1,1,0,0,3,2.071894212009512,9,1215,0,P02,P01,P01,P02,P02,P01
90,5,5,3,0.1871644597782101,1,1,1,0,0,3,1.3507627332254573,9,1215,0,P03,P01,P03,P01,P01,P03
91,5,5,3,0.4843975821639798,1,1,1,0,0,3,2.581890552691946,13,1215,0,P03,P02,P03,P03,P02,P03
92,5,5,3,0.24989854358220032,1,1,1,0,0,3,1.812215663636977,13,1215,0,P03,P03,P02,P03,P02,P01
93,5,5,3,0.17322020594362994,1,1,1,1,0,4,3.109894137944108,14,1215,0,P03,P01,P04,P04,P01,P02
94,5,5,3,0.36291108360547897,1,1,1,0,0,3,1.9407958751227747,10,1215,0,P03,P01,P02,P03,P03,P03
95,5,5,3,0.2627515918197244,1,1,0,1,0,3,3.205765096726902,11,1215,1,P04,P04,P01,P04,P01,P02
96,5,5,3,0.2544160666811627,1,1,1,0,0,3,2.082460130734932,12,1215,0,P02,P02,P01,P01,P02,P03
97,5,5,3,0.24004234377617262,1,1,0,0,0,2,2.052162759398479,11,1215,0,P02,P01,P02,P01,P02,P01
98,5,5,3,0.36259335921962843,1,1,0,1,0,3,3.814402168072011,9,1215,1,P04,P04,P01,P02,P01,P04
99,5,5,3,0.20207865262853364,1,1,1,0,0,3,3.451951501840074,15,1215,0,P01,P01,P01,P01,P03,P02
