Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1
84,5,1,3,0.08233048269402615,1,1,1,1,0,4,1.1235325303925003,7,15,0,P04,P03
85,5,1,3,0.07705076534513967,1,1,1,0,0,3,0.8625730876383219,5,15,0,P02,P01
86,5,1,3,0.11714916750833569,1,1,1,0,0,3,1.154273035188789,7,15,0,P01,P01
87,5,1,3,0.08341108784438969,1,1,1,0,0,3,0.9017047726408101,6,15,0,P03,P01
88,5,1,3,0.10247477277471703,1,1,1,1,0,4,1.2519356424557933,8,15,0,P03,P01
89,5,1,3,0.09422150533027171,1,1,1,1,0,4,1.1700691414337907,5,15,0,P01,P01
90,5,1,3,0.08589055707625332,1,1,1,1,0,4,1.0567403535296438,5,15,0,P03,P03
91,5,1,3,0.0927306633497782,1,1,1,0,0,3,1.125100310319901,6,15,0,P03,P01
92,5,1,3,0.052466364863268306,1,1,0,0,0,2,0.6961807155398865,5,15,0,P02,P01
93,5,1,3,0.08385997003670607,1,1,0,0,0,2,0.7362908364175232,6,15,0,P02,P01
94,5,1,3,0.06756088996818901,1,1,1,1,0,4,1.1796051761228898,6,15,0,P04,P02
95,5,1,3,0.0861583683433639,1,1,1,0,0,3,0.9021870979210402,5,15,0,P01,P01
96,5,1,3,0.08476799353781175,1,1,1,1,0,4,1.202618182215246,5,15,0,P02,P02
97,5,1,3,0.09318185610429547,1,1,1,1,0,4,1.3648593607298567,5,15,0,P04,P04
98,5,1,3,0.14366590058806009,1,1,1,0,0,3,1.10772522996719,9,15,0,P03,P02
99,5,1,3,0.12424028515920414,1,1,1,1,0,4,1.5548451482409282,8,15,0,P03,P02
