Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3
30,20,3,3,0.30482174294515924,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.058307384773707,54,540,0,P06,P04,P03,P06
31,20,3,3,0.551055732577134,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2.8359309148623604,102,540,1,P12,P12,P01,P12
32,20,3,3,0.3239749157081552,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2.5565527705800934,87,540,2,P07,P14,P07,P02
33,20,3,3,0.38745809066805503,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.208617711044809,79,540,1,P08,P08,P08,P08
34,20,3,3,0.3539534931660173,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.0738586206467993,78,540,0,P04,P02,P03,P04
35,20,3,3,0.3282695684819492,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.8023239885028963,91,540,0,P04,P05,P04,P02
36,20,3,3,0.4083443109283609,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.8108869555281535,53,540,0,P04,P04,P04,P01
37,20,3,3,0.5216170168537859,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.5486077478396307,79,540,1,P08,P08,P08,P03
38,20,3,3,0.3712885244028087,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,2.6204086936551976,76,540,2,P09,P09,P09,P10
39,20,3,3,0.3806931929323256,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.082173747948444,74,540,1,P03,P01,P05,P05
40,20,3,3,0.44930342452312716,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3.455154475278405,93,540,1,P12,P02,P12,P02
41,20,3,3,0.43801787721691143,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2.4320092022418707,71,540,1,P18,P04,P18,P18
42,20,3,3,0.30547306163993526,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2.5211727408129816,70,540,1,P17,P17,P17,P04
43,20,3,3,0.4047996019788051,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.819987397452925,84,540,1,P04,P04,P04,P04
44,20,3,3,0.3763717130523711,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,2.6929385776117973,90,540,2,P08,P13,P02,P08
45,20,3,3,0.37307205390951614,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.823346546539066,89,540,0,P02,P03,P04,P01
46,20,3,3,0.32114465487913124,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.1410354270291716,74,540,0,P04,P01,P05,P04
47,20,3,3,0.4724223311392046,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2.3038107101118697,68,540,1,P04,P04,P04,P13
48,20,3,3,0.39410414693298546,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3.6095638687705724,78,540,2,P05,P11,P05,P05
49,20,3,3,0.27136861606413404,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.2968837704115215,72,540,0,P05,P05,P05,P06
50,20,3,3,0.4729121754952955,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3.404137905260377,105,540,2,P06,P12,P06,P12
51,20,3,3,0.3166807879183413,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.119971148734121,67,540,1,P02,P04,P07,P02
52,20,3,3,0.4636159913390778,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2.4991257019476074,60,540,1,P09,P09,P09,P09
53,20,3,3,0.39669390594875303,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1.9368725088912657,70,540,2,P12,P12,P12,P07
54,20,3,3,0.23123255259349446,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2.172986099962263,49,540,1,P19,P19,P05,P03
55,20,3,3,0.43936601875241316,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.9463393082519107,81,540,1,P06,P06,P02,P06
56,20,3,3,0.32402923330453876,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2.3807914865871975,41,540,1,P10,P01,P02,P10
57,20,3,3,0.36049508046541656,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2.9766325156843783,60,540,1,P11,P11,P11,P04
58,20,3,3,0.36798966589220594,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2.526683596607531,83,540,1,P17,P17,P04,P17
59,20,3,3,0.24307219491135876,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2.489217826280817,55,540,1,P03,P01,P14,P03
60,20,3,3,0.44380597842045155,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.825699209450734,53,540,2,P06,P06,P06,P07
61,20,3,3,0.3825940415335408,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.9355062404114265,61,540,1,P07,P01,P07,P07
62,20,3,3,0.38327523756845305,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.073726650622621,86,540,0,P06,P06,P06,P03
63,20,3,3,0.5049137064077054,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.5428015194496365,93,540,1,P07,P07,P02,P07
64,20,3,3,0.3829696666946248,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1.899279880613438,64,540,1,P11,P11,P11,P03
65,20,3,3,0.30576227645927645,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,2.4245177168207674,51,540,2,P10,P10,P12,P10
66,20,3,3,0.292324598810831,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,2.4115359963043295,86,540,2,P05,P13,P01,P14
67,20,3,3,0.30860680363725235,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.7856431222472486,63,540,1,P06,P06,P06,P06
68,20,3,3,0.37446777229187944,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.1922230826130695,79,540,0,P07,P07,P04,P03
69,20,3,3,0.4709999964439127,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,2.8858737643852157,73,540,2,P04,P12,P08,P04
70,20,3,3,0.29669751432934677,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2.5447260058542733,65,540,1,P09,P09,P02,P09
71,20,3,3,0.4411530437116556,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9121638028968762,75,540,1,P04,P04,P02,P04
72,20,3,3,0.2604652824863611,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2.266977356076409,74,540,0,P07,P07,P01,P01
73,20,3,3,0.48338027019901075,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2.7688595826706917,62,540,2,P11,P11,P06,P11
74,20,3,3,0.37079246466247295,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.087945634978239,94,540,2,P08,P08,P08,P05
75,20,3,3,0.3608281964326207,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2.360444955726942,79,540,2,P08,P08,P11,P08
76,20,3,3,0.29907347305408494,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2.1459004725997164,87,540,1,P04,P02,P02,P18
77,20,3,3,0.4532048694702322,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.3644660550973207,72,540,1,P08,P03,P08,P08
78,20,3,3,0.4195474442200027,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2.9128338294764506,72,540,1,P10,P10,P01,P10
79,20,3,3,0.4077350714597622,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,2.580078941044197,68,540,2,P13,P08,P13,P02
80,20,3,3,0.3865498462407795,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2.1103540533720357,70,540,1,P09,P09,P09,P03
81,20,3,3,0.3641485766874202,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2.8887688518965238,71,540,2,P09,P09,P01,P07
82,20,3,3,0.33201499505724,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3.4354588444823597,70,540,1,P05,P06,P05,P09
83,20,3,3,0.3536797564577394,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.5483800644877967,98,540,0,P03,P03,P04,P02
84,20,3,3,0.26553672078223495,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,2.5124155643517874,52,540,1,P16,P16,P03,P16
85,20,3,3,0.31425826192135675,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.296839591148671,59,540,0,P04,P04,P04,P03
86,20,3,3,0.5095701397812136,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.4761372602229317,69,540,1,P07,P07,P02,P02
87,20,3,3,0.3266617117910491,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1.9627374184557884,78,540,1,P10,P10,P02,P10
88,20,3,3,0.35673723374030386,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1.461627293955115,101,540,1,P03,P03,P09,P09
89,20,3,3,0.35013580894030605,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2.355113071215663,66,540,1,P11,P04,P06,P11
90,20,3,3,0.3588286465960952,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,3.1172630861604893,96,540,2,P08,P04,P08,P15
91,20,3,3,0.3855684278125748,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1.699664598898515,62,540,1,P08,P08,P08,P03
92,20,3,3,0.4013742317665583,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5849269386062668,79,540,1,P06,P06,P06,P06
93,20,3,3,0.33466298421838625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3.5517200433720904,65,540,1,P15,P15,P15,P15
94,20,3,3,0.28321551884873464,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2.3166196953610165,67,540,1,P15,P15,P15,P01
95,20,3,3,0.2911129020159239,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2.3281266813746204,107,540,1,P05,P15,P02,P01
96,20,3,3,0.4812816447685642,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2.601268604698653,96,540,2,P11,P11,P11,P03
97,20,3,3,0.3853334848879423,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2.6791768896619588,88,540,1,P12,P03,P12,P12
98,20,3,3,0.32049617941121283,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2.0196067838669642,87,540,0,P07,P08,P07,P01
99,20,3,3,0.315262668459642,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,2.7179908421089656,63,540,2,P18,P01,P09,P18
