Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3
15,10,3,3,0.23222603365013322,1,1,1,1,0,0,0,0,0,0,4,1.458235092238737,33,270,0,P03,P04,P01,P01
16,10,3,3,0.3155022270557972,1,1,0,0,1,0,0,0,0,0,3,2.8688540442709427,18,270,1,P05,P02,P05,P05
17,10,3,3,0.2936047297238568,1,1,1,0,0,0,0,1,0,0,4,1.8092114739607883,21,270,1,P08,P08,P02,P03
18,10,3,3,0.4247185756236207,1,1,0,0,1,0,0,0,1,0,4,2.782198256166189,28,270,2,P05,P05,P05,P09
19,10,3,3,0.30516885640943936,1,1,1,0,1,1,0,0,0,0,5,2.6169032354188895,27,270,2,P06,P06,P06,P05
20,10,3,3,0.18165895422583783,1,1,1,1,1,1,0,0,1,0,7,2.0868071531009145,19,270,1,P09,P09,P09,P01
21,10,3,3,0.37408460191267784,1,0,1,0,0,0,0,0,0,0,2,3.1258861535264675,27,270,1,P03,P03,P01,P03
22,10,3,3,0.32330584956596276,1,1,0,1,1,0,0,0,0,0,4,2.3497091604031857,23,270,2,P05,P04,P05,P05
23,10,3,3,0.28720907555039166,1,1,1,0,0,0,0,0,0,0,3,2.555000780625645,24,270,0,P02,P01,P01,P02
24,10,3,3,0.31345829550897597,1,1,1,1,1,0,0,0,0,0,5,2.7326213979702336,25,270,0,P04,P01,P04,P04
25,10,3,3,0.38910330620790184,1,1,1,0,0,0,0,0,0,0,3,2.061503482006603,29,270,0,P01,P02,P01,P03
26,10,3,3,0.18205967689485514,1,1,1,0,0,1,0,0,0,0,4,2.6302323062429425,27,270,1,P06,P06,P02,P02
27,10,3,3,0.2709202584071449,1,1,1,0,0,0,0,0,1,0,4,2.5590718679086444,27,270,1,P09,P09,P02,P09
28,10,3,3,0.30524747785020906,1,1,1,1,0,0,0,0,0,0,4,2.3658701633081716,27,270,0,P03,P01,P02,P03
29,10,3,3,0.3524057969067776,1,1,1,1,0,0,1,0,0,0,5,2.1303126828991745,22,270,1,P07,P07,P01,P07
30,10,3,3,0.19196606737022814,1,1,1,1,1,0,0,0,0,0,5,1.9049564420012817,18,270,0,P05,P01,P05,P03
31,10,3,3,0.24791393601074763,1,1,1,0,0,1,0,0,0,0,4,2.060365768223659,32,270,1,P03,P06,P02,P03
32,10,3,3,0.2676324082977499,1,1,1,0,0,0,1,0,0,0,4,3.082282049084709,35,270,1,P02,P07,P01,P01
33,10,3,3,0.46024898744668324,1,0,0,0,0,0,0,1,0,0,2,2.564054063087652,20,270,1,P08,P08,P08,P08
34,10,3,3,0.32087877538153164,1,1,1,0,0,0,0,0,0,0,3,1.5399625033191604,21,270,0,P03,P03,P03,P02
35,10,3,3,0.1460870141352048,1,1,1,0,0,0,0,0,0,0,3,1.1060900638442046,27,270,0,P03,P03,P01,P03
36,10,3,3,0.35624208502400095,1,1,1,1,1,1,0,0,0,0,6,2.3290392446156387,25,270,0,P06,P02,P04,P06
37,10,3,3,0.3428375022782766,1,1,1,0,1,0,0,0,0,0,4,1.7615477826288717,25,270,1,P03,P01,P01,P05
38,10,3,3,0.24401324913578637,1,1,1,1,1,1,0,1,0,0,7,4.167747945883412,28,270,1,P08,P06,P08,P08
39,10,3,3,0.24153974420314245,1,1,0,0,0,0,0,1,0,0,3,2.2331811954218344,27,270,1,P08,P08,P08,P02
40,10,3,3,0.25218215013725104,1,1,1,0,0,0,0,0,0,0,3,1.5491473848385708,31,270,0,P02,P02,P03,P01
41,10,3,3,0.23966235844991118,1,1,1,0,0,0,0,1,0,0,4,2.398821882418059,22,270,1,P08,P08,P08,P02
42,10,3,3,0.2643767664439529,1,1,1,1,0,0,0,0,0,0,4,1.4045380017420248,24,270,0,P02,P03,P02,P02
43,10,3,3,0.2856012376976209,1,1,1,1,0,0,0,0,0,0,4,2.053742831175,42,270,0,P04,P03,P04,P02
44,10,3,3,0.3258164400692777,1,1,0,1,1,0,0,0,0,0,4,2.815005715463245,27,270,2,P05,P05,P04,P05
45,10,3,3,0.24819863415818208,1,1,1,1,0,0,0,0,0,0,4,1.5396546292511695,34,270,0,P03,P01,P02,P01
46,10,3,3,0.23311615582735837,1,1,0,0,0,0,0,0,1,0,3,2.168881735382081,23,270,1,P09,P02,P09,P09
47,10,3,3,0.21501542112182456,1,1,1,0,0,0,0,0,0,0,3,1.469396249047852,26,270,0,P02,P03,P03,P02
48,10,3,3,0.235572731216689,1,1,1,0,1,0,0,0,0,0,4,2.0764936339539535,29,270,1,P03,P03,P01,P05
49,10,3,3,0.2228005994212668,1,1,1,1,0,0,0,0,0,0,4,1.7478853140308006,30,270,0,P04,P04,P04,P01
50,10,3,3,0.28745532064379475,1,1,1,1,0,0,0,0,0,0,4,2.68296968419832,31,270,0,P03,P03,P04,P01
51,10,3,3,0.33650459538013533,1,1,1,1,0,1,0,1,0,0,6,2.7039745161683473,25,270,2,P06,P08,P02,P06
52,10,3,3,0.25249197344567786,1,1,1,1,1,1,0,0,0,0,6,3.653096910166014,33,270,0,P06,P04,P03,P01
53,10,3,3,0.2539682252515929,1,1,1,1,0,0,0,1,0,0,5,2.9521904570397712,22,270,1,P04,P08,P04,P04
54,10,3,3,0.2789402973196554,1,1,1,1,1,1,0,0,0,0,6,1.6449363989154895,17,270,0,P06,P06,P06,P02
55,10,3,3,0.23081149307334353,1,1,1,0,0,0,0,0,1,0,4,1.5293623925431423,25,270,1,P09,P09,P09,P09
56,10,3,3,0.40247817874319863,1,1,1,1,0,0,0,0,1,0,5,3.3308057064901053,27,270,1,P09,P04,P09,P02
57,10,3,3,0.30983021492952223,1,1,1,0,0,0,0,0,1,0,4,2.7743631510175626,28,270,1,P09,P01,P09,P09
58,10,3,3,0.3013493774432184,1,1,0,1,0,0,0,0,1,0,4,2.3297710521028363,22,270,2,P09,P04,P09,P09
59,10,3,3,0.216426928899182,1,1,1,1,1,0,0,0,0,0,5,1.4952108951217635,20,270,0,P04,P03,P01,P02
60,10,3,3,0.34637752118575993,1,1,1,1,1,1,0,0,0,0,6,2.073565201112901,27,270,0,P06,P04,P03,P06
61,10,3,3,0.19878868175804335,1,1,1,0,0,0,0,0,0,0,3,1.5699531123121127,38,270,0,P03,P01,P03,P02
62,10,3,3,0.2162682673472625,1,1,1,1,0,0,0,0,0,0,4,1.9522400609897441,27,270,0,P04,P04,P01,P01
63,10,3,3,0.2890470947292099,1,1,1,0,1,0,0,0,0,0,4,1.7358927178726131,36,270,1,P05,P01,P05,P05
64,10,3,3,0.2178102395512126,1,1,1,1,1,0,1,0,0,0,6,2.0031544105779022,16,270,1,P07,P01,P07,P07
65,10,3,3,0.3690115266010715,1,1,1,1,0,0,0,0,0,0,4,2.390322858751287,23,270,0,P04,P04,P04,P02
66,10,3,3,0.3092937351253151,1,1,1,1,1,0,0,0,0,0,5,1.929137019542139,29,270,0,P05,P03,P05,P04
67,10,3,3,0.225693258989419,1,1,1,1,0,0,1,0,0,0,5,1.7402931912986013,23,270,1,P07,P01,P07,P03
68,10,3,3,0.22582589612137138,1,1,1,0,1,1,0,0,0,0,5,1.8156393526034433,26,270,2,P05,P03,P06,P02
69,10,3,3,0.3616998337813023,1,1,1,0,0,0,0,1,0,0,4,3.313730301882177,30,270,1,P08,P01,P08,P08
70,10,3,3,0.18007377977596462,1,1,1,1,1,1,1,0,0,0,7,2.7036328714661195,39,270,0,P06,P01,P06,P01
71,10,3,3,0.3091465917992424,1,1,1,0,0,0,0,0,1,0,4,2.5224641164482673,20,270,1,P09,P09,P01,P09
72,10,3,3,0.19698595263354496,1,1,1,1,0,0,0,1,0,0,5,2.2100194346831716,23,270,1,P08,P08,P02,P08
73,10,3,3,0.24099518848100823,1,1,1,1,0,0,0,0,0,0,4,1.6429525987028781,25,270,0,P03,P01,P01,P01
74,10,3,3,0.30585037180144176,1,1,1,1,0,0,1,0,0,0,5,2.9620139458847436,22,270,1,P07,P04,P07,P03
75,10,3,3,0.24017969064017,1,1,1,1,1,1,0,0,0,0,6,1.9949733789205473,25,270,0,P05,P05,P01,P01
76,10,3,3,0.17278595163164384,1,1,1,1,1,1,1,0,0,0,7,2.0870320627708416,20,270,0,P03,P07,P03,P06
77,10,3,3,0.32200928354023606,1,1,1,0,1,0,0,0,0,0,4,2.5256026475297495,20,270,1,P05,P05,P05,P05
78,10,3,3,0.23459656281391414,1,1,1,0,0,0,1,0,0,0,4,1.666201175805757,26,270,1,P07,P02,P02,P07
79,10,3,3,0.20700505153878648,1,1,1,1,0,1,0,0,0,0,5,2.473155373668037,27,270,1,P06,P06,P01,P03
80,10,3,3,0.3420793404371908,1,1,1,1,0,1,0,0,0,0,5,2.522371419780591,26,270,1,P06,P06,P06,P06
81,10,3,3,0.3293544234760061,1,1,0,0,0,1,1,0,0,0,4,2.571473451125049,28,270,2,P07,P06,P07,P06
82,10,3,3,0.3457448848523248,1,0,0,0,1,0,0,0,0,0,2,2.200938167888969,21,270,1,P05,P05,P05,P05
83,10,3,3,0.17837819615687883,1,1,1,1,0,0,0,0,0,0,4,1.6476984475183132,24,270,0,P02,P01,P02,P01
84,10,3,3,0.24646504953893958,1,1,1,1,0,1,0,0,0,0,5,1.9745786900429416,20,270,1,P06,P06,P02,P03
85,10,3,3,0.3370349007110229,1,1,1,1,1,0,0,1,0,0,6,2.8617275652467606,25,270,1,P08,P01,P08,P08
86,10,3,3,0.2197963566284789,1,1,1,1,0,0,1,0,0,0,5,2.5660201495898267,18,270,1,P07,P07,P07,P03
87,10,3,3,0.2180658951326211,1,1,1,1,1,0,0,0,0,0,5,1.4217303603556588,30,270,0,P05,P05,P05,P01
88,10,3,3,0.2694034411906932,1,1,1,1,1,0,0,0,0,0,5,2.8306473133899117,28,270,0,P04,P03,P02,P04
89,10,3,3,0.36079613776668834,1,1,1,0,0,0,1,0,0,0,4,3.8930681824159863,38,270,1,P07,P07,P02,P07
90,10,3,3,0.3985730843999973,1,1,1,0,0,0,0,0,0,0,3,1.721572191912073,25,270,0,P02,P02,P01,P02
91,10,3,3,0.32401546579078766,1,1,1,1,0,0,1,0,0,0,5,2.48587166039661,25,270,1,P04,P01,P07,P04
92,10,3,3,0.2792335121235153,1,1,1,1,1,0,0,0,0,0,5,2.3520785925790575,26,270,0,P05,P03,P01,P01
93,10,3,3,0.28179923641884314,1,1,1,0,0,0,1,0,0,0,4,2.27916906272578,34,270,1,P03,P03,P07,P03
94,10,3,3,0.2842576281255292,1,1,1,1,0,0,0,1,0,0,5,2.0483126582197073,23,270,1,P08,P08,P03,P01
95,10,3,3,0.27781191944688544,1,1,1,0,1,0,0,0,0,0,4,1.8552781703541483,40,270,1,P05,P01,P01,P05
96,10,3,3,0.5030206293706122,1,1,0,1,0,0,0,0,0,0,3,2.7377973780556153,24,270,1,P04,P01,P04,P04
97,10,3,3,0.2841378444498622,1,1,1,0,1,0,0,0,0,0,4,2.2632310122632004,24,270,1,P05,P05,P01,P01
98,10,3,3,0.292232751738878,1,1,0,1,0,0,1,0,0,0,4,2.194195289784883,19,270,2,P04,P07,P04,P04
99,10,3,3,0.26061062483527236,1,1,1,1,0,0,1,0,0,0,5,2.342143228684277,16,270,1,P07,P07,P07,P01
