Instance,N,K,L,c.1,c.2,c.3,c.4,c.5,p.1,p.2,p.3,p.4,p.5,theta1.1,theta1.2,theta1.3,theta1.4,theta1.5,a.1,a.2,a.3,a.4,a.5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1
10,5,1,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,0.5,1.0,0.5,0.0,0.0,0.4039030840863811,0.2839042176821435,0.3630682159083486,0.49030069313888025,0.4134428595655348,3.363579366603005,2.5750093150038693,4.415851169411733,3.8216820036468544,4.4450475696437195,0.14174674966395398,1.1171738700438234
11,5,1,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.5,0.5,0.5,0.0,1.0,0.4260762911835109,0.42922189093550345,0.24822078254351887,0.44009946858448135,0.34466747885810545,2.001630784931635,4.4838924965776465,2.982536429558051,4.069969087714144,3.4545496703956697,0.14669334288058702,1.769369001799357
12,5,1,3,0.5,0.5,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,1.0,1.0,0.5,0.5,0.5,0.31196652673813563,0.23574075078129014,0.2071594403553011,0.47380693071683866,0.37346338156911363,4.549689983028837,3.929323055015694,3.6988045820959146,3.0539382932947423,3.6250326943028983,0.10469236717096758,1.6341808151557262
13,5,1,3,0.25,0.0,0.25,0.0,0.9,0.775,0.325,0.55,0.1,1.0,1.0,0.5,0.0,0.5,1.0,0.22780754761244632,0.2889063300721404,0.49677761937729353,0.3046329070476582,0.4041911595088744,2.676669510490782,3.3797042624217504,2.8161706468852836,3.6248129937959592,4.836645523501749,0.10601010676428349,1.4136128022825258
14,5,1,3,0.25,0.25,0.75,0.0,0.25,0.775,0.55,1.0,0.1,0.325,1.0,0.0,1.0,0.5,1.0,0.4341845257762229,0.31098473055732234,0.44459246951651654,0.2826616865567727,0.3960515261354691,2.8260471191478347,3.3622251846438456,2.3175825767187,2.416357175484287,4.858362204857956,0.14385181429199956,1.4367768940373744
15,5,1,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,0.5,0.5,0.0,0.0,0.5,0.23840781299309774,0.2284853910252496,0.4371123744883476,0.22265405577489342,0.4631737068016439,4.765673716928475,3.7338776565211136,3.713097174882299,2.613438624866152,4.550980209838894,0.13003684055996095,1.7910022084061175
16,5,1,3,0.5,0.5,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,0.5,0.0,0.5,0.5,0.0,0.22214526938707355,0.35728165537048373,0.2756746107667788,0.21823157573497104,0.35365444895776793,4.435888936436479,3.0281491279169677,4.138611672790242,3.179794248250123,2.77395462303908,0.17794744188411724,1.582494456012859
17,5,1,3,0.25,0.25,0.0,0.0,0.49500000000000005,1.0,0.775,0.325,0.1,0.55,0.5,1.0,0.5,0.0,0.5,0.4561475220000568,0.3116582353503371,0.46462287632361143,0.34971108872467793,0.2776167854610619,3.9844643985627353,3.917629549459776,2.8954696123453925,3.2140354787657412,4.1367872978042595,0.19103914716187642,1.9678731428201603
18,5,1,3,0.25,0.25,0.0,0.25,0.0,1.0,0.775,0.325,0.55,0.1,1.0,0.5,0.5,1.0,0.5,0.4016175619553902,0.2668365481009366,0.36553552715914794,0.4212678538154895,0.41914178188964446,4.982919155576278,3.878074738368713,4.023049167472369,3.390287954849742,4.076424996802445,0.19730636172988208,1.70565869561727
19,5,1,3,0.25,0.5,0.0,0.0,0.49500000000000005,0.775,1.0,0.325,0.1,0.55,1.0,1.0,0.0,0.5,1.0,0.4955349836285877,0.3520476479337189,0.4353897323799928,0.29025580965892994,0.2695177790516867,4.843687385589004,4.625116502180994,3.1900264061545487,4.109574122596787,2.058660663182386,0.16205089367452075,1.9728296528367364
20,5,1,3,0.25,0.25,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,0.5,0.5,0.0,0.0,1.0,0.357128088809996,0.26868229763691315,0.4097751180114996,0.35577211265486086,0.2771103314776042,3.3124419067401236,4.836295490783403,3.213412768482617,3.0318683947289005,2.608704370948022,0.14758313608612358,1.8242267321960206
21,5,1,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,1.0,1.0,0.0,0.0,0.5,0.2147719100319693,0.30981408535103727,0.33183973529019084,0.40510361761426883,0.20981247950900717,3.755787255318655,3.077828705233201,3.415026384169259,3.9228668535201785,3.0042951632010246,0.12855399266644224,1.809553506087279
22,5,1,3,0.5,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,1.0,0.5,0.5,0.5,0.5,0.33584437634448483,0.48698034417786823,0.4409684772322413,0.2561378318605829,0.47119625527852377,4.268884979029967,2.4150253988684782,2.4259912712374168,4.823210276302225,3.950430926804417,0.19027588459754713,1.7314203920491393
23,5,1,3,0.25,0.25,0.25,0.0,0.25,1.0,0.775,0.55,0.1,0.325,0.5,1.0,0.5,0.0,0.5,0.23618618206832087,0.21830469481489317,0.38195028471836123,0.30917821077070484,0.2608532085325218,3.8936257432793546,2.3548239370103063,2.515222255679342,4.041932780726971,3.550276380347555,0.13559045301841877,1.908074277565107
24,5,1,3,0.25,0.25,0.75,0.0,0.25,0.775,0.55,1.0,0.1,0.325,0.0,0.5,0.5,0.0,1.0,0.4630250060919552,0.2631776417862764,0.4007794712400973,0.3644745495265149,0.2471042810043364,2.8709375239191974,4.937932379194384,3.835543410222235,2.9961999985918943,4.068817719665262,0.13825544575337714,1.2333318577314283
25,5,1,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,1.0,0.5,1.0,0.0,0.0,0.39516443454786965,0.24371514480152823,0.46700123785386577,0.47795227786369066,0.49526384593757805,2.801412576637395,4.54150094042129,2.197533971830616,3.246348028272888,4.565798719550085,0.13362297979769144,1.9484030922994875
26,5,1,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.5,1.0,1.0,0.5,0.5,0.2242055088274737,0.26791883540286415,0.2825871933784755,0.4142038595274539,0.4443785165328452,4.056590346896893,4.82655715468047,4.2041215140307076,2.3378734734341604,3.527773793479353,0.11280211337956897,1.8845646316714881
27,5,1,3,0.5,0.5,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,1.0,0.5,0.5,0.5,0.5,0.2644579526082431,0.3046739962363217,0.4795081468469812,0.21586389874888742,0.3291880843197345,3.0462173729621544,4.228469020485885,2.997050765719644,3.6659986730162353,2.9102797997435523,0.17281575665811943,1.6373344673796217
28,5,1,3,0.5,0.5,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,1.0,0.0,0.0,1.0,1.0,0.4811195948137512,0.3300171670559312,0.30224355799558594,0.44402148204056896,0.3112272773931579,2.393117124706937,2.686378766126968,3.009579511398472,3.4964723982607766,2.2638192853567727,0.18860873859657848,1.059000855176031
29,5,1,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,1.0,1.0,1.0,1.0,0.5,0.31944569309094994,0.23651902340331465,0.2039789795312279,0.23008870589159122,0.2776998519237712,2.861331773322081,4.2780520102184685,4.607086209808575,3.163988453554634,4.362503930965907,0.10006889308901876,1.8663534837131435
30,5,1,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,0.5,1.0,0.0,0.0,0.2819542341612608,0.20648404270778203,0.2703903645860346,0.28724914739343493,0.2922116818158433,2.1940322619599506,3.065910067361569,4.517000987373002,2.0822923994636127,3.424676104383964,0.1720323953689178,1.5980728033206044
31,5,1,3,0.25,0.0,0.25,0.75,0.0,0.775,0.325,0.55,1.0,0.1,1.0,0.5,0.5,1.0,0.5,0.47409686202184975,0.2896430491893254,0.39072556982565754,0.2702408135195376,0.23101770622449266,3.067617883531481,4.193933278890814,4.103143093026378,2.2616658243651426,3.4920978641240583,0.16701422601472654,1.1705782722749407
32,5,1,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,0.5,0.5,0.5,0.5,0.5,0.4799750661277121,0.41209465146019675,0.4817153458792723,0.48582426685161767,0.2882999816953734,4.657392652659446,4.57289689319722,4.205670844504606,2.378798601853383,2.877051728653574,0.19163306876117286,1.1736767969100765
33,5,1,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,1.0,1.0,1.0,0.5,0.5,0.22915489098062694,0.42127040557760365,0.34304874297650634,0.295230240226645,0.3036838670685906,2.3246762635461753,2.200624239217565,2.8685012723980052,2.5844582668157177,2.2215577278435643,0.15870039763858285,1.147958594004557
34,5,1,3,0.25,0.5,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,1.0,1.0,1.0,0.5,0.5,0.25873777259569286,0.3564917613466857,0.20120180038498658,0.46204624263895483,0.38418826871433087,4.093619504604382,3.821007317176834,3.954975369531684,4.701368956277819,4.385319298765375,0.1799146016704939,1.7027992455391254
35,5,1,3,0.25,0.25,0.75,0.0,0.25,0.775,0.55,1.0,0.1,0.325,0.5,0.0,1.0,0.0,0.5,0.35571249258180204,0.2198006000866434,0.4578589397610145,0.3333902292450198,0.384451707534921,3.703955404911299,3.6932754413962017,2.1340806858096233,3.8501287146067087,4.967632082177396,0.15094509197435704,1.085683044708384
36,5,1,3,0.25,0.25,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,0.5,0.5,0.0,0.0,1.0,0.46170070721483886,0.25411801026402275,0.3794232183806955,0.3887073501525472,0.39541383338851643,2.377524172268658,3.8435479984464904,2.306111691386608,4.785771439920273,4.878861706191648,0.12881288822776532,1.3910171600225758
37,5,1,3,0.25,0.25,0.75,0.0,0.25,0.775,0.55,1.0,0.1,0.325,0.5,0.0,0.5,0.0,1.0,0.2816041498389873,0.4812504370275588,0.49816017489949005,0.3324277157974104,0.21264805983845,2.543353153982975,4.559018186964751,2.9348065614086245,2.505766920442499,3.2705671133456766,0.1520121746741269,1.9320205300458277
38,5,1,3,0.25,0.5,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,0.5,0.5,0.0,0.5,0.0,0.2808128967350091,0.38895766434202295,0.2853073933618249,0.2702068802732401,0.2998881918281508,2.1235207921093617,3.2496329715980834,4.710297727629572,4.344519806791452,4.04802902199631,0.11638280715338989,1.088476714875919
39,5,1,3,0.25,0.0,0.6975,0.25,0.49500000000000005,1.0,0.1,0.775,0.325,0.55,0.5,0.5,1.0,0.0,0.5,0.4165527148351237,0.3237024196258829,0.2685658730719474,0.29358416635678425,0.2156776952912523,4.827420096032732,2.5559054917896016,3.0764096005554316,4.610824041689321,2.683087230196541,0.1973253366031754,1.2375299361507044
40,5,1,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.5,1.0,1.0,0.5,0.5,0.39852440099174513,0.483050493563143,0.4061558144163443,0.4226534968937312,0.2917499672898113,2.652850721110082,2.833638781106613,2.8029578465514557,3.8480596944922802,2.1723960288689312,0.19177234356313427,1.8811366607601614
41,5,1,3,0.5,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,1.0,0.5,0.5,0.0,1.0,0.4168285769966711,0.35674709206636535,0.3700677917607571,0.23295197369113313,0.2673471312970752,2.5134511786678604,4.724895248562189,2.8012269130090366,2.2928535273453616,2.9319270615558235,0.17434157523817836,1.8561267294551222
42,5,1,3,0.25,0.0,0.25,0.0,0.9,0.775,0.325,0.55,0.1,1.0,0.5,0.5,0.5,0.0,1.0,0.2599950534638061,0.35658624396719363,0.33318273129188336,0.2340750220642347,0.3778972526310166,3.0834237028001223,3.7778587498928045,3.570308591800986,4.299184607220199,2.6360551474165903,0.19518692014360792,1.5878538969617118
43,5,1,3,0.25,0.25,0.0,0.25,0.0,1.0,0.775,0.325,0.55,0.1,1.0,1.0,0.5,0.0,0.5,0.42420969353579185,0.3378143518782898,0.420871307366081,0.42717736204097023,0.24245236166175643,2.9692952047865266,4.950427981132742,3.9282956262882625,4.416473374174451,2.5076879899134568,0.16650132261746198,1.2146154429048672
44,5,1,3,0.25,0.25,0.0,0.0,0.49500000000000005,1.0,0.775,0.325,0.1,0.55,1.0,1.0,0.5,0.0,0.0,0.4313316519665775,0.29443090629642893,0.4241533441189759,0.47381485803444806,0.4065569394262961,2.5440386384574185,2.1197675671733593,4.547968323398157,4.102672945751202,4.878437200544987,0.14890197283491413,1.084899541922013
45,5,1,3,0.5,0.25,0.0,0.6975,0.25,1.0,0.55,0.1,0.775,0.325,1.0,0.0,0.0,0.5,1.0,0.2772527450098091,0.37143005080156194,0.3276640838419006,0.4998609585777856,0.4601232339645556,3.094936049686651,4.703164150703836,2.1235853093193158,2.0718125616405536,4.436886192602305,0.18006567238005397,1.887111499307204
46,5,1,3,0.0,0.25,0.5,0.75,0.0,0.325,0.55,0.775,1.0,0.1,0.5,0.0,1.0,0.5,0.5,0.4746140359920857,0.3305307893785132,0.4187197687505798,0.28545859382018546,0.49437898421228277,2.860390335153647,4.114767988704588,2.998741295571266,3.5313720325850357,3.669585513483946,0.11026151023436397,1.0903232185652878
47,5,1,3,0.25,0.5,0.0,0.25,0.0,0.775,1.0,0.325,0.55,0.1,1.0,1.0,0.5,0.0,0.0,0.4231720042478368,0.4216943793775283,0.34372915256348513,0.27024825883991827,0.43689170602351723,4.400783233897512,3.958157724471709,4.7094684260711555,3.2489115896501435,3.8984336974171887,0.16863802308574996,1.1313707865276643
48,5,1,3,0.5,0.5,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,0.5,0.5,0.5,0.0,0.5,0.4708876014069855,0.23785608768587937,0.3128602701854027,0.28430658947950693,0.2535246428027031,3.5775029996642074,4.12524034427257,3.0816056774034744,2.749777955682993,2.762296848170708,0.16468305014763746,1.7221806248853953
49,5,1,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,0.5,0.5,1.0,0.0,0.0,0.34719723339688124,0.3903144811700057,0.2646877448686356,0.47664272749152664,0.2957518470594249,2.383581880520216,4.326990306306756,4.285036079455443,4.8268630951879405,3.42618653525905,0.12078547451191055,1.7142656329550565
50,5,1,3,0.5,0.25,0.0,0.6975,0.25,1.0,0.55,0.1,0.775,0.325,0.5,0.0,0.0,0.5,0.0,0.33592559943193134,0.3861538568101553,0.24754210042911415,0.3095122944301886,0.4494972700419111,2.6463973729253802,4.261298120858683,4.83468618861175,3.305329081361282,3.0756581119341466,0.14008649122573977,1.5603756572962904
51,5,1,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,0.5,0.5,0.0,0.0,0.5,0.22651961640359405,0.4362005427129978,0.43264637781492754,0.32526474882650724,0.4541942747769025,3.358022823421366,3.4510008251602695,2.107135517010759,2.9920966962045075,3.2715604645371674,0.162397038900843,1.444244394362692
52,5,1,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,1.0,0.0,0.5,0.5,0.5,0.23892928602467087,0.4556685607371136,0.2152687261930206,0.20378928596261,0.4706174938675646,4.367328704215931,3.774802899224287,2.174144291593451,4.589698351653629,4.835260911998386,0.13155264281512655,1.6424709637185781
53,5,1,3,0.25,0.5,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.5,1.0,0.0,0.0,0.5,0.3912115997046258,0.4306150396044401,0.4357881285224106,0.3891570372129396,0.43773088827935175,4.334909701765513,4.893422785821433,3.435853947849571,2.205705816027708,3.1644928448223877,0.1127536500952077,1.6496191928812813
54,5,1,3,0.5,0.0,0.25,0.5,0.0,1.0,0.325,0.55,0.775,0.1,0.5,0.0,1.0,0.5,0.0,0.4615259088628166,0.4317816736965886,0.38250921685355815,0.36559547844847395,0.3407889850755864,2.365546040502811,3.2020473510560996,2.195371896048893,3.0224802504125092,4.384815711944289,0.19208089602227324,1.2726624357020375
55,5,1,3,0.0,0.25,0.5,0.0,0.9,0.325,0.55,0.775,0.1,1.0,0.5,1.0,1.0,0.5,1.0,0.48312279881497,0.25794826580277824,0.41893941790788186,0.32676789947073903,0.3607531667392866,3.8193805115778408,4.0628248247679295,4.10625874324821,4.005149045199249,3.024779061400087,0.1684705442500904,1.59692355315596
56,5,1,3,0.5,0.25,0.0,0.6975,0.25,1.0,0.55,0.1,0.775,0.325,1.0,0.5,0.0,0.5,0.0,0.27314599033901865,0.20393905584301358,0.2019232760479866,0.3428307413986523,0.3599074924155392,4.899883581045571,4.15496886397411,4.000148350437238,4.042994837125739,2.573962755035646,0.17572496152754302,1.3447014015962402
57,5,1,3,0.0,0.5,0.75,0.0,0.49500000000000005,0.325,0.775,1.0,0.1,0.55,0.5,0.5,1.0,0.0,0.5,0.4964604316121915,0.22019315868468903,0.44283007631449955,0.4975364113381912,0.4706386599657351,3.1428023589022294,3.6928839667923308,4.99753773793114,3.619022902253052,4.017097516749302,0.19759708023845246,1.1527828396822222
58,5,1,3,0.5,0.25,0.0,0.6975,0.25,1.0,0.55,0.1,0.775,0.325,1.0,0.5,0.5,1.0,0.0,0.22388922391540067,0.41080029017899966,0.24602640010268054,0.2960020451579817,0.3866698239063697,4.669452870639165,2.0718684346451455,4.509681907933311,4.7103115206123425,2.12810026111916,0.11089999675252132,1.7186660405259528
59,5,1,3,0.25,0.25,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,1.0,0.0,0.5,0.5,1.0,0.20209037817073824,0.29009402570391063,0.21099132937461465,0.3151517434855866,0.4884332250086645,3.5567878088395766,3.703481430745807,3.0974878334182714,4.511004379546302,4.39479277514253,0.13953728904003393,1.6493777943883627
60,5,1,3,0.25,0.75,0.0,0.6975,0.25,0.55,1.0,0.1,0.775,0.325,0.0,1.0,0.0,0.5,0.5,0.35734899176380736,0.21232836181568998,0.35058365830502003,0.2210260121885558,0.32256983595404476,2.7308087336641442,2.363911149130231,2.0560494646178173,3.5696044538605167,4.513029083565172,0.11962066858711395,1.6747109873451556
61,5,1,3,0.25,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,0.5,0.0,0.0,0.5,1.0,0.4409516867129173,0.34093765640241647,0.2885675383504109,0.21709063988341787,0.2967376194964497,4.48704778674999,3.8296247820798475,4.630955116952244,3.6666397936105755,4.745606883321122,0.1650213242944646,1.1434198071946051
62,5,1,3,0.25,0.0,0.25,0.5,0.0,1.0,0.325,0.55,0.775,0.1,1.0,0.0,0.5,1.0,0.0,0.203825869693191,0.26996410555237593,0.3633595416461872,0.38816210387149575,0.44975691878074453,2.2272184777777175,4.128387610433249,3.5908454145922675,4.5416142366214505,2.362466000097465,0.15410160027424594,1.2991528979832894
63,5,1,3,0.25,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,0.5,0.5,0.5,0.0,0.47273847479317715,0.4484944089813666,0.39734346044554536,0.36068990331484885,0.412525165124056,2.6778923805066546,4.127934603427138,2.049818584287749,2.9863940834121148,4.304903278740861,0.19228785794857686,1.1174576656690407
64,5,1,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,1.0,0.5,0.5,0.5,0.3598777377844997,0.3683848549520077,0.46693943271837884,0.3431997968514724,0.48248650885601985,3.437648325183253,2.140110888675349,4.994310122582557,3.404344294883239,3.275621871016002,0.1951298562763071,1.3877100977139292
65,5,1,3,0.5,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.0,1.0,0.0,0.0,0.5,0.47581567449527673,0.3629108050750247,0.2903978833390485,0.2498212599412284,0.3598146038947494,4.693601067361528,2.605025145888595,2.0391326497371454,2.850499199858364,2.142305723691988,0.15308911841675518,1.589719141767046
66,5,1,3,0.5,0.25,0.0,0.6975,0.25,1.0,0.55,0.1,0.775,0.325,1.0,0.5,0.5,0.5,0.5,0.4340838053686142,0.2383304346631166,0.3120599517752961,0.25143445178070567,0.48480626608563954,3.371131904270047,4.487152673613208,3.9569923853697944,4.768511489353712,4.87596813750051,0.19715017090069498,1.3277856340576353
67,5,1,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,0.5,1.0,0.5,0.0,0.5,0.2597490384564278,0.3145918427459478,0.4905937016580041,0.30359812353913757,0.4964643280422374,4.228807706854861,4.117933269003604,3.530504816673075,3.602366288001379,3.9448918271822078,0.17329159599488891,1.3014515722329008
68,5,1,3,0.5,0.0,0.5,0.0,0.49500000000000005,1.0,0.325,0.775,0.1,0.55,1.0,0.5,0.5,0.0,0.0,0.4471618940820149,0.36893320934268625,0.3918089802340055,0.43691368713312984,0.36832917604642323,2.816753709315496,2.779594417793257,2.7848124904290463,4.34705975344429,3.13918453861759,0.10583152439082323,1.7801054713264273
69,5,1,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.5,0.5,0.5,0.0,0.5,0.2514907392281093,0.4089216352458129,0.3448812110016222,0.3760826215906924,0.2585803391580609,4.111191755770022,2.853883282410135,3.6407342188569847,2.037524327185589,4.682085019855485,0.12928355205855968,1.8759525008917035
70,5,1,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.0,0.5,0.5,0.5,0.0,0.35340808429920967,0.46505223873254875,0.22267396444484844,0.2504919783918198,0.3396802870982902,2.2438531862105355,3.2357682284011533,4.778999916921182,4.516392812107901,4.153620817086686,0.18938100476548347,1.7259922086867314
71,5,1,3,0.0,0.25,0.5,0.75,0.0,0.325,0.55,0.775,1.0,0.1,0.0,0.5,0.5,1.0,0.0,0.3891493890149511,0.3886923424580687,0.39913657093786215,0.49969689874604734,0.33487619324727463,3.4532426531247746,2.9100060654874307,2.6770127245625686,2.162522530423166,3.9777632351838155,0.1653934513792192,1.1154595202339133
72,5,1,3,0.5,0.0,0.25,0.5,0.0,1.0,0.325,0.55,0.775,0.1,1.0,0.5,0.5,0.5,0.0,0.2459248774508255,0.39671344121297686,0.2672493254898746,0.4985724411613454,0.22429849843597138,3.4086199978930627,2.6520190581109993,3.612160073026739,3.525289939538226,4.52574109045695,0.19095474757884534,1.1278541779577966
73,5,1,3,0.5,0.0,0.25,0.5,0.0,1.0,0.325,0.55,0.775,0.1,1.0,1.0,0.5,1.0,0.0,0.37156269870304215,0.38465119619917104,0.30469151988412635,0.21601672161833155,0.2781839649384237,4.541912961145267,3.4153406789230845,2.2233792369770504,2.433926557237044,2.658517087927468,0.14889099114408638,1.8521025624629752
74,5,1,3,0.25,0.0,0.75,0.0,0.49500000000000005,0.775,0.325,1.0,0.1,0.55,0.5,0.0,1.0,0.0,0.0,0.34673395050285094,0.4677174335396685,0.3280906868454324,0.3612199025840934,0.42525594851673065,2.9233500894004214,4.55154304489853,4.105646146796127,3.584916659699055,4.503055669775563,0.191392409825419,1.3826661294349083
75,5,1,3,0.5,0.0,0.9,0.25,0.49500000000000005,0.775,0.1,1.0,0.325,0.55,0.5,0.5,1.0,0.5,0.0,0.44288281834158083,0.4014934412087007,0.46446994202505504,0.3734025247399936,0.3112296980095782,2.740832135630333,3.949364325523037,2.1484325974592093,3.8133427397003605,3.5268836477913266,0.15497720446141278,1.2373475836073637
76,5,1,3,0.25,0.0,0.25,0.75,0.0,0.775,0.325,0.55,1.0,0.1,1.0,0.5,0.5,1.0,0.0,0.31974324429204837,0.42633959703703994,0.21343329425038188,0.22403384559342365,0.3852545243513703,4.528905346576467,3.6688732960247266,3.2982086445729735,3.2416741964935554,3.841952611201286,0.13637890009828707,1.857541548269315
77,5,1,3,0.5,0.5,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,0.5,0.5,0.5,0.5,0.0,0.3650280538636963,0.3071824396313371,0.4012611179359561,0.22018450620536206,0.3830883346074373,4.436730963423141,2.0892353649579216,3.472011992579307,3.3558771767212994,4.7697745517082515,0.15718813696221506,1.943985268517567
