Instance,N,K,L,c.1,c.2,c.3,c.4,c.5,p.1,p.2,p.3,p.4,p.5,theta1.1,theta1.2,theta1.3,theta1.4,theta1.5,theta2.1,theta2.2,theta2.3,theta2.4,theta2.5,theta3.1,theta3.2,theta3.3,theta3.4,theta3.5,a.1,a.2,a.3,a.4,a.5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1,gamma2,gamma3
10,5,3,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.0,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.35719820981360684,0.43506328655510107,0.46404420966911414,0.23209201152250816,0.32561372570092023,4.439284256766434,4.47332493151395,4.448408696139566,2.366647139087543,2.2888642072980963,0.18944082041844607,1.0601323682577317,1.0601323682577317,1.0601323682577317
11,5,3,3,0.5,0.0,0.5,0.0,0.49500000000000005,1.0,0.325,0.775,0.1,0.55,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.2565890323350313,0.25730427738447403,0.3729165297308669,0.24885896974473695,0.43612848890094225,3.2082170664349965,2.2235526729390007,2.8273356157950813,3.624056131726338,2.799957015576989,0.16483199891909256,1.693182905859763,1.693182905859763,1.693182905859763
12,5,3,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,1.0,1.0,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.46614238077630205,0.21768261337715675,0.268941197841996,0.4839344857716928,0.24524183689942158,4.8884248143412234,3.2060025433322803,4.360689215186125,3.7269244091916782,2.2156896694667534,0.19536061444947228,1.284908141329856,1.284908141329856,1.284908141329856
13,5,3,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,0.5,1.0,0.5,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,0.0,1.0,0.5,1.0,0.4358244796455672,0.3598639632746067,0.3226307723824052,0.4761014175465705,0.32885411729843717,4.501280143388307,4.575426295784624,2.115103186940448,4.287318276710271,4.339731227404048,0.10715482516164225,1.3936813647968895,1.3936813647968895,1.3936813647968895
14,5,3,3,0.25,0.25,0.0,0.6975,0.25,1.0,0.55,0.1,0.775,0.325,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.46987805458756515,0.44143125021657437,0.31474257464246,0.45364565575633975,0.22764158062891335,4.029654854258594,2.499895979204712,3.9853226923584906,4.571834076509371,3.0459361773006,0.15068582386559154,1.4743887006037344,1.4743887006037344,1.4743887006037344
15,5,3,3,0.25,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.5,1.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5,1.0,1.0,1.0,0.0,0.5,0.5,0.4965580083139901,0.43784781166032166,0.2531499401569619,0.32487237075651415,0.46913463608721545,4.694403932423301,2.602644246259569,4.13033714489371,2.7554490423807554,3.4822254090164,0.12068637362716594,1.7126278851774033,1.7126278851774033,1.7126278851774033
16,5,3,3,0.25,0.25,0.75,0.0,0.25,0.775,0.55,1.0,0.1,0.325,1.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.0,0.49372441631780056,0.2265968946516692,0.42060961284401843,0.4114986221441946,0.2151680379845284,4.540700130651358,2.571245060308655,2.225517964804787,4.013951571106924,3.5561939443062776,0.15697530109571575,1.505016047865727,1.505016047865727,1.505016047865727
17,5,3,3,0.5,0.5,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,0.24434849146399898,0.36915846013734843,0.30023569536976036,0.24297059310710334,0.2232604989646469,4.222073598466947,2.6712051053068713,4.440814181846966,3.675491364539928,2.260353661784895,0.1816978426683834,1.973811025152931,1.973811025152931,1.973811025152931
18,5,3,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.24127426147990239,0.31052731513598786,0.4981697694131822,0.45894491229030915,0.24451022149037718,3.1017556148471224,3.1139522791338394,2.725222546448745,3.6307297444193622,2.7976271696852395,0.1951331713288928,1.2894610942913394,1.2894610942913394,1.2894610942913394
19,5,3,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,0.5,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.2704367345972436,0.29466351920272876,0.3036129877716868,0.3809521160264847,0.3588744369514717,3.7907300741288337,2.681221214218937,3.675498954216641,2.0629487466394183,2.7196566211133058,0.14165113893177966,1.8413070945554217,1.8413070945554217,1.8413070945554217
20,5,3,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,0.5,1.0,0.5,1.0,0.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.0,0.3645293471555293,0.24544144738427656,0.47609057980899794,0.4440210352405306,0.43954289608772346,2.035178427257873,2.267366404134971,4.008486107224765,2.662195238914314,3.647371668076001,0.10661633577601391,1.6759435597509458,1.6759435597509458,1.6759435597509458
21,5,3,3,0.25,0.0,0.25,0.75,0.0,0.775,0.325,0.55,1.0,0.1,1.0,0.0,0.5,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.47400517229023137,0.3364314798272505,0.3413466170779077,0.3320480923753086,0.45204865797429916,2.5916467547680067,4.620944438864099,2.671120938528899,3.0235534407333113,4.170570576281296,0.12470733632439648,1.6054857125536457,1.6054857125536457,1.6054857125536457
22,5,3,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.5,0.3146269675528686,0.3184599878155903,0.20982206465083247,0.40188126101722627,0.3525744943077832,4.872056168030077,2.873613466254938,4.338466046213427,4.1718114117484975,2.7468244999838864,0.12241847847856195,1.9508126645630728,1.9508126645630728,1.9508126645630728
23,5,3,3,0.5,0.5,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,1.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,1.0,0.2679760148206447,0.40002153738172586,0.3112845065820854,0.28981289549581807,0.3474744479989248,3.1685564438660534,3.548367562397294,2.867421005941312,4.683295395664985,4.952102938586034,0.10326638484636327,1.6092793864619077,1.6092793864619077,1.6092793864619077
24,5,3,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.22463567639687723,0.28476222774066445,0.44268236367695885,0.376923808795115,0.3463031865414964,4.055284637275051,2.41472751233283,4.429941393021637,4.665491201968062,3.9189188320233046,0.15134963867085816,1.479888539104449,1.479888539104449,1.479888539104449
25,5,3,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.5,0.5,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.4801357090498006,0.45384773993644467,0.24087654354384694,0.2028352466054019,0.4063216972157315,2.527781404781491,4.0343508109941695,4.777740480969582,2.492578695298044,4.867148797144141,0.10236487643152316,1.8065799487364842,1.8065799487364842,1.8065799487364842
26,5,3,3,0.25,0.0,0.25,0.5,0.0,1.0,0.325,0.55,0.775,0.1,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.37803680739916257,0.4640078711984399,0.3064416134328078,0.24796159064247347,0.41166310221137853,4.576320740589602,4.868292163514532,2.259595285400849,2.4092656349564754,3.8102211765913747,0.14223378477337767,1.8765311241974274,1.8765311241974274,1.8765311241974274
27,5,3,3,0.25,0.25,0.25,0.0,0.25,1.0,0.775,0.55,0.1,0.325,1.0,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.5,1.0,1.0,0.5,0.0,0.5,0.33154926800716533,0.24895245302263597,0.248507710133699,0.3127900231904882,0.4741482939995962,2.993879513391353,2.559412966626436,2.4797584926977607,4.469205994594345,2.5724143895514384,0.11104686539166396,1.2935974388853242,1.2935974388853242,1.2935974388853242
28,5,3,3,0.25,0.25,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.22769655930675758,0.4734283017913782,0.2388115468372702,0.2094200782940892,0.4103042022165651,4.5041981344626,4.976465734561907,3.957557532024858,3.563659381797669,4.103732086566721,0.13464632866382317,1.5749210910108848,1.5749210910108848,1.5749210910108848
29,5,3,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.2672866351192038,0.26166538639307146,0.3171805153417516,0.3540543964189315,0.34594464331459895,2.62854980168642,3.187273286072796,3.4806008318733124,2.9970557812636534,4.97022887358264,0.1264962771232365,1.76596827722727,1.76596827722727,1.76596827722727
30,5,3,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.5,0.24254884506552257,0.37620411114981644,0.4924666708022065,0.4685833465387104,0.2729268666977156,2.5846697405920627,3.6439987268379634,2.006436605737778,4.9084747285851655,4.3055136534600535,0.15592881033008618,1.820559232221869,1.820559232221869,1.820559232221869
31,5,3,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.45985980958100725,0.37026484334724924,0.38615858291778654,0.254903684229168,0.3542014638712544,4.97976371479141,3.666510379132455,2.468120753814751,2.7937152569262906,4.152636172403017,0.13609341474266645,1.6326495508453,1.6326495508453,1.6326495508453
32,5,3,3,0.5,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.2900395253025786,0.3918705950883129,0.24880127076220848,0.4369449887461479,0.45446949913372947,3.263381949721089,3.940034401846505,4.885720835931369,3.744100135607387,2.9458438321868807,0.19711176119654544,1.7399208990734358,1.7399208990734358,1.7399208990734358
33,5,3,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,0.5,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.2597299571838605,0.4522610769333839,0.3272272064761529,0.2850453656949677,0.44544730727264753,2.391905323667425,3.206184626347941,4.0689188065001005,4.936970540353242,2.0291882233637137,0.11367666451487528,1.387715907689337,1.387715907689337,1.387715907689337
34,5,3,3,0.25,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.0,0.5,1.0,0.24322156375756634,0.2592089591088906,0.3511336947834477,0.4620675604805314,0.49724640985651103,3.802493677754403,2.743403668423635,2.5358628997459443,2.501491422472614,3.2092689820282083,0.1588192142452066,1.510511143281298,1.510511143281298,1.510511143281298
35,5,3,3,0.5,0.25,0.0,0.6975,0.25,1.0,0.55,0.1,0.775,0.325,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.45229570027649113,0.4912907131681035,0.4596080132545083,0.4568841595486677,0.4123455796219293,3.660127449204148,2.1425206509798906,2.329976483870916,3.177442300153657,3.1580190965923616,0.16753502935336703,1.6398261029960892,1.6398261029960892,1.6398261029960892
36,5,3,3,0.5,0.5,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.320711137134721,0.46928704586477493,0.39785367637582647,0.3111110166863815,0.36270119863302475,4.519450901908168,3.2915376621984818,3.43016165871241,4.601035269318123,3.801044578727009,0.13148476069395018,1.388731170469867,1.388731170469867,1.388731170469867
37,5,3,3,0.5,0.5,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.2507799215065823,0.2120944129379402,0.3291778372585791,0.42129402246832065,0.44247129752368203,3.3546817754229985,2.8444096924818343,4.390478613865904,2.377582593236319,4.971683583668276,0.150470846262654,1.3830218241624335,1.3830218241624335,1.3830218241624335
38,5,3,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.4036943683595854,0.481975844746054,0.35469195508406737,0.3912920257290467,0.40476181551929746,3.991241768615592,3.7776209083788355,2.896947837447707,2.5545464007703504,2.2552762811870637,0.13209660767125966,1.9178439575762922,1.9178439575762922,1.9178439575762922
39,5,3,3,0.25,0.0,0.75,0.0,0.49500000000000005,0.775,0.325,1.0,0.1,0.55,0.5,1.0,1.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.3400942704347061,0.47486042755586333,0.22161126757262822,0.3115210218670193,0.42036801936975926,3.2183986119173578,2.109529152991204,2.0408301677989904,3.290527245755349,3.7959286653729607,0.13140432661122145,1.245665416291541,1.245665416291541,1.245665416291541
40,5,3,3,0.25,0.25,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.5,0.2705211822003482,0.26252466287767606,0.37736887802627833,0.33133346751267356,0.49877476566558027,2.401233339291381,3.329249600141847,4.118018310279983,4.754314902676722,2.5719576023712327,0.14485661504982675,1.121170718421914,1.121170718421914,1.121170718421914
41,5,3,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,0.5,1.0,1.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.2683087877423757,0.4865125734758466,0.3730521485399242,0.293085333526783,0.32921216325214564,4.052971812727362,2.3281336557677323,3.5744591425740886,4.735087980791946,4.417331319286335,0.11207534060396805,1.7841750835811,1.7841750835811,1.7841750835811
42,5,3,3,0.25,0.25,0.75,0.0,0.25,0.775,0.55,1.0,0.1,0.325,0.5,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.0,0.0,0.27517356490185974,0.49828346675082774,0.3378148192660623,0.329415858051305,0.3399160188434084,4.1614857804274195,3.3883072934325944,3.9997487912194725,2.79304492502723,3.6080473471165813,0.12047837097328806,1.7225560188290037,1.7225560188290037,1.7225560188290037
43,5,3,3,0.25,0.5,0.0,0.0,0.49500000000000005,0.775,1.0,0.325,0.1,0.55,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.0,1.0,0.4869191481824461,0.2575797492477363,0.44081129919650264,0.4739043601501983,0.3067520417780012,4.378846316999905,3.0332429481542307,2.6299327473485934,4.170265030664627,2.1149515981769498,0.1577099944147045,1.1666678059687623,1.1666678059687623,1.1666678059687623
44,5,3,3,0.25,0.0,0.5,0.0,0.49500000000000005,1.0,0.325,0.775,0.1,0.55,0.5,0.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.3713790551480147,0.27787413353348167,0.30259585850107423,0.37986926347071537,0.4011694332820358,2.352510731782644,3.893776582967038,4.188819792902242,2.9483807885232842,3.9555176766804863,0.1828544062400593,1.481053079245088,1.481053079245088,1.481053079245088
45,5,3,3,0.5,0.25,0.0,0.6975,0.25,1.0,0.55,0.1,0.775,0.325,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.4241848650036714,0.21300485832107896,0.23082407541462496,0.27451357219436817,0.41338634734340823,2.102998351954022,3.959821671308113,3.7372607374258218,2.5970120584169125,2.0348749446167282,0.14999754241954108,1.7618574943379177,1.7618574943379177,1.7618574943379177
46,5,3,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.5,0.0,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.3633870011371246,0.33812337603166265,0.2536623174332736,0.2752232358179078,0.36012981019550233,3.0548876095904522,3.2616076818670874,2.647256263275095,2.0496920304027366,2.2586553262283644,0.19439255092125687,1.8986570934749754,1.8986570934749754,1.8986570934749754
47,5,3,3,0.25,0.5,0.0,0.0,0.49500000000000005,0.775,1.0,0.325,0.1,0.55,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.4100389609653,0.29282123643071517,0.25783813417641593,0.48499665417671567,0.3409228349361525,3.409185029238609,2.4637640538171888,3.5564654006210543,4.133288712162523,2.1281064994273287,0.14252910594711243,1.092082002201165,1.092082002201165,1.092082002201165
48,5,3,3,0.5,0.0,0.9,0.25,0.49500000000000005,0.775,0.1,1.0,0.325,0.55,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.22008205970301314,0.31436105810421844,0.2498097467212242,0.38938902518823665,0.4296599076431229,4.330838071729161,3.0550098004284836,2.2542755594127204,4.038186787142792,2.8121515212989854,0.15304406716770383,1.9548842202050176,1.9548842202050176,1.9548842202050176
49,5,3,3,0.5,0.0,0.6975,0.25,0.49500000000000005,1.0,0.1,0.775,0.325,0.55,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.5,0.0,0.21754263742475333,0.4080751482975167,0.42531041377967915,0.391249410665389,0.3117417605041104,2.4887675707462447,2.213193909764564,2.3162043957879197,3.059837353293467,4.636662742953182,0.15803551260556886,1.8995270914384474,1.8995270914384474,1.8995270914384474
50,5,3,3,0.5,0.0,0.25,0.5,0.0,1.0,0.325,0.55,0.775,0.1,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,0.5,1.0,0.5,0.4311834344726965,0.3289446075118905,0.3875099046403715,0.28377291931701215,0.46916342714828346,2.0300927830643394,2.2021602637277837,4.4972947775564265,3.8264026560994395,3.715053853460039,0.15588237484109202,1.0301340433182982,1.0301340433182982,1.0301340433182982
51,5,3,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.39477351887031076,0.4116275504218812,0.3220260245137598,0.35830117525450833,0.2582597779134351,2.3985067631073855,4.751969013165197,3.322608415258258,2.3066114406948617,4.358460574101421,0.1916280521624874,1.4912852675718282,1.4912852675718282,1.4912852675718282
52,5,3,3,0.5,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.2308906546323513,0.21164070836683016,0.2555560082373228,0.32023927873939195,0.4827181882672919,4.573262600884649,3.2012702685309455,2.5197504692746966,4.484134928711002,3.0297539477079893,0.18761972498164678,1.3291964538091705,1.3291964538091705,1.3291964538091705
53,5,3,3,0.25,0.25,0.0,0.25,0.0,1.0,0.775,0.325,0.55,0.1,0.5,1.0,0.5,0.5,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.42376788984235353,0.24937027059637548,0.37935212766269477,0.4181349549918769,0.21379658574327393,3.4154222516309902,2.651091807425585,3.069738506751519,3.7655352971890075,2.818114762089288,0.1951158408429228,1.9144758842460377,1.9144758842460377,1.9144758842460377
54,5,3,3,0.0,0.25,0.5,0.75,0.0,0.325,0.55,0.775,1.0,0.1,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.0,1.0,0.5,1.0,0.0,0.37344872589339384,0.4788088895018843,0.447803637566257,0.39806556361323775,0.3378174957419924,4.572648856194839,2.545842941926958,2.293613348000637,4.418467821692532,4.441368093695817,0.11912570121084984,1.1500508910637999,1.1500508910637999,1.1500508910637999
55,5,3,3,0.5,0.25,0.0,0.6975,0.25,1.0,0.55,0.1,0.775,0.325,1.0,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.3824220457257712,0.4122001569654241,0.4111924491501692,0.4523189799814637,0.44539051977460253,3.75591502012722,2.9624495238367805,3.801941900651361,3.305785179271074,2.086066036655477,0.13301024756593505,1.4947071372813596,1.4947071372813596,1.4947071372813596
56,5,3,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,0.5,1.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.28098099496020734,0.36351215127740233,0.32350000029479814,0.45156581064033413,0.33389748171566275,2.23601366626866,3.3342150692246926,2.0186842194329517,2.754222621606244,2.343008753254625,0.15219082210111778,1.9271973831192675,1.9271973831192675,1.9271973831192675
57,5,3,3,0.25,0.5,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.4928409592066104,0.4058281305078443,0.34883362551075076,0.34077262074547654,0.2793438432694764,3.0669795948631844,2.3881476161298316,3.1846436200903754,3.842358028788369,2.113215806992315,0.10060384109838234,1.9064723621953297,1.9064723621953297,1.9064723621953297
