Instance,N,K,L,c.1,c.2,c.3,c.4,c.5,p.1,p.2,p.3,p.4,p.5,theta1.1,theta1.2,theta1.3,theta1.4,theta1.5,theta2.1,theta2.2,theta2.3,theta2.4,theta2.5,theta3.1,theta3.2,theta3.3,theta3.4,theta3.5,theta4.1,theta4.2,theta4.3,theta4.4,theta4.5,theta5.1,theta5.2,theta5.3,theta5.4,theta5.5,a.1,a.2,a.3,a.4,a.5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5
20,5,5,3,0.0,0.25,0.75,0.0,0.6975,0.325,0.55,1.0,0.1,0.775,1.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.5,1.0,0.3954169819872345,0.27602470587452305,0.38081164124649813,0.2822767576780277,0.36862452033202264,4.489293998098834,3.9684842802221887,4.5686556473740705,3.6744252313946757,4.90647751568787,0.1127878213098834,1.6080488288600416,1.6080488288600416,1.6080488288600416,1.6080488288600416,1.6080488288600416
21,5,5,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,1.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.20274810184258424,0.3752260378405539,0.4284220620503129,0.4221982711079112,0.3154971768124313,3.8765918433403654,3.4826436728442225,4.8567913437927235,3.122889123285928,3.482575855633521,0.1542812316249355,1.0477785867247236,1.0477785867247236,1.0477785867247236,1.0477785867247236,1.0477785867247236
22,5,5,3,0.25,0.5,0.0,0.0,0.49500000000000005,0.775,1.0,0.325,0.1,0.55,1.0,0.5,0.5,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.3920250715876573,0.27073252694938826,0.3767164932483621,0.46528185706323205,0.4393559495161104,3.8398377815746896,3.958064885840888,4.493431341868825,3.3556638211340104,2.2892897672906765,0.14371761061036076,1.5514544824319243,1.5514544824319243,1.5514544824319243,1.5514544824319243,1.5514544824319243
23,5,5,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,0.5,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.3765719206304424,0.28544652943052823,0.4213882887708667,0.32747502240661175,0.2537052523924496,2.7034115898073297,3.922471429420825,4.885927884282777,3.674902800438093,2.1357826205921677,0.18808097787792086,1.3934773085114414,1.3934773085114414,1.3934773085114414,1.3934773085114414,1.3934773085114414
24,5,5,3,0.0,0.25,0.75,0.0,0.6975,0.325,0.55,1.0,0.1,0.775,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.2188664626189919,0.32989441886917675,0.486621275139359,0.31538112361307075,0.4739354694214325,4.216428805847348,3.8546534791132085,2.0113060836460006,3.4651433086333467,4.6560311327491375,0.15569151073170592,1.3279192982411732,1.3279192982411732,1.3279192982411732,1.3279192982411732,1.3279192982411732
25,5,5,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.4365879979108075,0.25081582410941267,0.2043184524587447,0.4491491300941332,0.23785408142424985,4.151139330168257,4.208361552914797,4.528715310738043,3.64430985141946,2.137245932053566,0.179630106070938,1.3896615306127187,1.3896615306127187,1.3896615306127187,1.3896615306127187,1.3896615306127187
26,5,5,3,0.0,0.25,0.5,0.75,0.0,0.325,0.55,0.775,1.0,0.1,0.0,0.5,0.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.3093158546642424,0.4448790065039644,0.38638475596932853,0.39792648052335555,0.4557315613825497,3.6532181394895122,3.9538961160929875,3.9809103726817527,4.3869020934849665,4.279475094593825,0.14452353569226148,1.8610538746568586,1.8610538746568586,1.8610538746568586,1.8610538746568586,1.8610538746568586
27,5,5,3,0.25,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5,1.0,0.2788192459924628,0.48200441669192357,0.22867438961744757,0.48015091352025085,0.23350510982424125,2.405557595734984,2.3938835380069965,4.225055093358705,4.713012479567729,4.521583619177546,0.18213537784907452,1.909143251140064,1.909143251140064,1.909143251140064,1.909143251140064,1.909143251140064
28,5,5,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.4835243453056432,0.4451478021424459,0.24300122707246277,0.274185834024413,0.2689650754756107,2.953109692274827,4.2900018920324845,2.8353978269700453,3.311743870658007,4.274128814752329,0.10682374295836788,1.5265607218230723,1.5265607218230723,1.5265607218230723,1.5265607218230723,1.5265607218230723
29,5,5,3,0.5,0.25,0.0,0.6975,0.25,1.0,0.55,0.1,0.775,0.325,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.22748548252660206,0.22029515273768693,0.2664029594252011,0.4420716079201889,0.31176199692540807,2.636461022781516,4.0540802484775025,2.5693985303350173,3.8799608925031355,2.1084627535012745,0.17764813234089424,1.2432756086769747,1.2432756086769747,1.2432756086769747,1.2432756086769747,1.2432756086769747
30,5,5,3,0.5,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.5,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.45487554089104204,0.3686416779697076,0.35996403203536476,0.4308201535299079,0.4768200376740082,4.397900053270999,2.4784044620150407,2.879285380680304,3.453994864164218,3.07762190701755,0.11347664888185266,1.2374665178429445,1.2374665178429445,1.2374665178429445,1.2374665178429445,1.2374665178429445
31,5,5,3,0.5,0.0,0.25,0.5,0.0,1.0,0.325,0.55,0.775,0.1,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.3935438974437465,0.33338472970672617,0.23018619208506627,0.4571837967134917,0.24522278047616292,3.959078705539404,3.175095151599114,2.5808919500977376,3.8896541079935685,3.4669967820884504,0.15754659972257215,1.8229588729672077,1.8229588729672077,1.8229588729672077,1.8229588729672077,1.8229588729672077
32,5,5,3,0.5,0.0,0.9,0.25,0.49500000000000005,0.775,0.1,1.0,0.325,0.55,0.5,1.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.44780227801466477,0.3760872337358002,0.2238093659063542,0.20002011763463923,0.22893328888822628,4.510139114811403,2.9252708172428044,3.530772232529414,3.3763366312259486,4.3419762885041155,0.19835935009623956,1.2134080323426837,1.2134080323426837,1.2134080323426837,1.2134080323426837,1.2134080323426837
33,5,5,3,0.25,0.75,0.0,0.6975,0.25,0.55,1.0,0.1,0.775,0.325,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,1.0,0.0,0.5,0.5,0.3249841175962181,0.3361664318801757,0.4647319760065652,0.3200140399288361,0.39585136546886646,3.1845459205435818,2.808594293588409,2.398748801623673,4.322230945123807,3.7182107263080386,0.17439176960320313,1.013048888624854,1.013048888624854,1.013048888624854,1.013048888624854,1.013048888624854
34,5,5,3,0.25,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.3204807594984457,0.3782602797544753,0.4538253013239302,0.26032473603646344,0.4463883805848369,4.8142650227443475,3.4302711281431812,4.677102628950069,2.734755259652406,3.836618749606288,0.1831735070077472,1.0569419912149778,1.0569419912149778,1.0569419912149778,1.0569419912149778,1.0569419912149778
35,5,5,3,0.25,0.5,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.5,0.42327403196661495,0.37575928443091433,0.3356658683917658,0.226873698014795,0.3821293121857553,3.4375913223457237,2.144431231634398,2.8647599785838653,4.681785067323876,3.5701269536117897,0.19751574852814535,1.997465075521684,1.997465075521684,1.997465075521684,1.997465075521684,1.997465075521684
36,5,5,3,0.25,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,1.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.5,1.0,1.0,0.5,1.0,0.0,0.5,1.0,0.5,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.34743816469447797,0.2190037140868742,0.40937510697478685,0.33507744505948983,0.3897756962455602,2.075705996237681,2.968302917292938,2.681289036962764,2.1395070382937798,4.219371165057469,0.13259828834095655,1.1071798183317532,1.1071798183317532,1.1071798183317532,1.1071798183317532,1.1071798183317532
37,5,5,3,0.25,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,0.5,1.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.3005304431873781,0.2000256395239587,0.2958022385374223,0.20584759753230678,0.28637684343410846,3.6547120783376146,3.9638939887154243,3.089173931300409,2.939598704254425,2.6153185560831567,0.17853850353763018,1.2638295950174148,1.2638295950174148,1.2638295950174148,1.2638295950174148,1.2638295950174148
38,5,5,3,0.25,0.25,0.75,0.0,0.25,0.775,0.55,1.0,0.1,0.325,1.0,0.0,1.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.24456426651986077,0.3744791328135437,0.3831906791528572,0.29314736134212455,0.36111376821755836,3.2371293603985105,4.818778042142569,4.1901320822508,2.508173445002768,2.3406216399533144,0.15278592427210316,1.3557734194982503,1.3557734194982503,1.3557734194982503,1.3557734194982503,1.3557734194982503
39,5,5,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.5,0.5,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.5,0.2012305435434643,0.3690112438598734,0.30038014671924673,0.47018599085971585,0.4916718228040847,2.690952716725667,3.0600690779445334,2.8471264024472616,2.743980847582901,3.7506651031935228,0.13322997915522466,1.1054584565786336,1.1054584565786336,1.1054584565786336,1.1054584565786336,1.1054584565786336
40,5,5,3,0.25,0.5,0.0,0.25,0.0,0.775,1.0,0.325,0.55,0.1,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.24772937209452572,0.3858702941694387,0.3362927648647932,0.24771221846231886,0.3612708339809543,3.66620729890459,4.721962941721108,3.8815037596457476,4.996415071895962,2.2769881797672067,0.17615382419543252,1.4437501480602855,1.4437501480602855,1.4437501480602855,1.4437501480602855,1.4437501480602855
41,5,5,3,0.25,0.0,0.6975,0.25,0.49500000000000005,1.0,0.1,0.775,0.325,0.55,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.5,0.3238908300839415,0.2872051659746807,0.47534734078024127,0.35613434995782356,0.47155862063876186,4.105358038438387,3.71643797356793,3.794300877468088,4.2561118825286215,4.706418497416289,0.19179391739408494,1.6873066068879652,1.6873066068879652,1.6873066068879652,1.6873066068879652,1.6873066068879652
42,5,5,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.23596628601634692,0.38803786832971965,0.3256015577236244,0.21463211981991426,0.28120042145016205,3.7933444896213375,3.6488676341796786,4.301504635832513,4.78196415110593,2.7366513622297437,0.16349352655878646,1.118069932555031,1.118069932555031,1.118069932555031,1.118069932555031,1.118069932555031
43,5,5,3,0.25,0.5,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.3968853109482894,0.3507115994227021,0.26816858311261216,0.4484549354953988,0.21677853786347998,3.5075418768659663,2.8415116227228734,3.9222767362456357,4.125530070866898,3.7344385520326444,0.1398393738627776,1.203476231083461,1.203476231083461,1.203476231083461,1.203476231083461,1.203476231083461
44,5,5,3,0.75,0.0,0.6975,0.25,0.49500000000000005,1.0,0.1,0.775,0.325,0.55,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.316746838095945,0.4463240389440589,0.4741120834567578,0.46459561721970877,0.29490256799397446,4.155236329762191,2.290673494557656,2.6745524727632413,4.750881748491077,4.673899423190777,0.12976386193920533,1.2827443012114208,1.2827443012114208,1.2827443012114208,1.2827443012114208,1.2827443012114208
45,5,5,3,0.25,0.75,0.0,0.6975,0.25,0.55,1.0,0.1,0.775,0.325,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.320565824638419,0.251044232602303,0.3028791936308244,0.40464132907351213,0.2050177451364859,2.6606533669792793,3.8632295774561487,2.0586146957832576,2.058526544012568,4.84063957755613,0.1354448958627457,1.0654074735604213,1.0654074735604213,1.0654074735604213,1.0654074735604213,1.0654074735604213
