Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3
10,10,3,3,0.5074422325836978,0.3038562181122048,0.21009258376826745,0.49557556368043115,0.1793464776380005,0.6878007652363105,0.36095169082594913,0.18595564973822223,0.06342144020698968,0.17013759349124624,1.0,0.7000000000000001,0.6,0.8,0.4,0.9,0.5,0.30000000000000004,0.1,0.2,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.3002870925991492,-5.319199427470916,0.9511459097349649,0.9361726915115197,0.6696782193922256
11,10,3,3,0.37031725229144674,0.18673877827404017,0.2906497819535506,0.6705686990961152,0.20243258220212518,0.1771009994228633,0.6164799469728888,0.18225655217222558,0.09981439557610937,0.027767871871210575,0.9,0.6,0.7000000000000001,1.0,0.5,0.4,0.8,0.30000000000000004,0.2,0.1,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.5,1.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.4148731609698016,-5.108887175636666,0.8193615179491581,0.9027556542504299,0.598477941069642
12,10,3,3,0.30470954160973873,0.4385203121696451,0.17353727781173156,0.7427205528369418,0.15583055727161513,0.4827789899849575,0.21891198943425225,0.4309921110380002,0.048773035174030525,0.15025080418874315,0.8,0.9,0.6,1.0,0.4,0.7000000000000001,0.30000000000000004,0.5,0.1,0.2,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5209546489276726,-4.709488002875341,0.16002675942604508,0.13195584408565114,0.2036347677328277
13,10,3,3,0.2618230793752174,0.47632463304559103,0.7368892521888126,0.4476364921194818,0.27663030604693883,0.4130426422496462,0.22021112406362803,0.16755901289896818,0.028054183079957037,0.14476637878272633,0.8,0.9,1.0,0.7000000000000001,0.5,0.6,0.4,0.30000000000000004,0.1,0.2,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.30571212396094555,-3.7738080201867947,0.9618774580122004,1.0238033454056343,0.6615686489546174
14,10,3,3,0.317404101389801,0.3504154381568191,0.5304960892882374,0.27293916139119834,0.17987458947711443,0.15554827955874317,0.49949237186005235,0.6170030140997935,0.04162019579055107,0.1461152532795274,1.0,0.9,0.8,0.5,0.4,0.30000000000000004,0.6,0.7000000000000001,0.1,0.2,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.5071412900658989,-4.062620687853362,0.1899289539880378,0.3627483912178184,0.39917877842401894
15,10,3,3,0.2680561767451315,0.3073154800740345,0.5305331985827013,0.33474495908394386,0.11032401081802745,0.4245030811726213,0.32857944446103005,0.16097194865116715,0.045836872042475524,0.17079035360897143,1.0,0.8,0.9,0.7000000000000001,0.4,0.6,0.5,0.30000000000000004,0.1,0.2,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.19480120675630597,-3.8017345816551873,0.7938771717538899,0.7509454941531267,0.9332277329853909
16,10,3,3,0.3226339011579046,0.2124206694637386,0.3431605924377305,0.1452573126548608,0.31125721246907206,0.631470260404582,0.07772244732162797,0.2894767179645612,0.19349312284884815,0.05533952205538169,1.0,0.7000000000000001,0.8,0.5,0.6,0.9,0.2,0.4,0.30000000000000004,0.1,0.0,0.5,0.5,1.0,0.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.22431718402721187,-4.232147348807359,0.8162754657783652,0.7849427206756562,0.6785928511771268
17,10,3,3,0.2784494100682553,0.32368570773647665,0.45489738845153116,0.2960716612521543,0.2048372634812048,0.11511053042103192,0.15096776088514202,0.4695877610275551,0.13464258684648228,0.0423382741614686,1.0,0.8,0.9,0.7000000000000001,0.5,0.4,0.30000000000000004,0.6,0.2,0.1,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.2732695130581106,-4.324300246530588,0.4911678469763196,0.5239304513136024,0.6393632649224216
18,10,3,3,0.3924178362981394,0.6524071300118837,0.3297374958574815,0.28216754365365143,0.11027359154705624,0.5485478624300283,0.2593227082063942,0.6850901885809928,0.157287460003739,0.07609964722154852,0.9,1.0,0.6,0.5,0.30000000000000004,0.7000000000000001,0.4,0.8,0.2,0.1,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.6089174371084453,-4.836914158831681,0.8830819972800575,0.8166779826820649,0.956630527961406
19,10,3,3,0.23918797077054066,0.4865775473091245,0.3556379386313627,0.17560670388325875,0.5362202162178195,0.14289010765341167,0.7762541503845737,0.3835920058273441,0.09906974069744577,0.05845694157054315,0.8,1.0,0.6,0.4,0.7000000000000001,0.30000000000000004,0.9,0.5,0.2,0.1,1.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.42207587264674024,-4.720327978888164,0.32013599643589424,0.2889404192374893,0.39529818493653035
20,10,3,3,0.4612043104998116,0.446299818651611,0.474649155445496,0.29336810195323487,0.459042201289303,0.17263721498178775,0.5801117919129557,0.31180386412574723,0.03156015918238833,0.1770730476249631,1.0,0.9,0.8,0.5,0.6,0.30000000000000004,0.7000000000000001,0.4,0.1,0.2,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5408137580519183,-4.3725112964204005,0.4431060281173834,0.38311293823964254,0.2517189110717529
21,10,3,3,0.2740292329747034,0.17527942284104392,0.41024502058965207,0.6376544672412884,0.37442302758765905,0.16900274737957097,0.3260084072874785,0.0657914988691421,0.2283304638324959,0.05503653226967477,0.9,0.6,0.8,1.0,0.7000000000000001,0.4,0.5,0.2,0.30000000000000004,0.1,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.09804775817794137,-4.016079357238952,0.5543149971035041,0.924494772805691,0.9011632261197818
22,10,3,3,0.3013142588841282,0.419453030095087,0.636066147868771,0.2360966137699576,0.337220654642199,0.15900224335872132,0.8392982373215458,0.20979765926868055,0.14168015439817871,0.07677999730024329,0.7000000000000001,0.8,0.9,0.5,0.6,0.4,1.0,0.30000000000000004,0.2,0.1,1.0,0.5,1.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.5,0.5,0.4976477625099107,-4.616922646406659,0.6155176052878705,0.6856546625521136,0.5387889838442149
23,10,3,3,0.3191851557467241,0.6939810216512932,0.14602423641551066,0.39518659280639457,0.7006662698959945,0.5263480354483041,0.08690847365828476,0.39811337695392657,0.22017285266961156,0.03493542642982711,0.8,1.0,0.4,0.6,0.9,0.7000000000000001,0.2,0.5,0.30000000000000004,0.1,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.42446484978400234,-4.239166973842773,0.44491308141985203,0.543056173308729,0.7281621191625646
24,10,3,3,0.1584825641477562,0.1401307603273409,0.5059335768356767,0.6465456799308708,0.16345404367209654,0.5100374035050885,0.8536503148430366,0.03480283281429669,0.25724856072853103,0.1703970133785729,0.6,0.5,0.8,0.9,0.4,0.7000000000000001,1.0,0.1,0.30000000000000004,0.2,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.8707840796046125,-4.6982172448691815,0.17838934766808778,0.20939490502437966,0.3274117334334878
25,10,3,3,0.3467970221532901,0.4648542560695699,0.43498404374623933,0.1827607522125584,0.8807028224003338,0.23653730911330045,0.5382357184592875,0.14514128660578138,0.4465172695938678,0.07186460084244248,0.8,0.9,0.7000000000000001,0.4,1.0,0.30000000000000004,0.6,0.2,0.5,0.1,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,0.5927625257385709,-4.709254052605143,0.9263597232875225,0.8696116775507656,0.9143445976214407
26,10,3,3,0.2013111613332823,0.548802803691317,0.15899232407737607,0.4777668462332363,0.12249278801161201,0.14916379368450086,0.8785982744541313,0.5075252157158181,0.11947045157243195,0.06407804875250227,0.7000000000000001,0.9,0.5,0.8,0.4,0.30000000000000004,1.0,0.6,0.2,0.1,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.11844512897500595,-4.23157767115016,0.53860706159827,0.48199937588467245,0.6745535803782571
27,10,3,3,0.3272505031431906,0.5711768295718656,0.20362259125342153,0.41512457224806604,0.19427233802434885,0.3949963196390078,0.7717379188922568,0.10099291200967207,0.21245705698694142,0.06921350484679305,0.8,1.0,0.5,0.7000000000000001,0.4,0.6,0.9,0.2,0.30000000000000004,0.1,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20353466436692652,-4.634422391698424,0.7935913868175233,0.6721840772896301,0.7053226242031511
28,10,3,3,0.2959015536480232,0.5086127203962345,0.1378259076033257,0.09471632998571483,0.4036962004533369,0.2308112891667217,0.6882132137985636,0.09462480197075845,0.6211066599031616,0.044694984914181786,0.9,1.0,0.5,0.30000000000000004,0.6,0.4,0.8,0.2,0.7000000000000001,0.1,1.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5815542476816257,-5.49422740215837,0.49268232676075746,0.3449132189956283,0.4414871524517542
29,10,3,3,0.24488611661493243,0.3584673183378143,0.49570026411954526,0.14588133639951217,0.34869121912562256,0.1756713599826053,0.835037369262317,0.16129539474555787,0.07941684848549696,0.03965484628232986,0.7000000000000001,0.8,0.9,0.5,0.6,0.4,1.0,0.30000000000000004,0.2,0.1,0.5,0.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4940419794077766,-4.102101076583985,0.9774401135759019,0.8919719197977692,0.9539916647205898
30,10,3,3,0.3104949474783868,0.4508460359919568,0.701438880542989,0.3591757357865139,0.46751966643116544,0.18390356234931704,0.09572009982994194,0.39996287331357333,0.21031165445278854,0.0803820291488535,0.8,0.9,1.0,0.6,0.7000000000000001,0.4,0.2,0.5,0.30000000000000004,0.1,1.0,0.5,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.34582380473081353,-4.216673385350386,-0.027853691001745184,0.4323188961352053,0.3795563227334908
31,10,3,3,0.12865504990810905,0.5473132396627411,0.7812959266118317,0.09819007123081255,0.07659947646660642,0.7987579179159127,0.6022232892159455,0.30529850115699975,0.5177334231936455,0.032897808565410955,0.5,0.8,1.0,0.30000000000000004,0.2,0.9,0.7000000000000001,0.4,0.6,0.1,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.7099735955946644,-4.767461133997409,0.3653962178247043,0.06365629565138763,0.2410644024395549
32,10,3,3,0.2795791684370713,0.4092317383155796,0.21791989580793047,0.15774516664627783,0.15588892555256423,0.8910539714125514,0.09308776757264374,0.6147630743228384,0.4307558144899889,0.08285597289317037,0.9,0.8,0.6,0.4,0.30000000000000004,1.0,0.2,0.7000000000000001,0.5,0.1,0.0,0.5,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.42317310306532074,-4.798937923129425,0.4030242537753177,0.37948012279434845,0.33664994059485603
33,10,3,3,0.3435428797493667,0.31409286709794415,0.45711075831541015,0.6651061264871352,0.27890603720045676,0.24878072175018634,0.09707405844206374,0.11613946377794851,0.02747640068456607,0.33344283262050667,0.9,0.7000000000000001,0.8,1.0,0.6,0.5,0.30000000000000004,0.2,0.1,0.4,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5196170447279576,-4.412257301067942,0.47874715504926385,0.34872384693051567,0.5123753264497733
34,10,3,3,0.4019646791221168,0.25893922036657135,0.6156293933888355,0.4273078513968505,0.3191516041440449,0.23131838646881736,0.12382409423750651,0.27463307568840467,0.03454324917621357,0.15817020568300952,0.9,0.7000000000000001,1.0,0.8,0.6,0.5,0.30000000000000004,0.4,0.1,0.2,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,1.0,0.0,0.4768628264939557,-4.28241405499831,0.7779403944840192,0.8469364813055201,0.8750732180130818
35,10,3,3,0.23147089512361574,0.37112168700458126,0.43932663740586914,0.5615220934349211,0.30894419775692233,0.43658241444946316,0.2431670039960249,0.1323308151475002,0.2394872276839416,0.0847161786121751,0.9,1.0,0.7000000000000001,0.8,0.5,0.6,0.4,0.2,0.30000000000000004,0.1,1.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5621302434346935,-3.9680774185307333,0.37008220211533677,0.11635817660328249,0.050287647015688657
36,10,3,3,0.22726940206591628,0.2413371732106384,0.18626109281144543,0.7385195260507811,0.15301314256603799,0.4839821160680629,0.44967349955933483,0.09668384088122367,0.05626108263729493,0.2644833797529588,0.9,0.8,0.5,1.0,0.4,0.7000000000000001,0.6,0.2,0.1,0.30000000000000004,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.46607737647929504,-4.732947319209052,0.733946924576436,0.6086850640876798,0.6586350155604846
37,10,3,3,0.28858618298639693,0.27434282585863745,0.41797461627012056,0.14397282213738494,0.571762130643475,0.11815352217151948,0.3875381208843419,0.11648284219836197,0.0787972952572451,0.029775038381379626,1.0,0.7000000000000001,0.8,0.5,0.9,0.4,0.6,0.30000000000000004,0.2,0.1,1.0,0.5,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.4016024552828003,-4.886388211527011,0.5004302812245393,0.5638742046715978,0.41210942672749334
38,10,3,3,0.41333177231753915,0.25123967761134414,0.36328451873378287,0.2829031085433506,0.19412667829131047,0.4358553296965927,0.19789505995527917,0.10625723689802122,0.0644876957804501,0.06962599181518335,1.0,0.8,0.9,0.6,0.5,0.7000000000000001,0.4,0.30000000000000004,0.2,0.1,0.5,1.0,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.5949571964224155,-4.394005472641501,0.6910333623457781,0.6197276226597085,0.7025233214109106
39,10,3,3,0.23827390819495298,0.3512800312465434,0.6768951969347077,0.7280174899594483,0.16272487747513326,0.28556581093081884,0.08860311409692705,0.395396293831772,0.7138257505988103,0.05764091648486074,0.6,0.7000000000000001,1.0,0.9,0.30000000000000004,0.4,0.2,0.5,0.8,0.1,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.0,0.0,1.0,0.5,0.5,0.6496027155755707,-5.371733305113096,0.1415524747756654,0.14614435794988478,0.1574189864769095
40,10,3,3,0.4171489743836438,0.5787542827532179,0.399163937994603,0.34966242416565874,0.13523274206274358,0.05590798989768947,0.41324374266935576,0.6250767392293034,0.33450514540043996,0.07139040714000351,0.9,1.0,0.8,0.6,0.30000000000000004,0.2,0.5,0.7000000000000001,0.4,0.1,0.5,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,1.0,0.5,1.0,0.7986302246201776,-5.29214575769946,0.42259215001377015,0.49405085490696754,0.507248420687888
41,10,3,3,0.1955746435407002,0.1623424145608076,0.47637695776816535,0.37663894083240607,0.7920078789391445,0.19519818001656064,0.7736328385372521,0.10886995534280092,0.24834705434886828,0.07354112966023786,0.6,0.5,0.8,0.7000000000000001,1.0,0.4,0.9,0.2,0.30000000000000004,0.1,0.5,0.5,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.5,0.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.7093569747165754,-5.07860706451927,0.743255798850776,0.5898225121324986,0.6564077557861734
