Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3,beta_theta4,beta_theta5
11,5,5,3,0.3090102711843541,0.32713345741938904,0.359912760284503,0.27959590662894424,0.0666016510309712,1.0,0.775,0.55,0.325,0.1,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.5,1.0,0.33731587033579236,-4.172791176470643,0.5786978161811854,0.6989569932851912,0.7702383557811543,0.7223486043597814,0.7737023462495042
12,5,5,3,0.3807322155123233,0.31624992921454775,0.20550373110806458,0.6555790006259189,0.037476024910140654,1.0,0.55,0.325,0.775,0.1,0.0,1.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.12591552389438002,-4.659587628847738,0.5046514514128337,0.5270512192775905,0.33506795963486286,0.5819619313801497,0.5616559361130756
13,5,5,3,0.2895943128228337,0.23842537752449133,0.6887307097687831,0.18606966739566122,0.04284268544473627,0.775,0.55,1.0,0.325,0.1,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.3063319942228869,-5.305444373788014,0.43815938300838997,0.3632943169199302,0.1761674613035977,0.4811302831992841,0.45370041805754413
14,5,5,3,0.6916736679730816,0.5563897572863785,0.4343636181847188,0.21876627508151048,0.04975545909522432,1.0,0.775,0.55,0.325,0.1,0.5,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.3275820609318899,-4.23442376473252,0.283338682356481,0.10009306411745265,0.2079553533689712,0.2555068660740037,-0.009606354554002718
15,5,5,3,0.679790828920028,0.5277081550992273,0.1273820739148513,0.4868360887084958,0.04369268122109882,1.0,0.775,0.325,0.55,0.1,0.5,0.0,1.0,0.5,0.5,0.0,0.5,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.32820578100245573,-4.107750414357106,0.15029846996473734,0.6255416619794276,-0.0007218347670278018,0.2224283947712543,0.387460011372929
16,5,5,3,0.35028778395853366,0.267571727605748,0.10871073216777594,0.42558842388767554,0.08742619144190301,1.0,0.775,0.325,0.55,0.1,0.5,0.0,0.0,0.5,1.0,1.0,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.27795787617097756,-3.810737319991327,0.3080215131390503,0.23038774500465756,0.3713950051976965,0.1553941938027284,0.20593293945948962
17,5,5,3,0.4033017310821407,0.21855619812689608,0.8769840298063163,0.2643151155240523,0.07461735574288493,0.775,0.55,1.0,0.325,0.1,0.0,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,0.28024559396552706,-4.242132927201154,0.7935775273837355,0.6699468545786819,0.7278468061299532,0.7398789594359,0.655330350776121
18,5,5,3,0.38055822297559194,0.7026740157020241,0.20794383552459814,0.48426650206820193,0.04321254048766582,0.775,1.0,0.325,0.55,0.1,0.0,0.5,0.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.021159705002441243,-4.32217609290087,0.9635611062000038,0.9169273286816614,0.9076143893244912,0.8591437058411049,1.0349681319364927
19,5,5,3,0.4516847652034016,0.6447324037805565,0.2502799317487489,0.4847321527679034,0.050011903140247865,1.0,0.775,0.325,0.55,0.1,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.2374802399798305,-3.943754143161157,0.8592418279279475,0.7134950374391742,0.856520010923166,0.7585769239663815,0.7692058357027648
20,5,5,3,0.5939536007775601,0.4250572852747746,0.19188076951240957,0.4946112273063285,0.04936842257804844,1.0,0.775,0.325,0.55,0.1,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.5,1.0,1.0,0.21130746427711758,-4.366578099653375,1.0118458148418303,1.0331388379569533,0.7431259757153609,0.7730070431487148,0.803673732346654
21,5,5,3,0.24953405064508838,0.5891090286381844,0.21764731823995426,0.15525955913455494,0.055158347980360414,0.775,1.0,0.55,0.325,0.1,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.5,1.0,0.047831775779555545,-4.209306035915363,1.0529252066809982,0.7265825862368155,0.9188174126553954,0.7833234681424809,0.6770439766844071
22,5,5,3,0.6927381866982723,0.5382979895362441,0.1269653969583747,0.4346792190651331,0.05114399309505429,1.0,0.775,0.325,0.55,0.1,0.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,1.0,0.0,0.5,0.0,0.4653401322784183,-4.426648463545564,0.6629115258238515,0.6881354705035939,0.5895733904517445,0.6681145247741007,0.6874731158647654
23,5,5,3,0.5726247408048009,0.3232410319027206,0.6325206200115895,0.2744584457661613,0.07843966145104142,1.0,0.55,0.775,0.325,0.1,0.0,0.0,0.5,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3196871017104563,-3.6896477013977624,0.1065633926165231,0.0723509283749036,0.4592220416848423,0.2779967614826084,0.28320452801987744
24,5,5,3,0.5268301137156928,0.33315543108298196,0.7898329742932091,0.13456490285993253,0.07992259540592112,0.775,0.55,1.0,0.325,0.1,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,1.0,0.5,1.0,0.5,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5464725827060359,-3.9849450617567155,0.721526626218474,0.4689308841776234,0.5549150456946081,0.34050842510534995,0.4237415177819745
25,5,5,3,0.4849372642249512,0.3789154211254995,0.32703455049095675,0.12679679907405966,0.07379106217196323,1.0,0.775,0.55,0.325,0.1,0.5,0.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.4513322777434395,-4.550190732206769,0.7539055119566948,0.6066019830750701,0.6597204507782252,0.5783524494325919,0.4615081861591994
26,5,5,3,0.36320853708639445,0.4459362397032935,0.39559412181227,0.21011382613844481,0.0424393427543889,1.0,0.775,0.55,0.325,0.1,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.3317434663764517,-4.6913527747618256,0.1724396377430288,0.19578861525104055,0.2598785460141086,0.1887469928368678,0.30645210927996963
27,5,5,3,0.406998940187441,0.24415051465962545,0.24294781507708374,0.14262127598624674,0.08138552503320437,1.0,0.775,0.55,0.325,0.1,0.0,0.5,0.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0013968049512178584,-3.7645793306356503,0.906812624767951,0.6814592492737547,0.728221900715592,0.8124411260847542,0.7846120520874457
28,5,5,3,0.27913643856792825,0.25692778535582644,0.1693956560326935,0.6414558751704681,0.040063416281265536,1.0,0.55,0.325,0.775,0.1,1.0,0.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.6721155220884907,-4.0203767893260345,0.6145876614982125,0.47841830524632845,0.22644649268941375,0.29531629320443975,0.19343026438850602
29,5,5,3,0.4492465821573549,0.22956933653427558,0.5156192541490797,0.034483587706752444,0.28333430591486514,1.0,0.55,0.775,0.1,0.325,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5732905376632539,-4.301366650875996,0.34264864100444525,0.33539669106392145,0.248926600509949,0.0791637176762942,0.3135159638653914
30,5,5,3,0.23541720027330548,0.13803482764579,0.6371310566481541,0.13981736362759004,0.07726222800807692,0.775,0.55,1.0,0.325,0.1,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.19885892469651714,-4.987172574223529,0.7190654413047827,0.604505791379025,0.5667331613319012,0.7126919780904618,0.7744347995078689
31,5,5,3,0.46234910919207484,0.20375247339820923,0.10130867304403024,0.6815026221178727,0.04148838132291447,1.0,0.55,0.325,0.775,0.1,1.0,0.5,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,1.0,0.23599325191709716,-4.176414615214531,0.7102617587853529,0.4786537597861624,0.6483234052557283,0.5302015431132628,0.6873541881874835
32,5,5,3,0.5039927726590856,0.8110612050653605,0.41778478303501126,0.22083967058946027,0.08678651644147106,0.775,1.0,0.55,0.325,0.1,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,0.5,0.5,0.0,0.033638258862097724,-4.632321017833463,0.9566921072074583,0.7410690858979581,0.6763106482456225,0.9476145725262978,1.0494236732735487
33,5,5,3,0.6646950057556194,0.5433667820001866,0.14908944727017623,0.418843110890008,0.060143327545727446,1.0,0.775,0.325,0.55,0.1,1.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5,0.0,0.5,1.0,0.0,0.5,0.3492759356214485,-4.040936531624112,0.08868807160322402,0.20504053807780248,0.10586705935720048,0.31610441369534203,0.10209221590485285
34,5,5,3,0.40624593910921536,0.2591600467373414,0.1055656900909287,0.35586854175324084,0.08994851984389844,1.0,0.775,0.325,0.55,0.1,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.26187613348661604,-3.8424011816010135,0.7112703528593484,0.797455917716305,0.6877514840123895,0.7108358836079505,0.7270178845116425
35,5,5,3,0.6389306964902943,0.14874763219554024,0.665378709084819,0.48625336374521444,0.03720113121334688,1.0,0.325,0.775,0.55,0.1,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.08169497766568966,-4.170297647767749,0.6166178410574495,0.8759371917134731,0.6988834835365231,0.6473953090496728,0.7557979969775107
36,5,5,3,0.4863086534254579,0.42578205356748833,0.22629512700927013,0.2292465043509696,0.05956497822027811,1.0,0.775,0.55,0.325,0.1,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.5379660974218947,-3.79800245068059,0.1892039997147539,-0.061879132752750594,0.15495477052479942,0.08073909494385892,0.03715720172031584
37,5,5,3,0.31694098797733683,0.22475113742194314,0.1217151181531973,0.8491176251387113,0.0342783157427302,0.775,0.55,0.325,1.0,0.1,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.6886206108906803,-3.990932268854311,0.5265609918403108,0.7269514253374252,0.5521910581901243,0.7060278582359595,0.6509829610062499
38,5,5,3,0.25162573877339156,0.40449562103492387,0.19552311217151241,0.2570798805221466,0.08566285067830992,1.0,0.775,0.55,0.325,0.1,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5537000585952686,-4.057430059813535,0.4728514485447922,0.26252769023837647,0.40251607854196747,0.22783023735261201,0.36089868632289296
39,5,5,3,0.6405775219099771,0.19888943793089242,0.5817154125662292,0.14449461871843208,0.07461782348867219,1.0,0.55,0.775,0.325,0.1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.2569957041934128,-4.096276400647439,0.375919606315513,0.6430456576153257,0.5748878973539062,0.47569823455589993,0.8397478650261205
40,5,5,3,0.3913636040948084,0.400525667390706,0.2494373366028112,0.13182527780809197,0.027622178032513323,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5690738790931681,-3.7335853832406123,0.5373924767488544,0.7956222741177761,0.5923980193712238,0.7984514843932294,0.5822680070572716
41,5,5,3,0.25704010898197927,0.6062870245466007,0.19936964866749785,0.1738206659838838,0.03259944120537822,0.775,1.0,0.55,0.325,0.1,0.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.5,1.0,0.23414804260815789,-3.76040988291039,0.7401719817966185,0.7209442510699869,0.8155118745636802,0.9189281269084345,0.706548911627377
42,5,5,3,0.5253873074628091,0.41143563227467134,0.2664588510726446,0.25061731737905996,0.03276042358974471,1.0,0.775,0.55,0.325,0.1,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.7514283716739663,-4.1898717629456765,0.19152394639937947,-0.05217358863070939,-0.06977343867714457,0.09003210631481942,0.13659432902234514
43,5,5,3,0.19723349671152846,0.4758636255782792,0.7169361886844953,0.09791366057111256,0.05380803999901305,0.55,0.775,1.0,0.325,0.1,0.0,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.4394882972125253,-4.387823429668387,0.23833240779606804,0.28130353637805405,0.1996137544796603,0.07623552311560655,0.3286273623558422
44,5,5,3,0.26728403725827277,0.36499524370316305,0.14432670182314156,0.8793011958795269,0.04813970094780173,0.775,0.55,0.325,1.0,0.1,0.0,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.6483079965798623,-4.8970916025780715,0.1605487388690893,0.28477199725450636,0.3796732061411366,0.19146513409021518,0.19409139161028205
45,5,5,3,0.5470152911699349,0.14030169575847018,0.3974193101395271,0.2071158095677246,0.035218512952992886,1.0,0.55,0.775,0.325,0.1,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.638198810042087,-4.062347706134629,0.04753081740327674,0.009665938682945132,0.038437059594860046,0.18205032137716537,0.24305311033285756
46,5,5,3,0.5836835347663947,0.23029169125953075,0.5036319425574708,0.18811805869201434,0.08342945278988108,1.0,0.55,0.775,0.325,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.705603808634748,-4.471673971478773,0.43374938183286926,0.47573597788277017,0.4176499869812847,0.43027653962160234,0.45853450676392343
47,5,5,3,0.28702208247127625,0.2513277586932372,0.4804711200248502,0.19646947807345705,0.06606012389073353,1.0,0.55,0.775,0.325,0.1,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5249057958203678,-4.95406111461571,0.42309135102783363,0.4008912873843799,0.2739680796513973,0.5467968804776616,0.7982650272846767
48,5,5,3,0.3257105347995326,0.2779670474169993,0.2439518052455849,0.4921006009286503,0.04600769988829482,1.0,0.775,0.325,0.55,0.1,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.3170752072929357,-4.454447939561143,0.18435680793887396,0.6098646995963731,0.26975229288237895,0.6751902935463098,0.3255765226698236
49,5,5,3,0.4178826905737858,0.0853459644553124,0.34838095718370177,0.5864514050692602,0.07814688995653056,1.0,0.325,0.55,0.775,0.1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.4652276530604445,-4.499278962200509,0.3198223579589172,0.2261353407352754,0.4880063228056517,0.23936986255688494,-0.024089485792819526
50,5,5,3,0.1499274019854664,0.657774611475286,0.08135519964039861,0.598174568146571,0.052646146818365616,0.55,1.0,0.325,0.775,0.1,1.0,0.5,0.5,1.0,1.0,0.0,0.5,1.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.054725121479632495,-4.73573265460003,0.5177021774984027,0.5393430320739974,0.48883949467297927,0.3611512337005643,0.8275049574736375
51,5,5,3,0.7137220765274637,0.3508368010674945,0.16807150808707128,0.6373993523734942,0.04887733979398093,1.0,0.55,0.325,0.775,0.1,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.3188211527045281,-4.810018453543915,0.7540871083929285,0.8041682494012887,0.9198755263334006,0.8975958186792383,0.6974694989444672
52,5,5,3,0.39842095673910866,0.7049005965884354,0.2976329653274605,0.23537506772679243,0.05923781472391998,0.775,1.0,0.55,0.325,0.1,1.0,0.5,0.0,0.5,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.2155936420249764,-3.970391219025954,0.8501083425309329,1.0095766323322561,0.8495590188705908,0.7814797988675065,0.8387848293909412
53,5,5,3,0.26294812687391633,0.5585767136520343,0.31509170600152453,0.10732994290819653,0.08242701030066174,0.775,1.0,0.55,0.325,0.1,0.0,1.0,0.0,1.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,0.3587796533556743,-3.9694511583634755,0.2000161401667134,0.245016625046807,0.5388179224652002,0.17421951658515197,0.33908235955727584
54,5,5,3,0.33092793070405324,0.1655038179737952,0.8454750592245588,0.6922919403136695,0.025203624716585882,0.55,0.325,1.0,0.775,0.1,0.0,0.0,0.5,1.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.2852158257815571,-4.738014802595123,0.5762411316185435,0.7690203642191783,0.5289967681309016,0.49220831378117313,0.5831152475972973
55,5,5,3,0.16974507160574195,0.3987372464260028,0.6377747801722891,0.8699369146789837,0.026806344748836114,0.325,0.55,0.775,1.0,0.1,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.1543386942626315,-3.465842517095431,0.7901729041422402,0.8134634691177707,0.955496648087755,1.1381259700630912,0.8989453476417486
56,5,5,3,0.46844428111931535,0.2233362549570997,0.570632767958086,0.14870934103451885,0.04399128215309856,1.0,0.55,0.775,0.325,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.0,1.0,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.28615952480505047,-3.970933784547486,0.40433803881502306,0.4144905606927693,0.587159102829509,0.3081462843002115,0.4442161389321035
