Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,beta_0,beta_p,beta_theta1
17,10,1,3,0.5922273304090901,0.536301295506905,0.33924059516025845,0.18246558428567855,0.14723272445062835,0.5508192736628941,0.3533594084441921,0.17096611853448065,0.12167315307467562,0.0705871631634288,1.0,0.9,0.7000000000000001,0.5,0.4,0.8,0.6,0.30000000000000004,0.2,0.1,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.6139952425239362,-5.029378298425284,0.2489076755340821
18,10,1,3,0.28955797492653357,0.19641281366667385,0.5350049533809101,0.5620527463447571,0.3042679006334544,0.8401207718729464,0.16552223668011556,0.32608598679559275,0.15645123818889356,0.05915657022901799,0.7000000000000001,0.6,0.9,0.8,0.5,1.0,0.30000000000000004,0.4,0.2,0.1,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5188761311779054,-4.956194487031853,0.8868345727780333
19,10,1,3,0.407488656674756,0.23004047836442754,0.2688619920022673,0.41258195451856483,0.1417452665721935,0.3201052485650139,0.7734909306814577,0.22268819142186402,0.14199554769644235,0.06053668510252881,1.0,0.8,0.6,0.7000000000000001,0.4,0.5,0.9,0.30000000000000004,0.2,0.1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.33384910857443595,-4.300281840560823,0.2622820344465147
20,10,1,3,0.33047638651239075,0.15046224136296626,0.1296134674615011,0.702365502933658,0.4174016454930919,0.5799896932013375,0.3225113971632412,0.22662670705485283,0.03098493461830254,0.17184320221519647,0.9,0.6,0.5,1.0,0.7000000000000001,0.8,0.4,0.30000000000000004,0.1,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.6959032062664235,-4.555061023302361,0.40370938336837486
21,10,1,3,0.3460874380863127,0.1580004467761395,0.5990610364696278,0.4470763450656044,0.3549708051342117,0.16141865331479727,0.09806818518104282,0.0912636399133505,0.3256025048046244,0.04962222645965201,0.9,0.6,1.0,0.8,0.7000000000000001,0.5,0.30000000000000004,0.2,0.4,0.1,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.4315718964595666,-4.299582151751653,0.465055528909011
22,10,1,3,0.2618399972158426,0.6579499257786878,0.27568581490905614,0.43539790222814273,0.14309175817675746,0.5738477039590498,0.055089745032395,0.36398543702072583,0.17035415438549759,0.08471372792493959,0.9,1.0,0.6,0.7000000000000001,0.4,0.8,0.2,0.5,0.30000000000000004,0.1,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,0.5,0.4641623869822292,-4.067337148937413,0.24811793588994224
23,10,1,3,0.17526700662190542,0.3754802170988166,0.19985207596535798,0.6716298918853902,0.5297404398837848,0.20315378125951497,0.07763185337470094,0.042204015736696694,0.4422108991814597,0.2475970953797789,0.7000000000000001,0.9,0.6,1.0,0.8,0.4,0.2,0.1,0.5,0.30000000000000004,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.6966124715381121,-4.876307233951125,0.5298830840702411
24,10,1,3,0.3966357611743846,0.29275189667886087,0.5239206665807549,0.2482535411579041,0.2801048328665219,0.6066606562664167,0.17349445140587913,0.11951286703425477,0.32733033758745717,0.05526064904472061,1.0,0.7000000000000001,0.9,0.6,0.5,0.8,0.30000000000000004,0.2,0.4,0.1,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,0.4124275202476232,-4.533723441280747,0.7908199800438579
25,10,1,3,0.2632476619466295,0.29298296512531513,0.22417651507865954,0.6427898430221023,0.34665507338118556,0.5928159883546297,0.13494933074378912,0.294414099759887,0.05867960508522599,0.17065103193118702,1.0,0.7000000000000001,0.5,0.9,0.6,0.8,0.30000000000000004,0.4,0.1,0.2,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8539317338555433,-4.898923126792855,0.6926644846666815
26,10,1,3,0.2343669160252505,0.4821063477357437,0.48520004927947297,0.2302173621784036,0.7756514421760419,0.3894166775909436,0.22333375312140213,0.5268180572864163,0.1746739906325529,0.07851345852588294,0.8,1.0,0.7000000000000001,0.4,0.9,0.5,0.30000000000000004,0.6,0.2,0.1,0.5,1.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.5109851202743606,-3.9202724743106097,-0.004139283609423345
27,10,1,3,0.18905043418744738,0.5272431713283283,0.5349209591745909,0.33630673752941304,0.22127176810347066,0.692803763186698,0.4107689934950322,0.1409084963808676,0.2682203622224634,0.0853998244990507,0.7000000000000001,1.0,0.9,0.6,0.4,0.8,0.5,0.2,0.30000000000000004,0.1,1.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.41496343489691173,-4.424941739046363,0.9222749418950243
28,10,1,3,0.33992069369465727,0.32783443766965475,0.2702884883920999,0.38843470545457587,0.8117069049448454,0.3158582359641656,0.2757983394479792,0.17982737192114273,0.12714366786052492,0.0387881870268388,0.9,0.8,0.7000000000000001,0.6,1.0,0.5,0.4,0.30000000000000004,0.2,0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5084594243381242,-4.898964934219426,0.2683751530278729
29,10,1,3,0.2660155474326339,0.3011718413278551,0.5532883307793024,0.20104231329168598,0.18294766048472583,0.504443682124817,0.27638068767408525,0.1843933531356645,0.03732690494662827,0.17926848009842222,0.9,0.8,1.0,0.6,0.5,0.7000000000000001,0.4,0.30000000000000004,0.1,0.2,0.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5538132304742805,-3.377371497185835,0.2718076530380479
30,10,1,3,0.30251419392315787,0.6647274862801472,0.40000590923985724,0.6484087966139571,0.29937759031732325,0.4013124119401357,0.21798237893274097,0.1325965030975061,0.09418494752968312,0.08262556605958667,0.8,1.0,0.7000000000000001,0.9,0.5,0.6,0.4,0.30000000000000004,0.2,0.1,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5242665406912277,-4.736410638771477,0.962213298556628
31,10,1,3,0.5976538486397298,0.10761845201587039,0.41412553167159205,0.5316162377995738,0.4510870029861085,0.8956775067295197,0.22712966652719144,0.1273455210541124,0.4388126656183097,0.08109697749682276,0.9,0.4,0.7000000000000001,0.8,0.6,1.0,0.30000000000000004,0.2,0.5,0.1,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.5795351522545056,-4.402981603470318,0.4483874885050416
32,10,1,3,0.3238517487513638,0.5049169029595029,0.1908289281612343,0.2936547563469259,0.24480203087916796,0.5776384052771152,0.20144531193163678,0.30476191230893407,0.035870727650018905,0.1377809169129173,0.9,1.0,0.6,0.7000000000000001,0.5,0.8,0.30000000000000004,0.4,0.1,0.2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5743773956232725,-4.645195007718734,0.07076359413833117
33,10,1,3,0.40487245877339406,0.3168244384851123,0.25999011087690105,0.18694786613427317,0.15364874295608516,0.38759194497324917,0.26228030621306936,0.13472857408586353,0.250580139944729,0.08563713306892129,1.0,0.9,0.8,0.7000000000000001,0.5,0.6,0.4,0.2,0.30000000000000004,0.1,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,0.5,0.5799793873619672,-4.5854277723017045,0.5046407244517263
34,10,1,3,0.3994114983150563,0.388709577050255,0.19909790118587467,0.5085682163798325,0.5464444495925173,0.3493196255501602,0.16733270582004764,0.2967732038000073,0.11241097565894123,0.060031384010213976,1.0,0.9,0.6,0.8,0.7000000000000001,0.5,0.30000000000000004,0.4,0.2,0.1,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.4534042619826239,-4.049797501983909,0.3371047960207996
35,10,1,3,0.3010640225265061,0.3427789022488885,0.2855487621809689,0.15355254112326555,0.1610248670674504,0.8426476766264012,0.4519352895414464,0.12275694487525535,0.04844480164894299,0.2622146701558161,0.9,0.8,0.7000000000000001,0.5,0.4,1.0,0.6,0.2,0.1,0.30000000000000004,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.6535351658404484,-5.201795906953195,0.10703623891328579
36,10,1,3,0.1377847095861866,0.5865144778605045,0.1397858317956467,0.5585721602089896,0.5129593139302832,0.8726429099192161,0.17656360356904585,0.5353374701834456,0.05195209325712538,0.16183163689591873,0.5,0.9,0.4,0.8,0.7000000000000001,1.0,0.30000000000000004,0.6,0.1,0.2,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.4769208545593024,-4.22570029467612,1.0319503251237614
37,10,1,3,0.4173003304557239,0.36381016100557106,0.30231586835861485,0.26835282405713146,0.37465656745545917,0.7168286858398205,0.27873187167144975,0.07999542067841159,0.18455284921913587,0.08111184652907988,1.0,0.8,0.7000000000000001,0.5,0.6,0.9,0.4,0.2,0.30000000000000004,0.1,0.5,0.5,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.47752454071048606,-5.107262516741323,0.6103373566481104
38,10,1,3,0.2637048970590432,0.19545356689197513,0.17595432264861516,0.3635904919898738,0.5638003682164494,0.17033711243578598,0.0902608885597978,0.7928116698330957,0.7170546129323877,0.06072111446135713,1.0,0.6,0.4,0.5,0.7000000000000001,0.30000000000000004,0.2,0.9,0.8,0.1,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.4363089537789937,-4.876901505616554,0.4411597300030076
39,10,1,3,0.31419018935601284,0.303055827530244,0.5977396337088825,0.14792505026708702,0.3994534498339379,0.3628904755577259,0.6061254604220321,0.2128040108964109,0.1631679218829916,0.06351381744458276,1.0,0.8,0.9,0.4,0.6,0.5,0.7000000000000001,0.30000000000000004,0.2,0.1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.4586508469267812,-4.704718987734964,0.6946187057608011
40,10,1,3,0.24721954958468273,0.46957337709086205,0.43817430160980964,0.2553634880652292,0.68612533130012,0.23134756124122474,0.223142913612058,0.21542264441137393,0.17710089061083098,0.08097240570139685,0.7000000000000001,0.9,0.8,0.6,1.0,0.5,0.4,0.30000000000000004,0.2,0.1,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.44217245042768283,-4.268841151374821,0.7719586192491524
41,10,1,3,0.2580235954963559,0.11015574972088804,0.7393193203503168,0.10570273360274268,0.5423186652831808,0.44315345286723723,0.7449314419369546,0.07822576341035663,0.3964172267435589,0.034328553394035566,0.8,0.4,1.0,0.30000000000000004,0.7000000000000001,0.6,0.9,0.2,0.5,0.1,1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.41516778061491816,-3.433778626240079,0.2755892820556634
42,10,1,3,0.21288908308194343,0.15513200802815708,0.6435437407362616,0.5515074242845736,0.3482123859184012,0.6802191243992239,0.30224023920307214,0.14145569090938245,0.06076476017472581,0.2655697652262171,0.7000000000000001,0.6,1.0,0.9,0.5,0.8,0.4,0.2,0.1,0.30000000000000004,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.4076023022877625,-5.036965380334163,0.6913312745764315
43,10,1,3,0.5060801562425077,0.28372749837493905,0.15020934213887405,0.7398861648255817,0.6403545915393246,0.05417865533111299,0.3717777696036122,0.19612632398951724,0.6014785327037678,0.03191007938020826,1.0,0.6,0.4,0.9,0.8,0.2,0.5,0.30000000000000004,0.7000000000000001,0.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.7114232518936633,-5.079184413436354,0.5119631631039018
44,10,1,3,0.26265643421109375,0.268042114885802,0.15058248249748127,0.7168034382714181,0.35496073623668506,0.1599040460313343,0.8816646719707871,0.09213446302631856,0.5994669357600391,0.04773935944140359,0.8,0.6,0.4,0.9,0.5,0.30000000000000004,1.0,0.2,0.7000000000000001,0.1,1.0,0.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,0.0,0.5143915834478126,-4.8702607270791285,0.8546681236124868
45,10,1,3,0.3716471180719042,0.5313369017419624,0.36921430316616977,0.23905354774978582,0.5396097326277,0.36952979057281665,0.17866759833055668,0.037345496697362895,0.2606223577229158,0.17565960053796212,0.9,1.0,0.7000000000000001,0.5,0.8,0.6,0.4,0.1,0.30000000000000004,0.2,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.5,0.3611093373319941,-4.572897268349302,0.7331904000910553
46,10,1,3,0.4064745092384314,0.24741577395393377,0.40557309157222526,0.2326334308993359,0.3733500616442285,0.08373637218548755,0.2265695905467683,0.806155592517465,0.04147998424093949,0.16635062667633563,1.0,0.8,0.7000000000000001,0.5,0.6,0.30000000000000004,0.4,0.9,0.1,0.2,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.5480690216621815,-4.832249633972154,0.7818445017152947
47,10,1,3,0.3195579092287262,0.2958912096365163,0.23049346357339917,0.31757609026072225,0.22155031814389248,0.7257364006450261,0.16550551384611303,0.30517689522727864,0.045348848657311626,0.17058907637800394,0.9,0.8,0.7000000000000001,0.6,0.5,1.0,0.30000000000000004,0.4,0.1,0.2,0.5,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.6020070528386102,-4.850353198157013,0.24060821929156184
48,10,1,3,0.4997226926912093,0.3052198246112459,0.596431568851793,0.2089139628786837,0.14668058102530102,0.5711269282318236,0.3830260173645768,0.15179658334715446,0.05782336490559359,0.060588201465877733,1.0,0.7000000000000001,0.9,0.5,0.4,0.8,0.6,0.30000000000000004,0.2,0.1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5324555265060992,-4.398161132405947,0.0868663632828252
49,10,1,3,0.21406036772635695,0.4689317959768241,0.30293734105168646,0.687264175331241,0.08757461887661619,0.4249181876986796,0.2825619845414332,0.4103874901824829,0.051186303483099986,0.15848330357003287,0.8,0.9,0.7000000000000001,1.0,0.30000000000000004,0.6,0.4,0.5,0.1,0.2,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.4572103415066612,-4.306024430157267,0.5089837544531692
50,10,1,3,0.36880639511593727,0.17705398232079594,0.3217144286591665,0.5283813673835196,0.7002978507443947,0.33871448035416607,0.26969786941156343,0.1272302912370511,0.2651135880339796,0.08716407928488717,1.0,0.7000000000000001,0.6,0.8,0.9,0.5,0.4,0.2,0.30000000000000004,0.1,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.542445473642999,-3.959198155252329,0.712373747900706
51,10,1,3,0.21566159848408406,0.7253489889532321,0.47414418393131164,0.6745027243164957,0.6336927616820776,0.24388816009333958,0.05236099673444716,0.4795180918029906,0.22804374160273963,0.039825438665562374,0.5,1.0,0.7000000000000001,0.9,0.8,0.4,0.2,0.6,0.30000000000000004,0.1,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5861008916607221,-4.322328737431124,0.5776493282349902
52,10,1,3,0.23702164413561888,0.32516076684063755,0.6691677158986268,0.4511224179476,0.4913229226477225,0.19565509977309262,0.39946680288415803,0.1370911944492654,0.3472693086026281,0.07843594063775601,0.9,0.8,1.0,0.7000000000000001,0.6,0.30000000000000004,0.5,0.2,0.4,0.1,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.5570635784313462,-4.181002675379251,0.5298654583547999
53,10,1,3,0.3123290878288878,0.28656549579912766,0.2089810368258994,0.6845252100297723,0.8159150282099336,0.26679068628898084,0.19182339127168477,0.4023280729285383,0.04154404736431572,0.17864775029061303,0.8,0.7000000000000001,0.6,0.9,1.0,0.4,0.30000000000000004,0.5,0.1,0.2,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.6949958391620014,-4.892723752583,0.5032183519400687
54,10,1,3,0.4715290364846944,0.21573979709080254,0.3312580514366901,0.20874972743409784,0.8290722830432032,0.651235905566796,0.3605637654877114,0.19103358929615818,0.038376249946194686,0.14770556077470928,0.9,0.6,0.7000000000000001,0.4,1.0,0.8,0.5,0.30000000000000004,0.1,0.2,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.3338815644251303,-3.4781089693141674,0.1060949539060765
55,10,1,3,0.26840028450186715,0.24878303652699818,0.28707016199289836,0.6073640631599146,0.15110872904082429,0.31551015987447495,0.19284523965397937,0.1453618832751093,0.036366669157271325,0.1448688493455461,0.9,0.8,0.7000000000000001,1.0,0.5,0.6,0.4,0.30000000000000004,0.1,0.2,0.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5118792677705994,-5.162208117935869,0.31548297353935
56,10,1,3,0.2112813419813246,0.34764992778260684,0.6503096559281712,0.1174615878903561,0.26652488211525455,0.07482125130448422,0.8835331645063751,0.4994078418403467,0.4043914308564497,0.06463150717306836,0.7000000000000001,0.8,0.9,0.30000000000000004,0.4,0.2,1.0,0.6,0.5,0.1,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.6204823801818765,-4.347280310505734,0.8399799251443326
57,10,1,3,0.5339938468907816,0.23449801910203794,0.17187422118283818,0.5998318477012842,0.8395895483861835,0.4745941742207458,0.5967678778790456,0.2278485719584834,0.029397114478562483,0.15070737000054693,0.9,0.5,0.4,0.8,1.0,0.6,0.7000000000000001,0.30000000000000004,0.1,0.2,1.0,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5643707766157935,-5.154631211465291,0.49047555134007104
58,10,1,3,0.34160919063336903,0.3584933967011297,0.20439313574808432,0.22484850512880372,0.5154542989597668,0.740604882149502,0.18490949903664744,0.08544834846484635,0.28609389114836964,0.075738433563073,1.0,0.8,0.6,0.5,0.7000000000000001,0.9,0.30000000000000004,0.2,0.4,0.1,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5763084925719298,-4.989173153448508,0.5637574507379413
59,10,1,3,0.25611918569522396,0.30361864021677165,0.5056664570409205,0.17608588721846863,0.08994352434622233,0.42491271701287764,0.08706412712961904,0.7138831968453423,0.32374099930937683,0.06147749806969095,1.0,0.7000000000000001,0.9,0.5,0.30000000000000004,0.6,0.2,0.8,0.4,0.1,0.5,1.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.5155716110455245,-4.558049877955209,0.6067144798382964
60,10,1,3,0.3828912525533257,0.31831109032348287,0.5208164087600679,0.28773644787224273,0.505095560276102,0.22420533130766462,0.8358758631927223,0.22552476016219497,0.13723764745872422,0.0389842996670469,0.9,0.6,0.8,0.5,0.7000000000000001,0.4,1.0,0.30000000000000004,0.2,0.1,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.4963185420857757,-4.916861931997097,0.7154935748523336
61,10,1,3,0.24869981597560564,0.3859148839168447,0.33999323026815204,0.6702856545206137,0.17095452154826543,0.3781731145335679,0.08356794819954272,0.391881674865949,0.03625530741953699,0.24498969486416644,0.9,0.8,0.7000000000000001,1.0,0.4,0.6,0.2,0.5,0.1,0.30000000000000004,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.45656808681475597,-4.696481541681728,0.5127766506636278
62,10,1,3,0.2536439876247699,0.5423660866777689,0.3330203646895455,0.15674906969664087,0.13246401839797117,0.11215937418765581,0.4683167008640578,0.6716288527664576,0.10274697551102419,0.08312849211599403,0.9,1.0,0.7000000000000001,0.5,0.4,0.30000000000000004,0.6,0.8,0.2,0.1,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.3456266974101514,-4.289808709231371,0.4039185467877131
