Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,a.P1,a.P2,a.P3,a.P4,a.P5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,eta0,eta1,eta2,eta3,eta4,eta5
10,5,5,3,0.3469579454086632,0.25861273733047974,0.4684924578944566,0.2445922511033361,0.06693364110159426,1.0,0.775,0.55,0.325,0.1,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.4710270372736319,0.28585016474720915,0.28992585591939624,0.3246966443026873,0.3981750412674382,4.189475000145693,2.4218161654170975,2.1091113056387463,3.709494891859811,3.2096391353483513,1.8750676104953339,0.7843632443912983,0.7843632443912983,0.7843632443912983,0.7843632443912983,0.7843632443912983,1,1,1,1,1,1
11,5,5,3,0.3090102711843541,0.32713345741938904,0.359912760284503,0.27959590662894424,0.0666016510309712,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.5,0.0,0.2667130668193404,0.49998258712124916,0.2560689444633613,0.3300868522074279,0.24985036832045815,2.2017003813502773,3.5052502398582024,3.1441321531964346,3.981751736490555,4.074913968890884,1.2579564263064262,0.74379797682456,0.74379797682456,0.74379797682456,0.74379797682456,0.74379797682456,1,1,1,1,1,1
12,5,5,3,0.3807322155123233,0.31624992921454775,0.20550373110806458,0.6555790006259189,0.037476024910140654,1.0,0.55,0.325,0.775,0.1,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.25910824014255246,0.3250877349790484,0.3959178760776268,0.2615630440066623,0.25730503096395174,4.393135168425511,3.2282735859302547,3.1690104063760156,4.825894519387213,2.860572305009905,1.477922114335818,0.403975740721228,0.403975740721228,0.403975740721228,0.403975740721228,0.403975740721228,1,1,1,1,1,1
13,5,5,3,0.2895943128228337,0.23842537752449133,0.6887307097687831,0.18606966739566122,0.04284268544473627,0.775,0.55,1.0,0.325,0.1,1.0,0.5,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.3991246328161262,0.2304656287833515,0.34529229840176323,0.4648138658269035,0.45717299982897897,3.998570806765774,4.087795239591966,4.60034631705847,3.100949596090172,4.338925049855081,1.9482347034002188,0.3304561998043505,0.3304561998043505,0.3304561998043505,0.3304561998043505,0.3304561998043505,1,1,1,1,1,1
14,5,5,3,0.6916736679730816,0.5563897572863785,0.4343636181847188,0.21876627508151048,0.04975545909522432,1.0,0.775,0.55,0.325,0.1,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.44750675754653213,0.3246821083613917,0.2316963936609611,0.32203796899621645,0.26738085351083735,3.3894308074408457,4.146654914759924,3.2724058377143135,4.575313033853853,3.1275946792373794,1.0994071683538396,0.19803157231465363,0.19803157231465363,0.19803157231465363,0.19803157231465363,0.19803157231465363,1,1,1,1,1,1
15,5,5,3,0.679790828920028,0.5277081550992273,0.1273820739148513,0.4868360887084958,0.04369268122109882,1.0,0.775,0.325,0.55,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.3807411449737975,0.3150556971435996,0.4562745041186991,0.268856460216123,0.460346772806691,3.4810994593268245,4.177275280942375,2.9516450718909004,2.475368225985685,4.969945943425083,1.187320061288336,0.2446369954119354,0.2446369954119354,0.2446369954119354,0.2446369954119354,0.2446369954119354,1,1,1,1,1,1
16,5,5,3,0.35028778395853366,0.267571727605748,0.10871073216777594,0.42558842388767554,0.08742619144190301,1.0,0.775,0.325,0.55,0.1,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.20984735017884076,0.32938741743548816,0.3371940539502056,0.2318349612716828,0.22155561371689994,4.824853635481999,2.133981933505424,4.789390322078025,2.9719043835112533,2.0131525428767794,1.4662591090959862,0.24192408603024684,0.24192408603024684,0.24192408603024684,0.24192408603024684,0.24192408603024684,1,1,1,1,1,1
17,5,5,3,0.4033017310821407,0.21855619812689608,0.8769840298063163,0.2643151155240523,0.07461735574288493,0.775,0.55,1.0,0.325,0.1,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.365173263802931,0.31008030043145685,0.3223281115399121,0.4959455337841427,0.4064024300616698,3.4322767744868186,3.5477740446507973,3.8411980341055,4.971740153097527,2.6457081405755267,1.3904644806362,0.7748267430195165,0.7748267430195165,0.7748267430195165,0.7748267430195165,0.7748267430195165,1,1,1,1,1,1
18,5,5,3,0.38055822297559194,0.7026740157020241,0.20794383552459814,0.48426650206820193,0.04321254048766582,0.775,1.0,0.325,0.55,0.1,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.35502060557708476,0.4296051797303755,0.31047381999000884,0.3093313396601979,0.3333756227562624,2.791425840148086,2.540651510588842,3.6807911871801386,4.8535061382747475,4.212083670653872,1.0631086401299699,0.9301557671622557,0.9301557671622557,0.9301557671622557,0.9301557671622557,0.9301557671622557,1,1,1,1,1,1
19,5,5,3,0.4516847652034016,0.6447324037805565,0.2502799317487489,0.4847321527679034,0.050011903140247865,1.0,0.775,0.325,0.55,0.1,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.2464271447716235,0.21253714303179644,0.4785915642207053,0.2644295106262331,0.4013433737352553,4.427375813959785,3.2023103150813528,2.226917598950732,3.9566396742071115,2.1453782785015854,1.5312088067178544,0.9274507105896642,0.9274507105896642,0.9274507105896642,0.9274507105896642,0.9274507105896642,1,1,1,1,1,1
20,5,5,3,0.5939536007775601,0.4250572852747746,0.19188076951240957,0.4946112273063285,0.04936842257804844,1.0,0.775,0.325,0.55,0.1,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.23379769218005764,0.41299119981361854,0.2668876870364337,0.40300758925246827,0.27617656574552246,4.436245916278347,2.2971486534037138,2.675964840549102,3.713971048280717,3.3599875339035634,1.591185737597408,0.9225733852335777,0.9225733852335777,0.9225733852335777,0.9225733852335777,0.9225733852335777,1,1,1,1,1,1
21,5,5,3,0.24953405064508838,0.5891090286381844,0.21764731823995426,0.15525955913455494,0.055158347980360414,0.775,1.0,0.55,0.325,0.1,1.0,0.5,1.0,0.0,0.5,1.0,1.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.28856314739365146,0.49077445725064894,0.26526621268677264,0.27089529074227237,0.20061155381885462,2.9166763545905856,2.5570350860268656,3.442234334869567,3.671755405482635,4.1138287919637015,1.3710313852104967,0.873850122750099,0.873850122750099,0.873850122750099,0.873850122750099,0.873850122750099,1,1,1,1,1,1
22,5,5,3,0.6927381866982723,0.5382979895362441,0.1269653969583747,0.4346792190651331,0.05114399309505429,1.0,0.775,0.325,0.55,0.1,0.5,1.0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.2019267444227214,0.3508815410216336,0.3088151829595248,0.44317286662314204,0.3879682557390749,3.8939648408556957,2.9757362364169753,4.87148177096183,2.7735177533447324,3.985656670058037,1.2596147218213223,0.7372844950520148,0.7372844950520148,0.7372844950520148,0.7372844950520148,0.7372844950520148,1,1,1,1,1,1
23,5,5,3,0.5726247408048009,0.3232410319027206,0.6325206200115895,0.2744584457661613,0.07843966145104142,1.0,0.55,0.775,0.325,0.1,0.5,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.5,1.0,0.5,0.31333619087563147,0.4225101892275427,0.267925639276245,0.4519550377496345,0.2755223778508343,4.028592321823088,4.242645766365161,3.903284172374547,2.033800234805204,2.903457769844191,1.02753461502199,0.31082815719271945,0.31082815719271945,0.31082815719271945,0.31082815719271945,0.31082815719271945,1,1,1,1,1,1
24,5,5,3,0.5268301137156928,0.33315543108298196,0.7898329742932091,0.13456490285993253,0.07992259540592112,0.775,0.55,1.0,0.325,0.1,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.4935831498105812,0.3716534202091182,0.4814159986219913,0.27398906657451927,0.40818083669718896,2.589544580152708,2.1404459415437658,3.8469260468575452,2.292678518022162,4.143728279065621,1.2821428619161555,0.5084789307092374,0.5084789307092374,0.5084789307092374,0.5084789307092374,0.5084789307092374,1,1,1,1,1,1
25,5,5,3,0.4849372642249512,0.3789154211254995,0.32703455049095675,0.12679679907405966,0.07379106217196323,1.0,0.775,0.55,0.325,0.1,1.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.39453553064563623,0.34038447407552364,0.23672418472133452,0.47766198294087114,0.3898755343959033,3.3923526063896228,4.1722392628523615,2.5897567179931453,4.9180979782289524,3.048738906387153,1.4189469897813258,0.6725288816860607,0.6725288816860607,0.6725288816860607,0.6725288816860607,0.6725288816860607,1,1,1,1,1,1
26,5,5,3,0.36320853708639445,0.4459362397032935,0.39559412181227,0.21011382613844481,0.0424393427543889,1.0,0.775,0.55,0.325,0.1,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.365747945945169,0.323467402719887,0.27781880958578825,0.2879589690241162,0.21805525487224675,4.967960861122234,4.522955715575922,2.7693903844882315,4.636598761162669,2.1453752261774497,1.8329195037540078,0.23681530763735553,0.23681530763735553,0.23681530763735553,0.23681530763735553,0.23681530763735553,1,1,1,1,1,1
27,5,5,3,0.406998940187441,0.24415051465962545,0.24294781507708374,0.14262127598624674,0.08138552503320437,1.0,0.775,0.55,0.325,0.1,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.5,0.3130616881549936,0.2179943587656471,0.2948000635925481,0.4350583686050449,0.45406324666675385,2.281652812804344,2.0088973257132654,4.694781823905045,3.3568742550321264,3.63471460983141,1.064746301780315,0.8007120272661238,0.8007120272661238,0.8007120272661238,0.8007120272661238,0.8007120272661238,1,1,1,1,1,1
28,5,5,3,0.27913643856792825,0.25692778535582644,0.1693956560326935,0.6414558751704681,0.040063416281265536,1.0,0.55,0.325,0.775,0.1,1.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.3693161938214149,0.43693295856492875,0.3855991742855593,0.4437555622546544,0.40105207241536356,2.1251230584531076,4.4220430888610025,2.5038253817425185,2.109071744994898,2.229970971593568,1.9780529636629398,0.42878208384831584,0.42878208384831584,0.42878208384831584,0.42878208384831584,0.42878208384831584,1,1,1,1,1,1
29,5,5,3,0.4492465821573549,0.22956933653427558,0.5156192541490797,0.034483587706752444,0.28333430591486514,1.0,0.55,0.775,0.1,0.325,1.0,1.0,0.5,0.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.5,0.29652947824040954,0.2396567786586679,0.49633876498708873,0.4605344732294374,0.48650009769026775,2.02415154391811,4.78850755985301,3.6126599174574032,4.984964092329307,3.555766517811289,1.4490757552812992,0.286986813158323,0.286986813158323,0.286986813158323,0.286986813158323,0.286986813158323,1,1,1,1,1,1
30,5,5,3,0.23541720027330548,0.13803482764579,0.6371310566481541,0.13981736362759004,0.07726222800807692,0.775,0.55,1.0,0.325,0.1,0.0,0.5,0.5,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.2494228483209142,0.20320203489721836,0.287572246613374,0.4115236622573746,0.241097040099406,4.056528011662293,4.928507868280386,4.0219339308392055,4.873844085979892,3.167917179922686,1.273571677445784,0.7058762712994434,0.7058762712994434,0.7058762712994434,0.7058762712994434,0.7058762712994434,1,1,1,1,1,1
31,5,5,3,0.46234910919207484,0.20375247339820923,0.10130867304403024,0.6815026221178727,0.04148838132291447,1.0,0.55,0.325,0.775,0.1,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.31334445604090294,0.27062072320533137,0.25428900896027956,0.4733858922456911,0.26808578775907516,4.643457519672608,3.6824415473513854,4.771877096250272,3.2934290798515944,3.513714045450475,1.016752376908079,0.712197817653689,0.712197817653689,0.712197817653689,0.712197817653689,0.712197817653689,1,1,1,1,1,1
32,5,5,3,0.5039927726590856,0.8110612050653605,0.41778478303501126,0.22083967058946027,0.08678651644147106,0.775,1.0,0.55,0.325,0.1,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.2031573656583197,0.48048473012751997,0.49340600575316595,0.23300779274391298,0.2537223542579682,2.2263540369235466,4.679169815998358,3.6668147147964936,4.351231955561064,3.3527587968965733,1.4969478375267844,0.8644239160128306,0.8644239160128306,0.8644239160128306,0.8644239160128306,0.8644239160128306,1,1,1,1,1,1
33,5,5,3,0.6646950057556194,0.5433667820001866,0.14908944727017623,0.418843110890008,0.060143327545727446,1.0,0.775,0.325,0.55,0.1,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.24885527069371255,0.24755525997257505,0.2716351411142399,0.35442593793683674,0.3637118172483661,2.0036640724583217,2.648738643846243,3.7809115544714516,3.63717211701887,2.607941150623285,1.8104885398009425,0.10721436541074177,0.10721436541074177,0.10721436541074177,0.10721436541074177,0.10721436541074177,1,1,1,1,1,1
34,5,5,3,0.40624593910921536,0.2591600467373414,0.1055656900909287,0.35586854175324084,0.08994851984389844,1.0,0.775,0.325,0.55,0.1,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.45742064116991,0.40547172405785203,0.46682089451135367,0.3448908884031142,0.38347955251966503,2.286212399269936,2.9749172110563666,3.9040826135233297,3.3542968783599134,2.7586599890877146,1.0420452880548756,0.7702425041703206,0.7702425041703206,0.7702425041703206,0.7702425041703206,0.7702425041703206,1,1,1,1,1,1
35,5,5,3,0.6389306964902943,0.14874763219554024,0.665378709084819,0.48625336374521444,0.03720113121334688,1.0,0.325,0.775,0.55,0.1,0.5,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.35847102189728197,0.22409753486185627,0.20480725900430444,0.2834876156824473,0.29359058765153456,3.981715763353577,4.21500348942585,3.2925560439049995,2.2465912902784524,3.887865450489805,1.219698340584463,0.7112305758506573,0.7112305758506573,0.7112305758506573,0.7112305758506573,0.7112305758506573,1,1,1,1,1,1
36,5,5,3,0.4863086534254579,0.42578205356748833,0.22629512700927013,0.2292465043509696,0.05956497822027811,1.0,0.775,0.55,0.325,0.1,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.5,0.28649122234998886,0.34165809926242185,0.2653555758058629,0.2505824864969383,0.2408730995921234,2.038689150001089,2.5736762171140604,3.355373516951726,2.0986053881342412,2.538105698031068,1.867181359619852,0.16667551334480563,0.16667551334480563,0.16667551334480563,0.16667551334480563,0.16667551334480563,1,1,1,1,1,1
37,5,5,3,0.31694098797733683,0.22475113742194314,0.1217151181531973,0.8491176251387113,0.0342783157427302,0.775,0.55,0.325,1.0,0.1,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.0,1.0,0.5,0.47092819505955474,0.2428633064476936,0.2913516260576535,0.4356973506179282,0.38554380674624433,2.4056331057913614,3.6844002399086007,4.713290911712347,3.0683570832340408,3.5888205297147477,1.1397159254513434,0.7885574165771335,0.7885574165771335,0.7885574165771335,0.7885574165771335,0.7885574165771335,1,1,1,1,1,1
38,5,5,3,0.25162573877339156,0.40449562103492387,0.19552311217151241,0.2570798805221466,0.08566285067830992,1.0,0.775,0.55,0.325,0.1,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.22086917878714618,0.4463384140868986,0.45731666960457595,0.45151357790047547,0.3362596308915493,4.806507792343,2.786991213126658,4.391640138494514,2.4705423235652346,2.724690353435369,1.4322869901976705,0.44819433150258237,0.44819433150258237,0.44819433150258237,0.44819433150258237,0.44819433150258237,1,1,1,1,1,1
39,5,5,3,0.6405775219099771,0.19888943793089242,0.5817154125662292,0.14449461871843208,0.07461782348867219,1.0,0.55,0.775,0.325,0.1,1.0,0.5,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,1.0,1.0,1.0,0.5,0.22563063519912116,0.4331783337325865,0.48213912323119745,0.4360186748859335,0.39201327983494627,3.1451845048888973,4.1842192783345755,3.9026962106416754,2.2133575258807126,4.66976540989216,1.1942822637726282,0.6363601962623486,0.6363601962623486,0.6363601962623486,0.6363601962623486,0.6363601962623486,1,1,1,1,1,1
40,5,5,3,0.3913636040948084,0.400525667390706,0.2494373366028112,0.13182527780809197,0.027622178032513323,1.0,0.775,0.55,0.325,0.1,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.22827693907419683,0.3087871829349135,0.296734692622236,0.35429807719497286,0.39056109458620347,2.668530684184262,4.852164098018884,2.6994484395246756,2.962432863605771,2.3849216108387243,1.0860567123435387,0.8697582850052697,0.8697582850052697,0.8697582850052697,0.8697582850052697,0.8697582850052697,1,1,1,1,1,1
